source,target,link_type,article_id
Ang Wee Gee,Keppel Land,PERSON,cdl_00105|cdl_00658
Artist,City Developments Limited,PERSON,cdl_00854
Artist,Our Tampines Hub,PERSON,cdl_00854
Artist,Tampines MRT,PERSON,cdl_00854
BCA,City Developments Limited,ORGANIZATION,cdl_00254|cdl_00255
BCA,Construction contractors,PERSON,cdl_00255
BCA,Dragages Singapore,ORGANIZATION,cdl_00254|cdl_00255
BCA,Firms,ORGANIZATION,cdl_00254
BCA,Teambuild,ORGANIZATION,cdl_00254|cdl_00255
BT,CIO,ORGANIZATION,cdl_00713
BT,City Developments Limited,ORGANIZATION,cdl_00003|cdl_00199|cdl_00251|cdl_00713|cdl_00716
BT,Frank Khoo,PERSON,cdl_00713
BT,Kwek Leng Beng,PERSON,cdl_00716
BT,People,PERSON,cdl_00251
BT,Public,PERSON,cdl_00251
BT,Sherman Kwek,PERSON,cdl_00716
BT,Singapore Sustainability Academy,ORGANIZATION,cdl_00251
BT,Sustainability Energy Association of Singapore,ORGANIZATION,cdl_00251
BT,Sustainable Singapore Blueprint,ORGANIZATION,cdl_00199
BT,THE Singapore Sustainability Academy,ORGANIZATION,cdl_00251
Bellevue Properties,City Developments Limited,ORGANIZATION,cdl_00154|cdl_00203|cdl_00205
Bellevue Properties,Kingsford Development,ORGANIZATION,cdl_00154
Bellevue Properties,PropertyGuru,ORGANIZATION,cdl_00205
Bellevue Properties,Qingjian Realty,ORGANIZATION,cdl_00154
Bellevue Properties,Tampines West MRT,ORGANIZATION,cdl_00203
Bellevue Properties,URA,ORGANIZATION,cdl_00203
Bellevue Properties,Urban Redevelopment Authority,ORGANIZATION,cdl_00205
Bloomberg,Champions,ORGANIZATION,cdl_00857
Bloomberg,City Developments Limited,ORGANIZATION,cdl_00707|cdl_00708|cdl_00857
Bloomberg,DBS,ORGANIZATION,cdl_00707|cdl_00857
Bloomberg,GEI,ORGANIZATION,cdl_00707
CDL China,City Developments Limited,ORGANIZATION,cdl_00045
CDP,Christopher Chitty,PERSON,cdl_00500
CDP,City Developments Limited,ORGANIZATION,cdl_00050|cdl_00106|cdl_00500
CDP,Elec & Eltek Co,ORGANIZATION,cdl_00050|cdl_00106
CDP,Most Sustainable Corporation,ORGANIZATION,cdl_00500
CDP,Olam International,ORGANIZATION,cdl_00050|cdl_00106
CDP,Singtel,ORGANIZATION,cdl_00050|cdl_00106
CIO,City Developments Limited,ORGANIZATION,cdl_00704|cdl_00713
CIO,Frank Khoo,PERSON,cdl_00704|cdl_00713
CapitaLand Commercial Trust,City Developments Limited,ORGANIZATION,cdl_00316
CapitaLand Commercial Trust,Leaders,PERSON,cdl_00316
CapitaLand Commercial Trust,Megachem Limited,ORGANIZATION,cdl_00316
CapitaLand Commercial Trust,Reits,ORGANIZATION,cdl_00316
CapitaLand Commercial Trust,Tuan Sing Holdings,ORGANIZATION,cdl_00316
Champions,City Developments Limited,ORGANIZATION,cdl_00857
Champions,DBS,ORGANIZATION,cdl_00857
Channel NewsAsia,City Developments Limited,ORGANIZATION,cdl_00712
Channel NewsAsia,MCST,ORGANIZATION,cdl_00712
Chief sustainability officer,City Developments Limited,PERSON,cdl_00049
Chief sustainability officer,Esther An,PERSON,cdl_00049
Christopher Chitty,City Developments Limited,PERSON,cdl_00002|cdl_00500
Christopher Chitty,Most Sustainable Corporation,PERSON,cdl_00500
City Development Limited,City Developments Limited,ORGANIZATION,cdl_00730
City Developments Limited,CityDev,PERSON,cdl_00706
City Developments Limited,Cityzens Development,ORGANIZATION,cdl_00499
City Developments Limited,Construction contractors,PERSON,cdl_00255
City Developments Limited,Construction firms,ORGANIZATION,cdl_00252
City Developments Limited,Curatus Trust,ORGANIZATION,cdl_00044
City Developments Limited,DBS,ORGANIZATION,cdl_00307|cdl_00363|cdl_00707|cdl_00857
City Developments Limited,Distrii,ORGANIZATION,cdl_00000
City Developments Limited,Dragages Singapore,ORGANIZATION,cdl_00252|cdl_00254|cdl_00255
City Developments Limited,Elec & Eltek Co,ORGANIZATION,cdl_00050|cdl_00106
City Developments Limited,Esther An,PERSON,cdl_00049
City Developments Limited,FIRST Sponsor Group Limited,ORGANIZATION,cdl_00632|cdl_00643
City Developments Limited,Firms,ORGANIZATION,cdl_00254
City Developments Limited,First Sponsor,ORGANIZATION,cdl_00639
City Developments Limited,Frank Khoo,PERSON,cdl_00704|cdl_00713
City Developments Limited,Frasers Centrepoint,ORGANIZATION,cdl_00727
City Developments Limited,GEI,ORGANIZATION,cdl_00707
City Developments Limited,Global 100 Most Sustainable Corporations,ORGANIZATION,cdl_00006
City Developments Limited,Gramercy,ORGANIZATION,cdl_00363
City Developments Limited,Green,PERSON,cdl_00150
City Developments Limited,GuocoLand,ORGANIZATION,cdl_00851
City Developments Limited,Hong Leong,ORGANIZATION,cdl_00851
City Developments Limited,Hong Leong Co Malaysia Bhd,ORGANIZATION,cdl_00851
City Developments Limited,Hong Leong Group,ORGANIZATION,cdl_00057|cdl_00368|cdl_00499
City Developments Limited,Hong Leong Investment Holdings,ORGANIZATION,cdl_00851
City Developments Limited,Hong Realty,ORGANIZATION,cdl_00499
City Developments Limited,Huang Huayan,PERSON,cdl_00097
City Developments Limited,IVA,ORGANIZATION,cdl_00504
City Developments Limited,JV,ORGANIZATION,cdl_00499
City Developments Limited,Kingsford Development,ORGANIZATION,cdl_00154
City Developments Limited,Kwek,PERSON,cdl_00851
City Developments Limited,Kwek Leng Beng,PERSON,cdl_00057|cdl_00368|cdl_00634|cdl_00705|cdl_00716
City Developments Limited,Leaders,PERSON,cdl_00307|cdl_00316
City Developments Limited,MCST,ORGANIZATION,cdl_00712|cdl_00793
City Developments Limited,MSD Partners,ORGANIZATION,cdl_00504
City Developments Limited,Management Corporation Strata Title,ORGANIZATION,cdl_00793
City Developments Limited,Megachem Limited,ORGANIZATION,cdl_00307|cdl_00316
City Developments Limited,Millennium & Copthorne,ORGANIZATION,cdl_00368|cdl_00497|cdl_00504|cdl_00506|cdl_00634|cdl_00705
City Developments Limited,Millennium Hotels and Resorts,ORGANIZATION,cdl_00057
City Developments Limited,Most Sustainable Corporation,ORGANIZATION,cdl_00006|cdl_00500
City Developments Limited,New Futura,ORGANIZATION,cdl_00212
City Developments Limited,Olam International,ORGANIZATION,cdl_00050|cdl_00106
City Developments Limited,Our Tampines Hub,ORGANIZATION,cdl_00854
City Developments Limited,People,PERSON,cdl_00251
City Developments Limited,PropertyGuru,ORGANIZATION,cdl_00205
City Developments Limited,Public,PERSON,cdl_00251
City Developments Limited,Qingjian Realty,ORGANIZATION,cdl_00154
City Developments Limited,Quek,PERSON,cdl_00851
