name,type,importance,sentiment_emb
City Developments Limited,ORGANIZATION,1.0,41.17647058823529
Kwek Leng Beng,PERSON,0.22270872071920875,0.0
Singapore Sustainability Academy,ORGANIZATION,0.14025047339789615,0.0
Millennium & Copthorne,ORGANIZATION,0.1108263158981865,-100.0
Keppel Land,ORGANIZATION,0.1043510661424138,100.0
CIO,ORGANIZATION,0.0988181441046222,100.0
Leaders,PERSON,0.08228971523285429,100.0
FIRST Sponsor Group Limited,ORGANIZATION,0.07375794126030312,0.0
Frank Khoo,PERSON,0.060880955328185236,100.0
URA,ORGANIZATION,0.0386199903640618,0.0
Bellevue Properties,ORGANIZATION,0.033372082495980705,0.0
Olam International,ORGANIZATION,0.03201343372355424,0.0
BCA,ORGANIZATION,0.03044796986437199,100.0
DBS,ORGANIZATION,0.03022077710177953,0.0
Ang Wee Gee,PERSON,0.02918831854469067,100.0
Urban Redevelopment Authority,ORGANIZATION,0.025975401028766738,0.0
Bloomberg,ORGANIZATION,0.025966261123126264,-100.0
Hong Leong Group,ORGANIZATION,0.01277539379601207,100.0
MCST,ORGANIZATION,0.012071769372599862,-100.0
Teambuild,ORGANIZATION,0.011734836236471827,100.0
Dragages Singapore,ORGANIZATION,0.01094438289884044,100.0
Reits,ORGANIZATION,0.01007431796459764,100.0
Tai Tak Estates Sdn Bhd,ORGANIZATION,0.007265221272331052,0.0
BT,ORGANIZATION,0.006431477814847018,100.0
CDP,ORGANIZATION,0.006342960292361622,0.0
Sustainable Energy Association of Singapore,ORGANIZATION,0.006141568627839781,0.0
REUTERS,ORGANIZATION,0.0057749657362783325,0.0
Singtel,ORGANIZATION,0.004507205794388314,0.0
Christopher Chitty,PERSON,0.0040245103081267344,100.0
Most Sustainable Corporation,ORGANIZATION,0.003915052619113185,100.0
Tuan Sing Holdings,ORGANIZATION,0.0038714282316303925,100.0
Elec & Eltek Co,ORGANIZATION,0.0034038497773847005,0.0
Megachem Limited,ORGANIZATION,0.002543161985632047,100.0
