name,article_id
Ang Wee Gee,cdl_00105|cdl_00658
Artist,cdl_00854
BCA,cdl_00254|cdl_00255
BT,cdl_00003|cdl_00199|cdl_00251|cdl_00713|cdl_00716
Bellevue Properties,cdl_00154|cdl_00203|cdl_00205
Bloomberg,cdl_00707|cdl_00708|cdl_00857
CDL China,cdl_00045
CDP,cdl_00050|cdl_00106|cdl_00500
CIO,cdl_00704|cdl_00713
CapitaLand Commercial Trust,cdl_00316
Champions,cdl_00857
Channel NewsAsia,cdl_00712
Chief sustainability officer,cdl_00049
Christopher Chitty,cdl_00002|cdl_00500
City Development Limited,cdl_00730
City Developments Limited,cdl_00000|cdl_00002|cdl_00003|cdl_00006|cdl_00044|cdl_00045|cdl_00048|cdl_00049|cdl_00050|cdl_00057|cdl_00097|cdl_00098|cdl_00106|cdl_00150|cdl_00151|cdl_00152|cdl_00154|cdl_00155|cdl_00199|cdl_00203|cdl_00205|cdl_00208|cdl_00212|cdl_00248|cdl_00250|cdl_00251|cdl_00252|cdl_00254|cdl_00255|cdl_00258|cdl_00259|cdl_00307|cdl_00316|cdl_00363|cdl_00368|cdl_00421|cdl_00425|cdl_00497|cdl_00498|cdl_00499|cdl_00500|cdl_00504|cdl_00506|cdl_00632|cdl_00634|cdl_00639|cdl_00643|cdl_00704|cdl_00705|cdl_00706|cdl_00707|cdl_00708|cdl_00711|cdl_00712|cdl_00713|cdl_00716|cdl_00725|cdl_00727|cdl_00730|cdl_00792|cdl_00793|cdl_00844|cdl_00847|cdl_00849|cdl_00851|cdl_00854|cdl_00855|cdl_00857|cdl_00860
CityDev,cdl_00706
Cityzens Development,cdl_00499
Construction contractors,cdl_00255
Construction firms,cdl_00252
Curatus Trust,cdl_00044
DBS,cdl_00307|cdl_00363|cdl_00707|cdl_00857
Distrii,cdl_00000
Dragages Singapore,cdl_00252|cdl_00254|cdl_00255
Elec & Eltek Co,cdl_00050|cdl_00106
Esther An,cdl_00049
FIRST Sponsor Group Limited,cdl_00632|cdl_00643
Firms,cdl_00254
First Sponsor,cdl_00639
Frank Khoo,cdl_00704|cdl_00713
Frasers Centrepoint,cdl_00727
GEI,cdl_00707
Global 100 Most Sustainable Corporations,cdl_00006
Gramercy,cdl_00363
Green,cdl_00150
GuocoLand,cdl_00851
HLA,cdl_00005
Hong Leong,cdl_00851
Hong Leong Co Malaysia Bhd,cdl_00851
Hong Leong Group,cdl_00005|cdl_00057|cdl_00368|cdl_00499
Hong Leong Investment Holdings,cdl_00851
Hong Realty,cdl_00499
Huang Huayan,cdl_00097
IVA,cdl_00504
JV,cdl_00499
KEPPEL Land,cdl_00654
KepLand,cdl_00648
Keppel Land,cdl_00105|cdl_00648|cdl_00654|cdl_00658
Kingsford Development,cdl_00154
Kwek,cdl_00851
Kwek Leng Beng,cdl_00005|cdl_00057|cdl_00368|cdl_00634|cdl_00705|cdl_00716
Leaders,cdl_00307|cdl_00316
MCST,cdl_00712|cdl_00793
MSD Partners,cdl_00504
Management Corporation Strata Title,cdl_00793
Megachem Limited,cdl_00307|cdl_00316
Millennium & Copthorne,cdl_00368|cdl_00497|cdl_00504|cdl_00506|cdl_00634|cdl_00705
Millennium Hotels and Resorts,cdl_00057
Most Sustainable Corporation,cdl_00006|cdl_00500
New Futura,cdl_00212
Olam International,cdl_00050|cdl_00106
Our Tampines Hub,cdl_00854
People,cdl_00251
PropertyGuru,cdl_00205
Public,cdl_00251
Qingjian Realty,cdl_00154
Quek,cdl_00851
REUTERS,cdl_00150|cdl_00634
Reits,cdl_00307|cdl_00316
SSRA,cdl_00421
Sherman Kwek,cdl_00716
Singapore Sustainability Academy,cdl_00250|cdl_00251|cdl_00258|cdl_00259
Singtel,cdl_00050|cdl_00106
Sponsor,cdl_00639
Sustainability Energy Association of Singapore,cdl_00251
Sustainable Energy Association of Singapore,cdl_00250|cdl_00258|cdl_00259
Sustainable Singapore Blueprint,cdl_00199
THE Singapore Sustainability Academy,cdl_00251
Tai Tak Estates Sdn Bhd,cdl_00632|cdl_00639|cdl_00643
Tampines MRT,cdl_00854
Tampines West MRT,cdl_00203
Teambuild,cdl_00252|cdl_00254|cdl_00255
Top Singapore Company,cdl_00006
Tuan Sing Holdings,cdl_00307|cdl_00316
UOB,cdl_00425
UOL Group Ltd,cdl_00248
URA,cdl_00203|cdl_00792
Urban Redevelopment Authority,cdl_00205|cdl_00706|cdl_00792
