name,article_id
Aik Moh Paints & Chemicals Pte Ltd,aik_moh_paints_%26_chemicals_00000
Bhilai - Manufacturer,gn_chemicals_00000
CLP International,clp_international_00001
Employees,superin_chremical_00000
G.N.,gn_chemicals_00000
Importers,unilite_chemicals_00000
Indochemical Citra Kimia,indochemical_citra_kimia_00000
Manufacturer,gn_chemicals_00000
Megastrike International Pte Ltd,megastrike_international_00000
Quape,clp_international_00001
Suntec Tower 3,superin_chremical_00000
Superin Chemical (s) Pte Ltd,superin_chremical_00000
Unilite Chemicals Pte Ltd,unilite_chemicals_00000
