name,article_id
1MDB,credit_suisse7_00002
BLOOMBERG,credit_suisse4_00003|credit_suisse7_00004
BOS,credit_suisse7_00115
Bank of America Merrill Lynch,credit_suisse1_00030|credit_suisse1_00106|credit_suisse1_00145|credit_suisse2_00158
Bank of Singapore,credit_suisse7_00104|credit_suisse7_00115
Benjamin Cavalli,credit_suisse2_00100|credit_suisse4_00023|credit_suisse7_00033|credit_suisse7_00049
Bernstein,credit_suisse4_00100
CSFS,credit_suisse3_00000
China,credit_suisse3_00000
Citi Joins Race,credit_suisse3_00034
Co International Plc,credit_suisse4_00184
Credit Suisse,credit_suisse1_00000|credit_suisse1_00001|credit_suisse1_00002|credit_suisse1_00003|credit_suisse1_00005|credit_suisse1_00008|credit_suisse1_00013|credit_suisse1_00030|credit_suisse1_00045|credit_suisse1_00100|credit_suisse1_00101|credit_suisse1_00106|credit_suisse1_00145|credit_suisse2_00000|credit_suisse2_00100|credit_suisse2_00101|credit_suisse2_00110|credit_suisse2_00138|credit_suisse2_00158|credit_suisse3_00000|credit_suisse3_00002|credit_suisse3_00007|credit_suisse3_00010|credit_suisse3_00013|credit_suisse3_00018|credit_suisse3_00021|credit_suisse3_00034|credit_suisse3_00065|credit_suisse3_00094|credit_suisse3_00123|credit_suisse3_00124|credit_suisse3_00177|credit_suisse4_00000|credit_suisse4_00003|credit_suisse4_00022|credit_suisse4_00023|credit_suisse4_00049|credit_suisse4_00096|credit_suisse4_00100|credit_suisse4_00107|credit_suisse4_00134|credit_suisse4_00147|credit_suisse4_00150|credit_suisse4_00156|credit_suisse4_00184|credit_suisse5_00000|credit_suisse6_00000|credit_suisse6_00001|credit_suisse7_00000|credit_suisse7_00001|credit_suisse7_00002|credit_suisse7_00004|credit_suisse7_00005|credit_suisse7_00014|credit_suisse7_00020|credit_suisse7_00024|credit_suisse7_00033|credit_suisse7_00046|credit_suisse7_00049|credit_suisse7_00100|credit_suisse7_00102|credit_suisse7_00104|credit_suisse7_00115|credit_suisse7_00146|credit_suisse7_00148|credit_suisse7_00153
DBS,credit_suisse1_00106|credit_suisse1_00145
DLT,credit_suisse1_00145
David Mulford,credit_suisse7_00160
Founder,credit_suisse3_00010
Founder Securities,credit_suisse3_00002|credit_suisse3_00007|credit_suisse3_00013
GDP Venture,credit_suisse3_00177
GGR,credit_suisse4_00100|credit_suisse4_00156
Garena,credit_suisse4_00107|credit_suisse4_00147|credit_suisse4_00150
Goldman Sachs,credit_suisse3_00177|credit_suisse4_00107
Goldman Sachs Group,credit_suisse4_00147|credit_suisse4_00150
Goldman Sachs Group Inc,credit_suisse4_00096
Goldman Sachs Group Inc.,credit_suisse4_00134
HSBC,credit_suisse3_00007
Hong Kong Branch,credit_suisse8_00000
Hong Kong) Ltd,credit_suisse4_00184
JV,credit_suisse3_00002
John Major,credit_suisse7_00160
Julius Baer,credit_suisse3_00018|credit_suisse3_00034
Kevin Burke,credit_suisse2_00110
Khazanah,credit_suisse3_00177
MAS,credit_suisse1_00003
Meg-Star,credit_suisse4_00156
Mikhail Brovman,credit_suisse1_00005
Millennials,credit_suisse7_00100
Morgan Stanley,credit_suisse2_00158|credit_suisse3_00065|credit_suisse3_00177|credit_suisse4_00096|credit_suisse4_00134|credit_suisse4_00147|credit_suisse4_00150|credit_suisse4_00184|credit_suisse7_00146
Morgan Stanley & Co,credit_suisse4_00107
NagaCorp,credit_suisse4_00184
OCBC,credit_suisse3_00065|credit_suisse5_00000
Owner,credit_suisse4_00150
Prime Minister,credit_suisse7_00148
R3,credit_suisse1_00030
Reits,credit_suisse5_00000|credit_suisse7_00000
Rivals,credit_suisse3_00034
Rowsley Limited,credit_suisse1_00100
Siam Commercial Bank,credit_suisse3_00018|credit_suisse3_00034
Singaporeans,credit_suisse7_00153
Standard Chartered,credit_suisse1_00005|credit_suisse2_00110
Symasia Foundation,credit_suisse2_00100
TIDJANE Thiam,credit_suisse1_00008
Tencent,credit_suisse2_00158|credit_suisse4_00096|credit_suisse4_00107
Thiam,credit_suisse3_00010
Tidjane Thiam,credit_suisse6_00000|credit_suisse7_00004|credit_suisse7_00005|credit_suisse7_00014
Tsao,credit_suisse7_00142
UBS,credit_suisse7_00115
UBS Group,credit_suisse7_00104
UOB,credit_suisse1_00003|credit_suisse5_00000|credit_suisse7_00002
VIP,credit_suisse4_00100
VIP GGR,credit_suisse4_00022
Venture,credit_suisse3_00065
