source,target,link_type,article_id
AEI,AXA,ORGANIZATION,dbs3_00122
AEI,DBS,ORGANIZATION,dbs3_00122
AEI,Investors,PERSON,dbs3_00122
AXA,DBS,ORGANIZATION,dbs3_00122|dbs3_00148
AXA,Investors,PERSON,dbs3_00122
AXA,PREH,ORGANIZATION,dbs3_00148
BLOOMBERG,DBS,ORGANIZATION,dbs6_00008
BLOOMBERG,Gupta,PERSON,dbs6_00008
Best Managed Board,DBS,PERSON,dbs6_00038
CBD,Colliers,ORGANIZATION,dbs5_00001
CBD,DBS,ORGANIZATION,dbs5_00001
CBD,Reits,ORGANIZATION,dbs5_00001
CIMB,DBS,ORGANIZATION,dbs7_00001
CIMB,OCBC,ORGANIZATION,dbs7_00001
CNBC,DBS,ORGANIZATION,dbs7_00100
CNBC,David Gledhill,PERSON,dbs7_00100
CapitaLand,DBS,ORGANIZATION,dbs6_00004
CapitaLand,Leaders,PERSON,dbs6_00004
CapitaLand,Singtel,ORGANIZATION,dbs6_00004
Carousell,DBS,PERSON,dbs3_00002|dbs3_00028
Carousell,EDBI,PERSON,dbs3_00028
Carousell,Golden Gate Ventures,PERSON,dbs3_00002|dbs3_00138
Carousell,Golden gate Ventures,PERSON,dbs3_00028
Carousell,Rakuten Ventures,PERSON,dbs3_00028
Carousell,Sequoia Capital,PERSON,dbs3_00138
Carousell,Sequoia India,PERSON,dbs3_00028
Colliers,DBS,ORGANIZATION,dbs5_00001
Colliers,Reits,ORGANIZATION,dbs5_00001
Creative,DBS,ORGANIZATION,dbs7_00113
Creative,Sachin Mittal,PERSON,dbs7_00113
Creative Technology,DBS,ORGANIZATION,dbs4_00115
Creative Technology,Sachin Mittal,PERSON,dbs4_00115
DBS,David Gledhill,PERSON,dbs7_00100
DBS,Derek Tan,PERSON,dbs3_00131|dbs3_00145
DBS,EDBI,ORGANIZATION,dbs3_00014|dbs3_00028
DBS,Frasers,ORGANIZATION,dbs6_00007
DBS,GST,ORGANIZATION,dbs4_00131|dbs4_00171|dbs7_00108
DBS,Global Finance,ORGANIZATION,dbs4_00119
DBS,Golden Gate Ventures,ORGANIZATION,dbs3_00002
DBS,Golden gate Ventures,ORGANIZATION,dbs3_00028
DBS,Gupta,PERSON,dbs6_00008|dbs6_00019
DBS,Head of Group Technology and Operations,ORGANIZATION,dbs2_00059
DBS,Investors,PERSON,dbs3_00122
DBS,Irvin Seah,PERSON,dbs4_00131|dbs4_00171|dbs7_00075|dbs7_00108
DBS,Leaders,PERSON,dbs6_00004|dbs6_00007
DBS,Lok,PERSON,dbs4_00070
DBS,Megachem Limited,ORGANIZATION,dbs6_00007
DBS,Mervin Song,PERSON,dbs3_00179
DBS,NIM,ORGANIZATION,dbs4_00107
DBS,O&M,ORGANIZATION,dbs7_00000
DBS,OCBC,ORGANIZATION,dbs4_00010|dbs4_00107|dbs4_00119|dbs7_00000|dbs7_00001|dbs7_00031|dbs7_00056
DBS,PREH,ORGANIZATION,dbs3_00148
DBS,Piyush Gupta,PERSON,dbs1_00001|dbs4_00068|dbs6_00009|dbs6_00015|dbs6_00018|dbs6_00023|dbs6_00034|dbs7_00129
DBS,Ponzi,PERSON,dbs2_00059
DBS,REUTERS,ORGANIZATION,dbs7_00101
DBS,Rakuten Ventures,ORGANIZATION,dbs3_00014|dbs3_00028
DBS,Reits,ORGANIZATION,dbs5_00001
DBS,S-REITs,ORGANIZATION,dbs3_00145
DBS,SME,ORGANIZATION,dbs3_00023|dbs4_00003|dbs7_00087
DBS,Sachin Mittal,PERSON,dbs1_00016|dbs4_00115|dbs7_00113
