name,type,importance,sentiment_emb
DBS,ORGANIZATION,1.0,54.54545454545454
Piyush Gupta,PERSON,0.38868514268711624,0.0
Leaders,PERSON,0.09670914903081979,100.0
AXA,ORGANIZATION,0.08316930378594868,-100.0
Derek Tan,PERSON,0.07210189785979133,-100.0
OCBC,ORGANIZATION,0.06603517627695189,100.0
Sachin Mittal,PERSON,0.06581613040671506,100.0
Carousell,PERSON,0.06168825436581613,100.0
GST,ORGANIZATION,0.046886876093624845,0.0
Irvin Seah,PERSON,0.04465411065005473,100.0
Tan Su Shan,PERSON,0.039671705507128945,100.0
Wong,PERSON,0.026738804590653562,0.0
UOB,ORGANIZATION,0.02665427898319809,100.0
Gupta,PERSON,0.018476441298348207,-100.0
SME,ORGANIZATION,0.012737419931501095,0.0
Venture,ORGANIZATION,0.006595735904036025,0.0
Rakuten Ventures,ORGANIZATION,0.005932700175239482,0.0
EDBI,ORGANIZATION,0.0049043109589472335,0.0
Golden Gate Ventures,ORGANIZATION,0.002990621942317243,100.0
