name,article_id
AEI,dbs3_00122
AXA,dbs3_00122|dbs3_00148
BLOOMBERG,dbs6_00008
Best Managed Board,dbs6_00038
CBD,dbs5_00001
CIMB,dbs7_00001
CNBC,dbs7_00100
CapitaLand,dbs6_00004
Carousell,dbs3_00002|dbs3_00028|dbs3_00138
Colliers,dbs5_00001
Creative,dbs7_00113
Creative Technology,dbs4_00115
DBS,dbs1_00000|dbs1_00001|dbs1_00012|dbs1_00016|dbs1_00017|dbs2_00001|dbs2_00010|dbs2_00059|dbs3_00000|dbs3_00002|dbs3_00011|dbs3_00014|dbs3_00015|dbs3_00023|dbs3_00028|dbs3_00122|dbs3_00131|dbs3_00145|dbs3_00148|dbs3_00179|dbs4_00003|dbs4_00005|dbs4_00010|dbs4_00068|dbs4_00070|dbs4_00101|dbs4_00106|dbs4_00107|dbs4_00115|dbs4_00119|dbs4_00131|dbs4_00171|dbs5_00000|dbs5_00001|dbs6_00004|dbs6_00007|dbs6_00008|dbs6_00009|dbs6_00015|dbs6_00018|dbs6_00019|dbs6_00023|dbs6_00034|dbs6_00038|dbs7_00000|dbs7_00001|dbs7_00006|dbs7_00016|dbs7_00031|dbs7_00043|dbs7_00056|dbs7_00075|dbs7_00087|dbs7_00100|dbs7_00101|dbs7_00104|dbs7_00108|dbs7_00112|dbs7_00113|dbs7_00129
David Gledhill,dbs7_00100
Derek Tan,dbs3_00131|dbs3_00145|dbs7_00120
Deutsche Bank,dbs2_00031
EDBI,dbs3_00014|dbs3_00028
Frasers,dbs6_00007
GST,dbs4_00131|dbs4_00171|dbs7_00108
Global Finance,dbs4_00119
Golden Gate Ventures,dbs3_00002|dbs3_00138
Golden gate Ventures,dbs3_00028
Gupta,dbs6_00008|dbs6_00019
Head of Group Technology and Operations,dbs2_00059
Hong Leong Finance,dbs2_00152
Investors,dbs3_00122
Irvin Seah,dbs4_00131|dbs4_00171|dbs7_00075|dbs7_00108
Leaders,dbs6_00004|dbs6_00007
Lok,dbs4_00070
MAS,dbs2_00031
Megachem Limited,dbs6_00007
Mervin Song,dbs3_00179
NIM,dbs4_00107
O&M,dbs7_00000
OCBC,dbs4_00010|dbs4_00107|dbs4_00119|dbs7_00000|dbs7_00001|dbs7_00031|dbs7_00056
PREH,dbs3_00148
Piyush Gupta,dbs1_00001|dbs4_00068|dbs6_00009|dbs6_00015|dbs6_00018|dbs6_00023|dbs6_00034|dbs7_00129
Ponzi,dbs2_00059
REUTERS,dbs7_00101
Rakuten Ventures,dbs3_00014|dbs3_00028
Reits,dbs5_00001
S-REITs,dbs3_00145
SME,dbs3_00023|dbs4_00003|dbs7_00087
Sachin Mittal,dbs1_00016|dbs4_00115|dbs7_00113
Sequoia Capital,dbs3_00138
Sequoia India,dbs3_00028
SingTel,dbs3_00100
Singtel,dbs6_00004
Taimur Baig,dbs2_00031|dbs7_00104
Tan Su Shan,dbs1_00012|dbs4_00070|dbs4_00106
Tuan Sing Holdings,dbs6_00007
UOB,dbs4_00010|dbs4_00107|dbs4_00119|dbs7_00000|dbs7_00031|dbs7_00056
VETERAN,dbs7_00104
Venture,dbs6_00015|dbs6_00034
Venture boss,dbs6_00034
Wee,dbs7_00000
Wong,dbs6_00015|dbs6_00034
Y Ventures,dbs3_00000
