source,target,link_type,weight
DBS,OCBC,ORGANIZATION,15
OCBC,UOB,ORGANIZATION,13
DBS,UOB,ORGANIZATION,13
DBS,Piyush Gupta,PERSON,10
DBS,POSB,ORGANIZATION,9
DBS,Tan Su Shan,PERSON,6
Chubb,DBS,PERSON,6
City Developments Limited,DBS,ORGANIZATION,5
Bloomberg,City Developments Limited,ORGANIZATION,4
Bloomberg,DBS,ORGANIZATION,4
HSBC,UOB,ORGANIZATION,3
HSBC,PayNow,ORGANIZATION,3
DBS,Neal Cross,PERSON,3
HSBC,OCBC,ORGANIZATION,3
DBS,Hou Wey Fook,PERSON,3
OCBC,PayNow,ORGANIZATION,3
Maybank,OCBC,ORGANIZATION,3
DBS,Maybank,ORGANIZATION,3
PayNow,UOB,ORGANIZATION,3
DBS,MCA,ORGANIZATION,3
Maybank,UOB,ORGANIZATION,3
Boston Scientific,FDA,ORGANIZATION,3
DBS,SMEs,ORGANIZATION,3
DBS,Singapore Airlines,ORGANIZATION,3
DBS,Visa,ORGANIZATION,3
DBS,PD,ORGANIZATION,3
Maybank,PayNow,ORGANIZATION,2
DBS,Triyards,PERSON,2
DBS,Standard Chartered Bank,ORGANIZATION,2
ComfortDelGro,DBS,ORGANIZATION,2
Citibank,HSBC,ORGANIZATION,2
Citibank,Maybank,ORGANIZATION,2
Citibank,OCBC,ORGANIZATION,2
Maybank,Standard Chartered Bank,ORGANIZATION,2
Citibank,PayNow,ORGANIZATION,2
Citibank,UOB,ORGANIZATION,2
Citibank,DBS,ORGANIZATION,2
DBS,Nets,ORGANIZATION,2
Health Canada,Medtronic,ORGANIZATION,2
DBS,Messenger,PERSON,2
HSBC,Standard Chartered Bank,ORGANIZATION,2
DBS,Ezion,ORGANIZATION,2
DBS,SME,ORGANIZATION,2
DBS,SIA,ORGANIZATION,2
DBS,Women,PERSON,2
HSBC,Maybank,ORGANIZATION,2
DBS,HSBC,ORGANIZATION,2
DBS,Xero,ORGANIZATION,2
Ezion,UOB,ORGANIZATION,2
Ezion,OCBC,ORGANIZATION,2
DBS,David Gledhill,PERSON,2
DBS,PayNow,ORGANIZATION,2
Citibank,Standard Chartered Bank,ORGANIZATION,2
BSX,Boston Scientific,ORGANIZATION,2
SIA,Singapore Airlines,ORGANIZATION,2
SMEs,Xero,ORGANIZATION,2
CIMB,UOB,ORGANIZATION,2
Carousell,DBS,PERSON,2
Caterpillar,DBS,ORGANIZATION,2
Caterpillar,Ezion,ORGANIZATION,2
OCBC,Triyards,PERSON,2
OCBC,Standard Chartered Bank,ORGANIZATION,2
Caterpillar,OCBC,ORGANIZATION,2
PayNow,Standard Chartered Bank,ORGANIZATION,2
CIMB,OCBC,ORGANIZATION,2
Caterpillar,UOB,ORGANIZATION,2
Standard Chartered Bank,UOB,ORGANIZATION,2
Triyards,UOB,PERSON,2
CIMB,Ezion,ORGANIZATION,2
CIMB,Caterpillar,ORGANIZATION,2
CIMB,DBS,ORGANIZATION,2
Ezion,Maybank,ORGANIZATION,1
Piyush Gupta,UOB,PERSON,1
Piyush Gupta,Tan Su Shan,PERSON,1
Piyush Gupta,Women,PERSON,1
Messenger,POSB,PERSON,1
Nets,OCBC,ORGANIZATION,1
Nets,UOB,ORGANIZATION,1
OCBC,Piyush Gupta,PERSON,1
Caterpillar,Maybank,ORGANIZATION,1
BSX,FDA,ORGANIZATION,1
Boston Scientific,DBS,ORGANIZATION,1
CIMB,Maybank,ORGANIZATION,1
Chubb,SME,PERSON,1
City Developments Limited,Piyush Gupta,PERSON,1
City Developments Limited,Women,PERSON,1
ComfortDelGro,OCBC,ORGANIZATION,1
DBS,FDA,ORGANIZATION,1
DBS,Health Canada,ORGANIZATION,1
