name,type,importance,sentiment_emb
DBS,ORGANIZATION,1.0,41.935483870967744
Piyush Gupta,PERSON,0.12743105388075318,-100.0
Chubb,PERSON,0.05184287381637181,0.0
Boston Scientific,ORGANIZATION,0.03835271179984198,100.0
OCBC,ORGANIZATION,0.03826340277429144,50.0
Women,PERSON,0.032739202326578336,0.0
PayNow,ORGANIZATION,0.03246028490759151,100.0
POSB,ORGANIZATION,0.03212184860020182,-100.0
SMEs,ORGANIZATION,0.02718256116000506,100.0
Bloomberg,ORGANIZATION,0.02658163928713156,-100.0
Medtronic,ORGANIZATION,0.025467931521875774,100.0
Tan Su Shan,PERSON,0.025085898638138593,100.0
UOB,ORGANIZATION,0.022031421988236908,100.0
Ezion,ORGANIZATION,0.02089557496929187,0.0
Nets,ORGANIZATION,0.018381835774667055,100.0
Neal Cross,PERSON,0.0160549012810635,100.0
David Gledhill,PERSON,0.012648237032389018,0.0
City Developments Limited,ORGANIZATION,0.01124935839225846,-100.0
Visa,ORGANIZATION,0.009933278736109278,-100.0
Singapore Airlines,ORGANIZATION,0.008960842379133268,-100.0
BSX,ORGANIZATION,0.00881040289952443,100.0
FDA,ORGANIZATION,0.0077162200426541434,100.0
Hou Wey Fook,PERSON,0.007376593114247292,0.0
Carousell,PERSON,0.007025665427531955,100.0
PD,ORGANIZATION,0.0065481473929856525,100.0
Messenger,PERSON,0.0065394767544254846,-100.0
SIA,ORGANIZATION,0.006190158168608614,-100.0
Triyards,PERSON,0.00609928915804381,0.0
Health Canada,ORGANIZATION,0.004558949708745688,100.0
Xero,ORGANIZATION,0.0038299460143077805,100.0
MCA,ORGANIZATION,0.003480414007426173,-100.0
HSBC,ORGANIZATION,0.002740612454727755,100.0
Maybank,ORGANIZATION,0.002257068259699257,100.0
Citibank,ORGANIZATION,0.0019327147759110761,100.0
SME,ORGANIZATION,0.0017163131298742727,0.0
CIMB,ORGANIZATION,0.0015049202284963558,0.0
Caterpillar,ORGANIZATION,0.0015049202284963558,0.0
Standard Chartered Bank,ORGANIZATION,0.000935145247369759,100.0
ComfortDelGro,ORGANIZATION,0.0005594166383277246,0.0
