level_0,index,topic_id,article_id,date,title,full_title,media,language,topic_score,article_score,href,thumbnail,abstract,text,sentiment_score,sentiment_magnitude,topic_sentiment_score,organization,person,topic_title
0,6,1,olivine_electronics_00000,2018-02-21,Working at Olivine Electronics Pte Ltd company profile and information ...,Working at Olivine Electronics Pte Ltd company profile and information ...,,en,1.0,1.0,https://www.jobstreet.com.sg/en/companies/659971-olivine-electronics-pte-ltd,,"Feb 21, 2018 - Considering a career at Olivine Electronics Pte Ltd? Learn what its like to work for Olivine Electronics Pte Ltd by reading employee ratings and reviews on ...","Working at Olivine Electronics Pte Ltd company profile and information .... Feb 21, 2018 - Considering a career at Olivine Electronics Pte Ltd? Learn what its like to work for Olivine Electronics Pte Ltd by reading employee ratings and reviews on ...",0.0,0.20000000298023224,0.0,Olivine Electronics Pte Ltd,,Working at Olivine Electronics Pte Ltd company profile and information ...
1,7,1,shanyos_pte_ltd_00000,2018-02-17,Working at SHANYOS PTE. LTD. company profile and information ...,Working at SHANYOS PTE. LTD. company profile and information ...,,en,1.0,1.0,https://www.jobstreet.com.sg/en/companies/678517-shanyos-pte-ltd,,"Feb 17, 2018 - Considering a career at SHANYOS PTE. LTD.? Learn what its like to work for SHANYOS PTE. LTD. by reading employee ratings and reviews on JobStreet.
com ...","Working at SHANYOS PTE. LTD. company profile and information .... Feb 17, 2018 - Considering a career at SHANYOS PTE. LTD.? Learn what its like to work for SHANYOS PTE. LTD. by reading employee ratings and reviews on JobStreet.
com ...",0.0,1.100000023841858,0.0,SHANYOS PTE|LTD,,Working at Olivine Electronics Pte Ltd company profile and information ...
2,9,2,tri_star_electronics_00000,2018-05-07,"Global Circular MIL Spec Contacts Market 2018 Share- Deutsch, AB ...",global circular mil spec contacts market 2018 share deutsch ab connectors tri star electronics,The Columnist,en,0.9493801652892563,1.0,https://columnistofweek.com/6464886/global-circular-mil-spec-contacts-market-2018-share-deutsch-ab-connectors-tri-star-electronics/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-JcfQXl2q1EHz_WtFYtxmLEANyI1OTvbTWTEzZNzkDMCGH3w5CkvDRkSP-LrHpfaeNIHE3kEG,"... AB Connectors, Deutsch, Souriau, Tri-Star Electronics, TE Connectivity. The leading prominent terrestrial regions covered by world Circular MIL Spec Contacts ...","global circular mil spec contacts market 2018 share deutsch ab connectors tri star electronics. ... AB Connectors, Deutsch, Souriau, Tri-Star Electronics, TE Connectivity. The leading prominent terrestrial regions covered by world Circular MIL Spec Contacts ...",0.10000000149011612,0.5,0.10000000149011612,TE Connectivity,Deutsch,"Global Circular MIL Spec Contacts Market 2018 Share- Deutsch, AB ..."
3,10,2,tri_star_electronics_00001,2018-05-18,Global Circular MIL Spec Contacts Market 2018 Assessment- Deutsch ...,global circular mil spec contacts market 2018 assessment deutsch tri star electronics and ab connectors,The Columnist,en,0.9493801652892563,0.8857808857808858,https://columnistofweek.com/6507466/global-circular-mil-spec-contacts-market-2018-assessment-deutsch-tri-star-electronics-and-ab-connectors/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQImuwSyxRz8YNjITGyI6V6CViGUJmPUZhSA9Y4r2HmVoa5Xzd82SnJrjmVWR_91PZ2jLqCBTQ,"Global Circular MIL Spec Contacts market is cleft according to major marketing players including Deutsch, Tri-Star Electronics, AB Connectors, Souriau, ...","global circular mil spec contacts market 2018 assessment deutsch tri star electronics and ab connectors. Global Circular MIL Spec Contacts market is cleft according to major marketing players including Deutsch, Tri-Star Electronics, AB Connectors, Souriau, ...",0.10000000149011612,0.30000001192092896,0.10000000149011612,Tri-Star Electronics|Souriau,Deutsch,"Global Circular MIL Spec Contacts Market 2018 Share- Deutsch, AB ..."
4,1,0,kobian_pte_ltd_00002,2018-05-15,Aftermarket for PC Accessories Market: Global Industry Analysis and ...,aftermarket for pc accessories market global industry analysis and forecast by 2021.html,openPR (press release),en,0.7787004662004663,0.7905982905982907,https://www.openpr.com/news/1050941/Aftermarket-for-PC-Accessories-Market-Global-Industry-Analysis-and-Forecast-BY-2021.html,,"... Hewlett-Packard Company, Logitech International S.A., Microsoft Corporation, Toshiba Corporation, Elecom Co. Ltd., Kobian Pte Ltd. and Mad Catz Interactive ...","aftermarket for pc accessories market global industry analysis and forecast by 2021.html. ... Hewlett-Packard Company, Logitech International S.A., Microsoft Corporation, Toshiba Corporation, Elecom Co. Ltd., Kobian Pte Ltd. and Mad Catz Interactive ...",0.30000001192092896,0.8999999761581421,0.30000001192092896,Microsoft Corporation|Hewlett-Packard Company|Logitech International S.A.|Kobian Pte Ltd.|Mad Catz Interactive|Toshiba Corporation|Elecom Co. Ltd.,,Aftermarket for PC Accessories Market: Global Industry Analysis and ...
5,2,0,kobian_pte_ltd_00003,2018-05-30,Aftermarket for PC Accessories Market: Great Impact in Near Future by ...,aftermarket for pc accessories market great impact in near future by 2021,satPRnews (press release),en,0.7787004662004663,0.7100591715976332,https://www.satprnews.com/2018/05/31/aftermarket-for-pc-accessories-market-great-impact-in-near-future-by-2021/,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAMAAABHPGVmAAAArlBMVEX///8FltlycW////0AkNcAhNQAjNYAitX8/PwAiNUAhtX19fWi0u75+fms2fEAjtZzvejv+f1paGbn5+eWzOugoJ6TkpG13fKOjYvMzMvT6/ezsrGAf31iYV/q9fzU09Nhs+MAfdOqqqhMqeDEw8Le3t0Am9sjoNzSNxeBwenjgnW7urr55ODQIwDf8flku+buubHG5fbda1zppJvVQin77ezuxsFZV1Xnl46GzevNROt2AAAGL0lEQVRoge1YaZOjNhCVjLgM5jBgDmNgwUCId5klyeb4/38sr4Xt8TGbqmQmH5LizZSN1K1+6lYLtczYggULFixYsGDBggX/FxhWUJ72NbA/tsHmX2Cwyn2y2p5xOBy2eR18MMMx2R62KwD2t6scWG1/+y0vP4zBSJMLwSo6lYFxYW5Pef4x3lin1cyw3Z2u9oHxJZwKFtTth1Fst/kdA6BkQnTeyALlvRzHM0VSGs/C2OWCO8T3Hp42P1CgDrvvhIQD5sQU9n0ShV2Eyl3nPDOFWZFc7kMyr+083VeDaHsu50L4txaeCKGmyKHKVe2G1YqSHSElRan6aoWa+HMaQnyxdel+dOWB/Txb5WzJUF57b5RuTBjGdZLKxdU7BTwbseM4GZ4mh1DQdzyScBq8EHH49vuv50bBRsd51QL8zCsU5tNHIRVYIfune0eUylRVVfdYqONb/eTZ5zYbdNVcdwX7+uWXb5CuTZOP1SfV1HT1U+WZUtuu1gNjthqyTKxNnfuFWJNAG+/iVXR9HDu9nvXciYGiEWg3ppNpfeaHWsO+/fQzK9R+8m29GeN4cL04HnlPyrFf8c5njmobvWsXg/YS6wP1Z/eLUvCeQqWHTefLCDcubTLNc0ykv8+ROL9+ZvE6hFYnEI9Yt6m/mYdX3HVA4kyaxxRoO5rztGhEAnVldIcbEoVtRDVRyJhjs89ffmSTCRtKHELV0Wwy18yWKiEaIhk0WobBk1N43DIKeYKomnbfZeM4FkYjkCKOPvi9O0jazz/8yFjveuOcZI4+k0B59OFJIzJn7VRilKYdPSwgeHg3FF3neRXXil5oOjBhWNMLUShZrwqikSRFYwrQKEySIFxcczXdzSruaF6sOhX3ZYLbQmiurlaPJFwTLo9ZxweC34iuQx8tXdybbjyTIIcbU3fYlaQj5dCvhN/wP9b2lcRtSBA/kvSbooB73WVNBHbXpA0Fhcfm3CeSgjgnwYsryWXhtY2t9RqFi9SHWHfYM4rLEnbYEpfsYoXmIRHQ+6JlROK5NINBn25I5P6GJ4iFi4WPaaxpzwt/t/QKeTKnQ8cv2QW3CterRCZnKkkGk5LH06YnT5Dig3CdSccy+F0Xm/azI8oos0uShIRMpnAhmljv42zQerkmmdrFWaghoop9XhNStguQKKPQsBn1MHvBTtRfbAge10ScSULNXJtr9aUxyR/uKniTqGZTyH3CbE1V1z2lF7a3jJyJl84n21Phf6U6bOSkbYzcXMPM/WtFYbF8mSG+Y0YwpphijU9W2OFECf/1M/nmYHok8W2f3rVSe2SZA9kYGtg6pA1xNgvu4/XwzW6Pliel61nzekIpyhuKj9gYdCTQg2xZ9GXIlmGhgQ6LvUo2lkX6sqCYn6GskCrZN6yzscdqIKkZy094OOCIbVd13uJAZCl6kihKWbrbRsTSriLUV1YeRZDnpwR9hyjCkDKHNNpFCViTfb5BhcSC6IEE0iCBybLe42NPDFYUYAjbSbkxD2hniexrI8z5It+DlWEeIIxK1rZvktSn8nQ8kd7OQG0i55vQvOBJbdA5P5PkNUlW9R59+3wnPcGwzR708GQHyp0sN4JtlDx5EkR1Ce18j0CVNflg5dY+vcz0QhJZiMvsCVbkWJ/l5a5Gf9SW6KhLFgRvh8tKUkSpPLK2Bgk7HaWplcGS47G92CXhKQV9egxYm5RYLbY64jnaUKDgA6iCpMxnkt0DCWKA3GC4amzwGCBz6J/abZq2TDbIoVmCvoAKfCr1SnqmlhxNdxXriCjCzOafleDPG+AdZek+quvo+BaJMg7eK6o/jL+qTP8a9QF3KCT7jYG5Jhw9VKNXmFXxDwkIrazgW3YpeufpGjiUBX+FeON9/jewyYkEGehfu4xp6NwrRcc5yq933kdSuilsS5b1g40qL/R6od86wV26jrzrNgJE8uIWsLExXQo/v4PgKGCUd+UWwcrBss0t5g/8kUHe3T4EG8mywnbLmhtH4FRjj++P1BlGTderA73Hs7ARGoo+zeWVTYXFB1EQgmi7xY09SekkKZ6P0w+CdUrkDw/5bn9M0zItW+vfoDGsNqUfaiL5S431xvV6wYIFCxYsWLBgwYL/Jv4Edr+LJGB3slsAAAAASUVORK5CYII=","... Hewlett-Packard Company, Logitech International S.A., Microsoft Corporation, Toshiba Corporation, Elecom Co. Ltd., Kobian Pte Ltd. and Mad Catz Interactive ...","aftermarket for pc accessories market great impact in near future by 2021. ... Hewlett-Packard Company, Logitech International S.A., Microsoft Corporation, Toshiba Corporation, Elecom Co. Ltd., Kobian Pte Ltd. and Mad Catz Interactive ...",0.30000001192092896,0.8999999761581421,0.30000001192092896,Microsoft Corporation|Hewlett-Packard Company|Logitech International S.A.|Kobian Pte Ltd.|Mad Catz Interactive|Toshiba Corporation|Elecom Co. Ltd.,,Aftermarket for PC Accessories Market: Global Industry Analysis and ...
6,11,3,tri_star_electronics_00003,2018-05-07,Hot styrene rubber Market 2018 Segmentation and Major Players ...,hot styrene rubber market 2018 segmentation and major players analysis including growth trends and forecasts,The Columnist,en,0.6858974358974359,0.7100591715976332,https://columnistofweek.com/6464578/hot-styrene-rubber-market-2018-segmentation-and-major-players-analysis-including-growth-trends-and-forecasts/,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBwgHBgkIBwgKCgkLDRYPDQwMDRsUFRAWIB0iIiAdHx8kKDQsJCYxJx8fLT0tMTU3Ojo6Iys/RD84QzQ5OjcBCgoKDQwNGg8PGjclHyU3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3N//AABEIAGQAZAMBIgACEQEDEQH/xAAcAAACAgMBAQAAAAAAAAAAAAAFBgAEAQMHAgj/xAA3EAABAwMDAgQFAgQGAwAAAAABAgMEAAURBhIhMUETIlFhBxQycYFCkRUWI1IzNHKhsfAkYtH/xAAXAQADAQAAAAAAAAAAAAAAAAAAAQID/8QAHhEAAgICAwEBAAAAAAAAAAAAAAERIQIxEkFRAzL/2gAMAwEAAhEDEQA/AKllQzKuEePIdLTTiwlSwMkf9OBTLqO2RLYYzlukqfZc3JUSoK2qTjjI+9IP+KytsKKSpJAUk8pPqKdYly0VI08lhmQWX44KVPuuEuJUOpWVHnnt+2K0yyaaJSlFVN/uFk2vWyE7LccO1QaxuSPsetXrZImzG0Oz8/NyFlamyR/TKjwjPsMD8VTsd8tllmNzLs4hAzhrxFbU7vv2IwcU62O9WbUvzMmLHTI3JUhR2ZygKI+/ODg9x9qltLIaTaB9+0xIk2dSFSnmUqIUtyI5sW3g5HNXNDfxCJb3bfKluyW4yv6Ux/lbm7naf9PTP/yiS/AbWy8hQTAjMLQ5HSjcjqnao/6QlQ/Ptwi374mTLJInJg2Hx7alwtxZLRy2tY4UFAdPNuH4qJ5FRA9IiowpbkllPOcJyofvWpK8Hr3rmrWk5VwjtSX77doUh9HiPR47+1ttavMUpT2AJxj2p7inwmW29xVsQlOT1OBjNUp7E46N95vkewW1dymf5dpSQ4dpVtCjtBwOepFa9L6utuq0SXLW4FJjKSlXkKcZzjqParCVhScKAKT1B5re2pKR5UpSPYUuNyE1ATSPJu3ox9+ayF0iiw6iOovnUalDdtTJDqYXywVlOclBVkHnkZ5pyC+eKLAtbqlaUlShlIyKzQB8+FLkd5bL6FNutqKVoUMFJHUGvJgQ35jUt1lJeaOQr19M+tH9N6Rn6ktz1zTOZQ8p0gJfJ/qq6qUVDOOT6UKnxH7VPdgzAkPNkA7VAg5APB+xrVNMiGhllaj+H67AphSEy5KEeH4ZCwtxzpyk8HmqDWopOkMSLNa25CnglpYbbJ2pTnbwO3JoKlmM46h1xhpTiTuSooGQfWijLvvS4esOXgyaN1A1GWYl1e8Jy+yFSBHfH0qUEhTfrjGOKbLZpy02GOlryfJoThpKlEBsZ6Hnn80s6dg6blxjJvTTEmeyvfHSSfEbA5GADnOQf2orabvPaskV3U1pUy89MDUdBZ3HK+Wwf7TztycDI+1ZOnRavZrmFtqa6hk5a3ZQQc8HpXpt3pVabY3LEgFIHyzzq1N7Vbtu5RVj26nj2oi3LtS7P4SfB+eSkE8+bOf+8VbdEhJUDYwHUymlcDKehyewqsh2kRNmvQuiXU6lkuQFPFx2M4nJAznalXOB24xxTpBZfmKUGEFZSMnBpKext+F9DlbUue9Dtym1FKwUqHUKGMVbhoEhe0vIbI5wepobAEahst0uk1D9v1FLtzQbCSy0AQVZPm5HuP2rFH3o7iF4ZCnUf3BJqUQMUbFakw/h5JkNty7TcRHK1OyCvAcSc52K4CVY7DOD7Vu0O/aJFqFvQ61crhLQHZipAGVnjPHUJT0H49aXdZ6mvEm4tQ22GRpu5qDbU5/cPGaOAsjOMDzHnGCORXToxjPrQtuGsOMshtK0tYKUH9IOOnl6e1RIxK+ITelbdFQ2oNxLmUhuO3HIG89AFJ9Pfj717gagsk6wMQLJbRcZUdbTchBYBUhIUPEWrHTgKx6nFX29NwmdV3W+yrMqctIQpl98+IppQQMoQ13xgEEDOSRS1YviMiRfZCNPWB5bM5ZKS0hKVvPhJyrHAwUjueo96chQz3/T8e9vW2/aejwxPg7wlxBCN4xjHA579emTihktnWdw8uoGoFrtCtqXHGpPiPoORtUFdMg4wcdaYrJNEWyuvXWAmxPOuOK8BxYSFLPJVwccnn80MvV20/fbKbK3cUqmT2ghtjxcuqUedpSnp6E8Y5PalIBXUC0TLUEMzEIDXmLbmPPgZ4PY0tRNE2dbA1BKW43Oz4owslPok7M9TRebo/TUgW+3PeLHkxWwqOEzFbiE4G4pz5h0598d602fTWp7PqASGrwxLti0qAYcSBs+yhz29+tCbgGrKTGEyUsylKYG7CypPKPxRiWJtv8Alk6efYkvrew4xKcDSVIwclKgCQQQPUYzx3qhqndqC5PWRERapXhEOPsjaAgjGCr+7nPtx68q9vZ09oO4rmX6M4uSf6aX5W55SF9eMeozzVZNtEpQx6u+pf5esqZd/DLk15RbDUUlwLVyUNpyBkke3XNALlbZuoYcVKJMu1ySAp1MJZKk5HmRn2OOfah6bxA1TdjdoD3iQWUhtDCmdobeGcrTn1SoDpVybqO7WJKHbZDXNbcJQthnhW44wonsnrn70oqRzcFWT8VVaYeVZ7laHozsbypQpJypHZXXnPXNSitr+IMAxduqGY1uuSFELYfKVeXqkpPcYP75qVMFSX9TWK4akkMQlyYsW3MqQ+iTs8RxbvICUpyNgHc85zj1plhzPmpT8OQooeYSkqSTg+bOD/saA3FhyDEgzZN3U3bml5mp2hAcJG1I3fpTuPPPpyK82rT7MSU9OtU175V9QccZkuFwJIxwhX1beOhz96VhQVukqVbWlSEw358ZPKxHSkuAeu0nzD2Tk+1A9Tu2a0SLddHIAizXX0MtPNo2p8/Ct44AwjcefT8UyrWXVNOBXgNN/W0U53DB+n0GcHvSTc/iDp5M963XMNSEFe1BciqW24cfpOCMgkjj96YgnqW12bUrlqkuXF1tUCSHmEBaVIcXlOArjnpjj1o9cpUxMqLFjsIkKfQpxLrqghCCkpGCeTnzZGAeh6VwG7xGk6ofkWyI9BC3EqjxEtFACsABSUYB5IyPvRb+a9XQJ7abkERlMLTvaUhal4PCiQo9kkkCnDCUMHxFXdX9QsMpkfw+eyygMyGXCU+dXm5wODgA5Ham2wW68wbY47Mv6Ljc1sjwUoQG2QoA4BOMnJPJwO3HHOu9W+zanhw7giQ66tCQolnzqkNdSkAd/THv+Btzu1svCokHSSm03wgtMp3rShhCeV+M324GORuyRQ7gFQS1NrN2y25vxYThnuNjZCQPNuwMjPTAzyelJTcmXcGw9fCy/KUoqUAnKUeiRn0HGacoVluN3efY1dKShMfHyrMJwFsgp/xCVDOchQA4A9+tLTunrshyWqPEddYjuqb3gDK8HHA6n8VXzSW2TnZI68lLbaRknCUgd6bWtOZtwWuTmYrlLaSCn2ST60PsGnA2PG1Ah1gL4Zb8TYTxycjkY/FepuodNaUisonzUzHmiVtvv+Zaz03BIGM+4FGWdwgxxlWZf0GJ6kvXBmAXgnbh05UB6cA+pqVpgXSNe2lTf5plx9yyAxFDCQ0OoSre2olWCMnOPSpU82VxL+n4d9scVcKa4zdn2sKadZASvZ0CSFkYOQe9ZsVyu1wvdxj3SGq3txkNKaZeWlXiFe7OSgkZG3PGfqFHnI+X3HpCylDiAhtaP09Tz+/T7+tBG75bYs82puXGdvDu0KC17PGOCcgEnaOvHOPfvPY5B2otbTLNq5m1/IPvJXG8QJijxlqUTwAlPPQK6+3ahTurZd81BAegafuUh20OLMnx4u0spUkA4yeFDhWOpxxRGTboukr21fGpj8ufMc8CW0U7lOhZHLSQMjZhPAz5Qe9NsKc/IeceMf5UJVhwO5SSrCcHGOeMftiq0BSgi06nmwtQwJEd2TFQtkON4WCD2JzwQckH0UfWgev7a9qCzOyY9qccnQ17EODyrUkHzjB5UPtnnpnmt0HR0a33W4zLbfZcRie54iosVpISg9yCrPOSe3TA7UNiSdVXG5SdO3VUi3RkLcTHuwa/qSWkqwAn9IWRg7uwzgdwSIDfCi6SmH5NlgW3xkqCn1SA6lPhA4BGFK+nP9o6npTfaLFco+sJt4uKbagPMIb8dglSykHO3kcnPVXHATjpXPLraJmk9ewIdokPu7nGlIUcbnW1nCknoD3/AGFdWlS4jd5hs/JvF8JUQpLiiBxz5QcHtyR6UZUwVmuCLeu/3NTapc1x4ISseGpTUYJH0BaRgK5KiCd3mFUmL3cIa5jcKBeLkyy8UBa4u1fqUYwM4zwcDII69SVjXe2PyXvlpbaW8jelkjIXyDuHbgCr27xkOuRHgcjKSRjKvf8A2qdjON6h17ctQJcsTlpdgFtzK33M72HEnjH/AAfXJoTDgstuh+Uoy5XUvvjcofb0FH7tpHUUKNJudxYZ2jc8+pt5KgnPKu/qTVa4advVrt4nz4SmYx2jcXEkpz0yAcitsUjNtgqdaLbPfL8qOlTpGCoEjP3x1rNeQ8SO9SqhBJ2pq8QfCMNqQpSwEgKWobirPGeg5x6VVuS3Z0a2vXG3NBlToefEkI3MBKSU7hz+rb64r5rt9wn2yUmVb5TjbyVhec53KHQkd669pL4swFwlo1LuauAGPE2ZbcT+Oh9qwhrZpXQ5x5jk7VzKre4yIwgL+ZdSkKJyseGM/hz/AHorHdktSpvzzKFwUAbH8jKxjzZHUYOa5Joy9zb7rWU3pmOxZ7fJHiv7GzgBHAWUggZUTjHA7+uX3VLd1udum2CzBDkhxhIckKWEIaQvIJV3yQlWAMn8UQIL2yzNR7GWVoTJUNy2nl4U4sbipByec421qXdLo06hL9jkttoP+YCm3EpzgDhKie/XGMZrkkW765i3oaRt7cNyVFIYT4aSoBIA8xUTwkAjkgV0uE/LsMFTerbqzOdccy261/SG3A8pGBznPPpih0hoIXmxfPaisV0eeyuKHUhG3+9PBz7EHj/2pf1Rri06T1H8jcUvLdWwlRdQnhCSVAjHrwKpW7Vdsn60fhuXN2LDbCFxUtOACQvb50qXzwMggDGfxg5+Jeh3r74l/s3/AJEhLYD8P6ipI7o98fp79ueC1Ymcpu8lV2ukq4h95lUl5TmWllOU/pz77cVZg6k1RaktsW26rVHR9KHTnryQfX/mhallIPGCAeOldTn/AA9sLNo+b/jb0RbbG94uoStvIGTjGDim+PYk30Mrk1LWhnf5qmIbkvRlCSuPwGtw+kcnJHA9zSTqP4ksaitgtrLLqNy0qWC2QUAHOCT1rniEEunxJTy2VLC1JUc5PY811O+xfh9/A5ci2YElLJ8EMzFOeft5dxzyaURsewnAe+HrURsOMxFKIyVPSiVH35VUrjLkGK6tS1tjco5PJqU+OfoTj4CxWdoV9QzUqVRI4/Dq8S7ZcXmohQgPhJWrbz5ScD7cmnTQN4mTNU6oefUFL8VpHfACdyQKlSsvp2XiOd3QxaXTcYEVlqZPWlMl4A7nBtURnntgVwXVl3mX6+ShcXN7cdxSGm08JSM9cepqVKa/Qnomn7HEu3zTL6nW0sRlvo8MjO4D3B4ruXw3tjj+jrfuuk8KdZSveFo3JBGdoJT0++T71KlUxIW/hXZ7XMVfH59vjzJEScpDT0lPiKxjPOeM55zjPNKHxYW4xrF6PHdcZjSGGlux0LIbUeR9PQfSKlSm9gKiTmtDcRltxLiEkKHTms1KtiLOazUqUgP/2Q==",Hot styrene rubber Market 2018 research is a professional and in-depth study on the current state of the Hot styrene rubber Market and provides a basic ...,hot styrene rubber market 2018 segmentation and major players analysis including growth trends and forecasts. Hot styrene rubber Market 2018 research is a professional and in-depth study on the current state of the Hot styrene rubber Market and provides a basic ...,0.20000000298023224,1.2000000476837158,0.2500000074505806,Hot,,Hot styrene rubber Market 2018 Segmentation and Major Players ...
7,12,3,tri_star_electronics_00005,2018-05-07,Intermediate Line Repeater Market Segmentation and Major Players ...,intermediate line repeater market segmentation and major players analysis including growth trends and forecasts,The Columnist,en,0.6858974358974359,0.5811965811965811,https://columnistofweek.com/6464581/intermediate-line-repeater-market-segmentation-and-major-players-analysis-including-growth-trends-and-forecasts/,,Intermediate Line Repeater Market 2018 research is a professional and in-depth study on the current state of the Intermediate Line Repeater Market and ...,intermediate line repeater market segmentation and major players analysis including growth trends and forecasts. Intermediate Line Repeater Market 2018 research is a professional and in-depth study on the current state of the Intermediate Line Repeater Market and ...,0.30000001192092896,1.100000023841858,0.2500000074505806,,,Hot styrene rubber Market 2018 Segmentation and Major Players ...
8,0,-1,kobian_pte_ltd_00000,2018-04-17,CBI files case against directors and promoters of 4 private cos for ...,CBI files case against directors and promoters of 4 private cos for ...,Times of India,en,0.4431818181818182,1.0,https://timesofindia.indiatimes.com/india/cbi-files-case-against-directors-and-promoters-of-4-private-cos-for-cheating-six-banks-of-rs-621-crore/articleshow/63804117.cms,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPGqKPtusIHfdTo2hcpEKInN3FLwqbpbqfOfwivz59dEInj_8V2AeLABPwgF7Yzjg5lCtWUQR0,"... promoters of four private companies including Delhi-based Surya Pharmaceutical Limited (SPL), Dubai-based Nimbus FZE, Singapore-based Kobian PTE Ltd ...","CBI files case against directors and promoters of 4 private cos for .... ... promoters of four private companies including Delhi-based Surya Pharmaceutical Limited (SPL), Dubai-based Nimbus FZE, Singapore-based Kobian PTE Ltd ...",0.0,0.0,0.0,CBI|SPL|Nimbus FZE|Surya Pharmaceutical Limited|Kobian PTE Ltd,,CBI files case against directors and promoters of 4 private cos for ...
9,4,-3,newstead_technologies_pte_ltd_00000,2017-02-12,"LifeProof uncovers NUUD for iPhone 7, iPhone 7 Plus","LifeProof uncovers NUUD for iPhone 7, iPhone 7 Plus",Marketwired (press release),en,0.4431818181818182,1.0,http://www.marketwired.com/press-release/lifeproof-uncovers-nuud-for-iphone-7-iphone-7-plus-2195258.htm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFhdKRoDgnezdoeDQE5nFGXicv-xCVSJ8ZmubVmcRSTq001lqhn_xrvmzJvjl79W2alcA7btg,"SINGAPORE--(Marketwired - Feb 12, 2017) - With a screenless design and sleek profile, LifeProof NÜÜD has become the choice of iPhone fans seeking the ...","LifeProof uncovers NUUD for iPhone 7, iPhone 7 Plus. SINGAPORE--(Marketwired - Feb 12, 2017) - With a screenless design and sleek profile, LifeProof NÜÜD has become the choice of iPhone fans seeking the ...",0.4000000059604645,0.8999999761581421,0.4000000059604645,LifeProof|iPhone 7 Plus|Marketwired,,"LifeProof uncovers NUUD for iPhone 7, iPhone 7 Plus"
