source,target,link_type,article_id
Adarash Kumar,Emas Offshore,PERSON,ezra_holdings_00174
Adarash Kumar,Ezra Holdings,PERSON,ezra_holdings_00174
Alam Maritim Resources Bhd,Ezra Holdings Ltd,ORGANIZATION,ezra_holdings_00121
Alam Maritim Resources Bhd,Perisai Petroleum Teknologi Bhd,ORGANIZATION,ezra_holdings_00121
Alam Maritim Resources Bhd,Swiber Holdings Ltd,ORGANIZATION,ezra_holdings_00121
BT,BTI,ORGANIZATION,ezra_holdings_00165
BT,Emas Offshore,ORGANIZATION,ezra_holdings_00165
BTI,Emas,ORGANIZATION,ezra_holdings_00167
BTI,Emas Offshore,ORGANIZATION,ezra_holdings_00165|ezra_holdings_00167
Baker Hughes,EMAS Chiyoda Subsea,ORGANIZATION,ezra_holdings_00154
Baker Hughes,Ezra Holdings,ORGANIZATION,ezra_holdings_00154
Baker Hughes,Subsea 7,ORGANIZATION,ezra_holdings_00154
Bankruptcy Court,Ezra Holdings,ORGANIZATION,ezra_holdings_00149|ezra_holdings_00204
Bankruptcy Court,THE High Court,ORGANIZATION,ezra_holdings_00204
Bibby,Emas Chiyoda,PERSON,ezra_holdings_00020
Bibby,Ezra Holdings,PERSON,ezra_holdings_00020
Bibby,Ocean Lion Shipping Ltd,PERSON,ezra_holdings_00020
Board of directors,Chiyoda,ORGANIZATION,ezra_holdings_00057
Board of directors,EMAS Chiyoda Subsea Ltd,ORGANIZATION,ezra_holdings_00057
Board of directors,Ezra Holdings Limited,ORGANIZATION,ezra_holdings_00057
Board of directors,Reuters,ORGANIZATION,ezra_holdings_00057
CEO signals bank,CIMB Group Holdings Bhd,ORGANIZATION,ezra_holdings_00012
CEO signals bank,DBS,ORGANIZATION,ezra_holdings_00012
CEO signals bank,Ezra Holdings Ltd,ORGANIZATION,ezra_holdings_00012
CEO signals bank,Swiber,ORGANIZATION,ezra_holdings_00012
CIMB Group Holdings Bhd,DBS,ORGANIZATION,ezra_holdings_00012
CIMB Group Holdings Bhd,Ezra Holdings Ltd,ORGANIZATION,ezra_holdings_00012
CIMB Group Holdings Bhd,Swiber,ORGANIZATION,ezra_holdings_00012
Chiyoda,Chiyoda Corporation,ORGANIZATION,ezra_holdings_00003
Chiyoda,ECS,ORGANIZATION,ezra_holdings_00116
Chiyoda,EMAS,ORGANIZATION,ezra_holdings_00116
Chiyoda,EMAS AMC,ORGANIZATION,ezra_holdings_00009
Chiyoda,EMAS Chiyoda Subsea Ltd,ORGANIZATION,ezra_holdings_00057
Chiyoda,Emas Chiyoda Subsea,ORGANIZATION,ezra_holdings_00003|ezra_holdings_00005
Chiyoda,Ezra Holdings,ORGANIZATION,ezra_holdings_00003|ezra_holdings_00005|ezra_holdings_00009
Chiyoda,Ezra Holdings Limited,ORGANIZATION,ezra_holdings_00057
Chiyoda,L&T,ORGANIZATION,ezra_holdings_00005
Chiyoda,NYK,ORGANIZATION,ezra_holdings_00003
Chiyoda,Reuters,ORGANIZATION,ezra_holdings_00057
Chiyoda,Saudi Aramco,ORGANIZATION,ezra_holdings_00005
Chiyoda Corporation,Emas Chiyoda Subsea,ORGANIZATION,ezra_holdings_00003
Chiyoda Corporation,Ezra Holdings,ORGANIZATION,ezra_holdings_00003
Chiyoda Corporation,NYK,ORGANIZATION,ezra_holdings_00003
Creditors,EMAS Chiyoda,PERSON,ezra_holdings_00114
DBS,Ezra,PERSON,ezra_holdings_00139|ezra_holdings_00140
DBS,Ezra Holdings,ORGANIZATION,ezra_holdings_00139|ezra_holdings_00140
DBS,Ezra Holdings Ltd,ORGANIZATION,ezra_holdings_00012
DBS,OCBC,ORGANIZATION,ezra_holdings_00140
DBS,Swiber,ORGANIZATION,ezra_holdings_00012
DBS,Triyards,ORGANIZATION,ezra_holdings_00139|ezra_holdings_00140
ECS,EMAS,ORGANIZATION,ezra_holdings_00116
ECS,Emas AMC,ORGANIZATION,ezra_holdings_00010
ECS,Ezra Holdings,ORGANIZATION,ezra_holdings_00010
ECS Group,EZRA Holdings,ORGANIZATION,ezra_holdings_00041
ECS Group,Emas Chiyoda Subsea,ORGANIZATION,ezra_holdings_00041
EMAS,Ezra Holdings,ORGANIZATION,ezra_holdings_00044|ezra_holdings_00106
EMAS,ST Engineering,ORGANIZATION,ezra_holdings_00044
EMAS,VT Halter Marine,ORGANIZATION,ezra_holdings_00044
EMAS AMC,Ezra Holdings,ORGANIZATION,ezra_holdings_00009
EMAS Chiyoda Subsea,Ezra Holdings,ORGANIZATION,ezra_holdings_00154
EMAS Chiyoda Subsea,Subsea 7,ORGANIZATION,ezra_holdings_00154
EMAS Chiyoda Subsea Ltd,Ezra Holdings Limited,ORGANIZATION,ezra_holdings_00057
EMAS Chiyoda Subsea Ltd,Reuters,ORGANIZATION,ezra_holdings_00057
EMAS Offshore,Ezra Holdings,ORGANIZATION,ezra_holdings_00000|ezra_holdings_00193
EMAS Offshore,Oslo Stock Exchange,ORGANIZATION,ezra_holdings_00193
EOL,Emas Offshore,ORGANIZATION,ezra_holdings_00142
EOL,Ezra Holdings,ORGANIZATION,ezra_holdings_00087|ezra_holdings_00142
EOL,ICBC,ORGANIZATION,ezra_holdings_00087
EOPL,Emas Offshore,ORGANIZATION,ezra_holdings_00211
EOPL,Ezra Holdings,ORGANIZATION,ezra_holdings_00200
EOPL,Ezra Holdings Limited,ORGANIZATION,ezra_holdings_00211
EOPL,Owner,PERSON,ezra_holdings_00211
EOPL,PSV Charter Terminated,ORGANIZATION,ezra_holdings_00211
EZRA Holdings,Emas Chiyoda Subsea,ORGANIZATION,ezra_holdings_00041
EZRA Holdings,Ezra,PERSON,ezra_holdings_00172
Emas,Emas Offshore,ORGANIZATION,ezra_holdings_00167
Emas AMC,Ezra Holdings,ORGANIZATION,ezra_holdings_00010
Emas Chiyoda,Ezra Holdings,ORGANIZATION,ezra_holdings_00020
Emas Chiyoda,Ocean Lion Shipping Ltd,ORGANIZATION,ezra_holdings_00020
Emas Chiyoda Subsea,Ezra,PERSON,ezra_holdings_00011
Emas Chiyoda Subsea,Ezra Holdings,ORGANIZATION,ezra_holdings_00003|ezra_holdings_00005|ezra_holdings_00011|ezra_holdings_00026
Emas Chiyoda Subsea,L&T,ORGANIZATION,ezra_holdings_00005
Emas Chiyoda Subsea,NYK,ORGANIZATION,ezra_holdings_00003|ezra_holdings_00026
Emas Chiyoda Subsea,SINGAPORE - Offshore,ORGANIZATION,ezra_holdings_00011
