name,type,importance,sentiment_emb
Ezra Holdings,ORGANIZATION,1.0,-60.0
Emas Offshore,ORGANIZATION,0.6487994892839858,-100.0
Ezra,PERSON,0.6067261871355276,-50.0
Triyards,ORGANIZATION,0.1560691492497571,0.0
Oslo Stock Exchange,ORGANIZATION,0.13619312350806367,0.0
EMAS Offshore,ORGANIZATION,0.1064478905616971,0.0
EMAS,ORGANIZATION,0.08457679496528522,-100.0
Rickmers,PERSON,0.07647108165810287,0.0
Emas Chiyoda Subsea,ORGANIZATION,0.061541782951294866,-100.0
Chiyoda,ORGANIZATION,0.05428174313241557,0.0
DBS,ORGANIZATION,0.050822963261388285,-100.0
BTI,ORGANIZATION,0.046315709187466136,0.0
NYK,ORGANIZATION,0.039692085170393666,0.0
EOL,ORGANIZATION,0.022069317989786688,-100.0
Singapore High Court,ORGANIZATION,0.009324048673574444,0.0
Bankruptcy Court,ORGANIZATION,0.008822435606647678,0.0
HK) Ltd,ORGANIZATION,0.008400384175997757,0.0
