source,target,link_type,article_id
Allgreen,Allgreen Holdings,ORGANIZATION,frasers_00327
Allgreen,Frasers Centrepoint,ORGANIZATION,frasers_00327
Allgreen,Zouk,ORGANIZATION,frasers_00327
Allgreen Holdings,Frasers Centrepoint,ORGANIZATION,frasers_00327
Allgreen Holdings,Zouk,ORGANIZATION,frasers_00327
Analysts,Frasers Centrepoint,PERSON,frasers_00461
Artra,EL Development,PERSON,frasers_00114
Artra,Far East Consortium,PERSON,frasers_00114
Artra,Frasers Centrepoint,PERSON,frasers_00114
Artra,New World Development,PERSON,frasers_00114
Artra,Parc Riviera,PERSON,frasers_00114
Artra,URA,PERSON,frasers_00114
BLOOMBERG,Charoen Sirivadhanabhakdi,PERSON,frasers_00071
BLOOMBERG,Frasers Centrepoint,ORGANIZATION,frasers_00071
BLOOMBERG,TCC Group,ORGANIZATION,frasers_00071
BT,Frasers Centrepoint,ORGANIZATION,frasers_00385
BT,RETAIL,ORGANIZATION,frasers_00385
CDL Hospitality Trusts,Frasers Centrepoint,ORGANIZATION,frasers_00203|frasers_00205
CDL Hospitality Trusts,Hi-P International,ORGANIZATION,frasers_00205
CDL Hospitality Trusts,Lippo Malls Indonesia Retail Trust,ORGANIZATION,frasers_00203|frasers_00205
CDL Hospitality Trusts,Mapletree Logistics Trust,ORGANIZATION,frasers_00203|frasers_00205
CDL Hospitality Trusts,Singapore Exchange,ORGANIZATION,frasers_00203|frasers_00205
CEL Development,EL Development's Parc Riviera,ORGANIZATION,frasers_00378
CEL Development,Frasers Centrepoint,ORGANIZATION,frasers_00378
CEL Development,Hoi Hup Realty,ORGANIZATION,frasers_00378
CEL Development,Qingjian Realty,ORGANIZATION,frasers_00378
CapitaLand,City Developments Limited,ORGANIZATION,frasers_00394
CapitaLand,DBS,ORGANIZATION,frasers_00394
CapitaLand,Frasers Centrepoint,ORGANIZATION,frasers_00394
CapitaLand,Frasers Logistics & Industrial Trust,ORGANIZATION,frasers_00394
CapitaLand,Greater China Commercial Trust,ORGANIZATION,frasers_00394
CapitaLand,Keppel Corp,ORGANIZATION,frasers_00394
CapitaLand,Mapletree,ORGANIZATION,frasers_00394
CapitaLand,Sembcorp Industries,ORGANIZATION,frasers_00394
CapitaLand,Singtel,ORGANIZATION,frasers_00394
CapitaLand,UOL,ORGANIZATION,frasers_00394
CapitaLand,Venture Corp,ORGANIZATION,frasers_00394
CapitaLand,Wheelock Properties,ORGANIZATION,frasers_00394
CapitaLand,Wing Tai,PERSON,frasers_00394
Channel NewsAsia,Shopper,PERSON,frasers_00237
