name,type,importance,sentiment_emb
Frasers Centrepoint,ORGANIZATION,1.0,57.14285714285714
OCBC,ORGANIZATION,0.09996954652831136,100.0
FCOT,ORGANIZATION,0.05623475921931465,0.0
CDL Hospitality Trusts,ORGANIZATION,0.05199001779208706,100.0
Singapore Exchange,ORGANIZATION,0.03817073069820718,33.33333333333333
Mapletree Logistics Trust,ORGANIZATION,0.034279480169888285,100.0
City Developments Limited,ORGANIZATION,0.027927405557873826,100.0
Total Oil,ORGANIZATION,0.02148296351402073,0.0
Christopher Tang,PERSON,0.020433397324384893,100.0
Noble,ORGANIZATION,0.017115855476211674,0.0
Greater China Commercial Trust,ORGANIZATION,0.012390010264899085,100.0
Frasers Commercial Trust,ORGANIZATION,0.009110791545436866,-100.0
DBS,ORGANIZATION,0.00865305251597662,0.0
Lippo Malls Indonesia Retail Trust,ORGANIZATION,0.007884504508495808,100.0
Frasers Logistics & Industrial Trust,ORGANIZATION,0.007789932643870642,33.33333333333333
FLT,ORGANIZATION,0.0066711663581448715,0.0
Mapletree,ORGANIZATION,0.0052319876989682206,100.0
Microsoft,ORGANIZATION,0.0052026108610032755,0.0
JV,ORGANIZATION,0.004520325208571338,0.0
Suntec REIT,ORGANIZATION,0.003028043746446967,0.0
FBP,ORGANIZATION,0.001365079660141027,0.0
