name,article_id
Allgreen,frasers_00327
Allgreen Holdings,frasers_00327
Analysts,frasers_00461
Artra,frasers_00114
BLOOMBERG,frasers_00071
BT,frasers_00385
CDL Hospitality Trusts,frasers_00203|frasers_00205
CEL Development,frasers_00378
CapitaLand,frasers_00394
Channel NewsAsia,frasers_00237
Charoen Sirivadhanabhakdi,frasers_00071
Cheang Kok Kheong,frasers_00078
Christopher Tang,frasers_00075|frasers_00368
City Developments Limited,frasers_00390|frasers_00394|frasers_00400
Colliers International,frasers_00390
Cushman & Wakefield,frasers_00325
DBS,frasers_00139|frasers_00391|frasers_00394
Dennis Hong,frasers_00358
ECE Projektmanagement,frasers_00332
EL Development,frasers_00114
EL Development's Parc Riviera,frasers_00378
FBP,frasers_00335|frasers_00339
FCOT,frasers_00335|frasers_00339
FLT,frasers_00138|frasers_00497
FRASERS,frasers_00445
FSTREI,frasers_00497
Far East Consortium,frasers_00114
Fraser Centrepoint,frasers_00076
Frasers,frasers_00443
Frasers Assets Co. Ltd.,frasers_00460
Frasers Centrepoint,frasers_00001|frasers_00003|frasers_00057|frasers_00071|frasers_00073|frasers_00075|frasers_00078|frasers_00107|frasers_00114|frasers_00127|frasers_00138|frasers_00139|frasers_00164|frasers_00168|frasers_00169|frasers_00200|frasers_00203|frasers_00205|frasers_00233|frasers_00234|frasers_00244|frasers_00262|frasers_00264|frasers_00289|frasers_00300|frasers_00325|frasers_00327|frasers_00329|frasers_00331|frasers_00332|frasers_00334|frasers_00335|frasers_00339|frasers_00358|frasers_00363|frasers_00364|frasers_00365|frasers_00368|frasers_00369|frasers_00371|frasers_00373|frasers_00374|frasers_00378|frasers_00385|frasers_00390|frasers_00391|frasers_00394|frasers_00400|frasers_00405|frasers_00440|frasers_00443|frasers_00445|frasers_00461|frasers_00465|frasers_00497
Frasers Commercial Trust,frasers_00139|frasers_00335|frasers_00339
Frasers Hospitality Trust,frasers_00139
Frasers Logistics & Industrial Trust,frasers_00057|frasers_00139|frasers_00394
Frasers Logistics and Industrial Trust,frasers_00334
Frasers Property,frasers_00440
Frasers Property Australia,frasers_00138
Frasers Property International,frasers_00234
Frasers Property Investments,frasers_00262
Frasers Property Limited,frasers_00460
Geneba Properties NV,frasers_00164
Greater China Commercial Trust,frasers_00057|frasers_00394
Greater China Trust,frasers_00334
GuocoLand,frasers_00331
Head of Development,frasers_00078
Hi-P International,frasers_00205
Hoi Hup Realty,frasers_00378
Hong Leong,frasers_00325
JV,frasers_00339|frasers_00391
Jiak Kim,frasers_00325
Keppel Corp,frasers_00394
Keppel Land,frasers_00175|frasers_00176
Kino Law and Raymond Law Ka Kui,frasers_00390
Lee,frasers_00057
Lippo Malls Indonesia Retail Trust,frasers_00203|frasers_00205
Mapletree,frasers_00334|frasers_00394
Mapletree Logistics Trust,frasers_00203|frasers_00205|frasers_00497
Maybank Kim Eng,frasers_00367
Microsoft,frasers_00364|frasers_00405
NPI,frasers_00391
New World Development,frasers_00114
Nicholas Mak,frasers_00400
Noble,frasers_00127|frasers_00244|frasers_00358
OCBC,frasers_00264|frasers_00300|frasers_00334|frasers_00358|frasers_00497
Parc Riviera,frasers_00114
Qingjian Realty,frasers_00378
REITs,frasers_00334
RETAIL,frasers_00385
Rojana Industrial Park Public Limited,frasers_00460
ST Engineering Land Systems,frasers_00127
STI,frasers_00497
Safra,frasers_00141
Securities,frasers_00358
Sembcorp Industries,frasers_00394
Shopper,frasers_00237
Singapore Business Review,frasers_00391
Singapore Exchange,frasers_00073|frasers_00164|frasers_00203|frasers_00205|frasers_00365|frasers_00440|frasers_00465
Singaporeans,frasers_00141
Singtel,frasers_00394
Suntec REIT,frasers_00127|frasers_00358
TCC Group,frasers_00071
Ticon,frasers_00107
Total Oil,frasers_00364|frasers_00405
Tricia Song,frasers_00390
UNIT,frasers_00164
UOL,frasers_00394
URA,frasers_00060|frasers_00114
Urban Redevelopment Authority,frasers_00325
Venture Corp,frasers_00394
Wheelock Properties,frasers_00394
Wing Tai,frasers_00394
Wing Tai Holdings,frasers_00176
ZACD Group,frasers_00400
Zouk,frasers_00327
