name,type,importance,sentiment_emb
Fullerton Healthcare,ORGANIZATION,1.0,42.857142857142854
Fullerton,PERSON,0.38220898630145556,100.0
Michael Tan,PERSON,0.2849887261795023,100.0
PCC,ORGANIZATION,0.09884529395820718,100.0
Ping An Capital,ORGANIZATION,0.07587770123202811,100.0
Richard Eu,PERSON,0.05944649889329197,100.0
Healthscope,ORGANIZATION,0.05211082400787836,0.0
HR Vendors,ORGANIZATION,0.04902932315190073,100.0
David Chiem,PERSON,0.03545814098875375,100.0
Co-Founder,PERSON,0.025547828605909272,100.0
Ping An,ORGANIZATION,0.015919531436234487,-100.0
Founder,PERSON,0.012607413834041539,100.0
Ping An Ventures,ORGANIZATION,0.011021752449650675,0.0
Eu Yan Sang International,ORGANIZATION,0.007738634324664249,100.0
