name,article_id
A*Star,moveon_technologies_00000
AEM,aem_singapore_00001
Akribis Systems,akribis_systems_00000|akribis_systems_00001|akribis_systems_00004
Ascenz,moveon_technologies_00002
Candidates,disk_precision_industries_00000
Champion Precision Manufacturing Pte Ltd,champion_precision_manufacturing_00000
Chee Teck Lee,moveon_technologies_00001|moveon_technologies_00002|moveon_technologies_00003|moveon_technologies_00004
Cheng Meng Furniture Group,cheng_meng_furniture_group_00000
Disk Precision Industries Pte Ltd,disk_precision_industries_00000
Employers,disk_precision_industries_00000
FCVA,nanofilm_technologies_international_00000|nanofilm_technologies_international_00005
Faxolif Industries Pte Ltd,faxolif_industries_00000
Gary Ong,moveon_technologies_00002
I Apparel International Group Pte Ltd,i_apparel_international_group_00000
IPS-LINTEC Group Pte. Ltd,ips_lintec_group_00000
K-One,akribis_systems_00001
Linnhoff Holdings Pte Ltd -- IPS Group,ips_lintec_group_00000
Linnhoff Holdings Pte. Ltd.,ips_lintec_group_00000
Manufacturing,moveon_technologies_00003
Motion control specialist,akribis_systems_00001
Moveon Technologies,moveon_technologies_00000|moveon_technologies_00001|moveon_technologies_00002|moveon_technologies_00003|moveon_technologies_00004
NANOFILM Technologies International,nanofilm_technologies_international_00001
Nanofilm,nanofilm_technologies_international_00000
Nanofilm Tech,nanofilm_technologies_international_00001
Nanofilm Technologies International,nanofilm_technologies_international_00000|nanofilm_technologies_international_00003|nanofilm_technologies_international_00005
Nanofilm Technologies International Pte Ltd,nanofilm_technologies_international_00002
Oh,akribis_systems_00000
Oliver Tan,moveon_technologies_00002
Psychologists,akribis_systems_00008
SL Global Pte Ltd,sl_global_pte_ltd_00000
Shi Xu,nanofilm_technologies_international_00001|nanofilm_technologies_international_00002|nanofilm_technologies_international_00003
University of Toronto,akribis_systems_00008
ViSenze,moveon_technologies_00002
Voice Coil Motors,akribis_systems_00004
Why Nanotech,nanofilm_technologies_international_00003
