source,target,link_type,article_id
ASCUS INTERNATIONAL,LTD,ORGANIZATION,ascus_international_00000
ASCUS INTERNATIONAL,TEL,ORGANIZATION,ascus_international_00000
Account Assistant,Finance - General,PERSON,gs_technology_pte_ltd_00000
Account Assistant,GS Technology Pte Ltd,PERSON,gs_technology_pte_ltd_00000
Account Assistant,Technology Pte Ltd - 6488255,PERSON,gs_technology_pte_ltd_00000
Application Development Specialist,Cavu Corp Pte Ltd,PERSON,cavu_corp_00000
Chuan Seng Leong,Tan Pheck Kin,ORGANIZATION,chuan_seng_leong_00000
Finance - General,GS Technology Pte Ltd,PERSON,gs_technology_pte_ltd_00000
Finance - General,Technology Pte Ltd - 6488255,PERSON,gs_technology_pte_ltd_00000
GS Technology Pte Ltd,Technology Pte Ltd - 6488255,ORGANIZATION,gs_technology_pte_ltd_00000
KOOK TRADING PTE LTD,KOOK TRADING PTE LTD - Times,ORGANIZATION,kook_trading_00000
LTD,TEL,ORGANIZATION,ascus_international_00000
