name,article_id
ASCUS INTERNATIONAL,ascus_international_00000
Account Assistant,gs_technology_pte_ltd_00000
Application Development Specialist,cavu_corp_00000
BATTERY ASIA PTE LTD,battery_asia_pte_ltd_00000
BEAUTY FACTORS INTERNATIONAL PTE LTD,beauty_factors_international_pte_ltd_00000
Brylchem Pte Ltd,brylchem_pte_ltd_00000
Cavu Corp Pte Ltd,cavu_corp_00000
Chuan Seng Leong,chuan_seng_leong_00000
Finance - General,gs_technology_pte_ltd_00000
GS Technology Pte Ltd,gs_technology_pte_ltd_00000
KOOK TRADING PTE LTD,kook_trading_00000
KOOK TRADING PTE LTD - Times,kook_trading_00000
LTD,ascus_international_00000
TEL,ascus_international_00000
Tan Pheck Kin,chuan_seng_leong_00000
Technology Pte Ltd - 6488255,gs_technology_pte_ltd_00000
