source,target,link_type,article_id
AIA,AXA,ORGANIZATION,great_eastern_00078|great_eastern_00710
AIA,Advisors Alliance Group,ORGANIZATION,great_eastern_00703|great_eastern_00704|great_eastern_00708|great_eastern_00930|great_eastern_01002
AIA,Aviva,ORGANIZATION,great_eastern_00078|great_eastern_00268|great_eastern_00710|great_eastern_01099
AIA,Axa,ORGANIZATION,great_eastern_00268
AIA,BT,ORGANIZATION,great_eastern_01099
AIA,Great Eastern,ORGANIZATION,great_eastern_00078|great_eastern_00521|great_eastern_00703|great_eastern_00704|great_eastern_00708|great_eastern_00710|great_eastern_00802|great_eastern_00930|great_eastern_00999|great_eastern_01002|great_eastern_01099
AIA,IP insurers,ORGANIZATION,great_eastern_00710
AIA,IP policyholders,PERSON,great_eastern_00521
AIA,IP providers,ORGANIZATION,great_eastern_00268
AIA,IPs,ORGANIZATION,great_eastern_00710
AIA,Lim,PERSON,great_eastern_01002
AIA,NTUC Income,ORGANIZATION,great_eastern_00078|great_eastern_00268|great_eastern_01099
AIA,Prudential,ORGANIZATION,great_eastern_00078|great_eastern_00268|great_eastern_00710|great_eastern_01099
AIA,Singaporeans,PERSON,great_eastern_00802
AIA,Yahoo News Singapore,ORGANIZATION,great_eastern_01002
AXA,Aviva,ORGANIZATION,great_eastern_00078|great_eastern_00710
AXA,Great Eastern,ORGANIZATION,great_eastern_00078|great_eastern_00710
AXA,IP insurers,ORGANIZATION,great_eastern_00710
AXA,IPs,ORGANIZATION,great_eastern_00710
AXA,NTUC Income,ORGANIZATION,great_eastern_00078
AXA,Prudential,ORGANIZATION,great_eastern_00078|great_eastern_00710
Advisors Alliance Group,Great Eastern,ORGANIZATION,great_eastern_00703|great_eastern_00704|great_eastern_00708|great_eastern_00930|great_eastern_01002
Advisors Alliance Group,Lim,PERSON,great_eastern_01002
Advisors Alliance Group,Yahoo News Singapore,ORGANIZATION,great_eastern_01002
Aidil,Aidil Sharin,PERSON,great_eastern_00529
Aidil,Great Eastern,PERSON,great_eastern_00529|great_eastern_00542
Aidil,Home,PERSON,great_eastern_00529|great_eastern_00542
Aidil,Home United,PERSON,great_eastern_00529
Aidil,Hougang,PERSON,great_eastern_00542
Aidil,Hougang United,PERSON,great_eastern_00529
Aidil,Hyundai,PERSON,great_eastern_00529|great_eastern_00542
Aidil,Philippe Aw,PERSON,great_eastern_00529
Aidil,Philippe Aw.,PERSON,great_eastern_00542
Aidil,S. League,PERSON,great_eastern_00529
Aidil,S.League,PERSON,great_eastern_00542
Aidil,Stipe Plazibat,PERSON,great_eastern_00542
Aidil Sharin,Albirex Niigata,PERSON,great_eastern_00728
Aidil Sharin,Great Eastern,PERSON,great_eastern_00529|great_eastern_00728
Aidil Sharin,Home,PERSON,great_eastern_00529
Aidil Sharin,Home United,PERSON,great_eastern_00529|great_eastern_00728
Aidil Sharin,Hougang United,PERSON,great_eastern_00529
Aidil Sharin,Hyundai,PERSON,great_eastern_00529|great_eastern_00728
Aidil Sharin,Philippe Aw,PERSON,great_eastern_00529
Aidil Sharin,S. League,PERSON,great_eastern_00529
Aidil Sharin,S.League,PERSON,great_eastern_00728
Albirex,Few,PERSON,great_eastern_00537
Albirex,Great Eastern,ORGANIZATION,great_eastern_00537
Albirex,Hougang,ORGANIZATION,great_eastern_00537
Albirex,Hougang United,ORGANIZATION,great_eastern_00537
Albirex,Hyundai,ORGANIZATION,great_eastern_00537
Albirex,Naoki Naruo,PERSON,great_eastern_00081
Albirex,Naruo,PERSON,great_eastern_00006
Albirex,Philippe Aw,PERSON,great_eastern_00537
Albirex,RHB,ORGANIZATION,great_eastern_00006|great_eastern_00081
Albirex,S. League,ORGANIZATION,great_eastern_00537
Albirex,S.League,ORGANIZATION,great_eastern_00006|great_eastern_00081
Albirex,Yoshinaga,PERSON,great_eastern_00006
Albirex Niigata,Cheetahs,ORGANIZATION,great_eastern_00819
Albirex Niigata,GAVIN FOO,PERSON,great_eastern_00069
Albirex Niigata,Global,ORGANIZATION,great_eastern_00912|great_eastern_00917
Albirex Niigata,Global Cebu,ORGANIZATION,great_eastern_00912
Albirex Niigata,Great Eastern,ORGANIZATION,great_eastern_00176|great_eastern_00728|great_eastern_00819|great_eastern_00912|great_eastern_00917
Albirex Niigata,Home United,ORGANIZATION,great_eastern_00728
Albirex Niigata,Hougang United,ORGANIZATION,great_eastern_00819
Albirex Niigata,Hyundai,ORGANIZATION,great_eastern_00176|great_eastern_00728|great_eastern_00819|great_eastern_00912|great_eastern_00917
Albirex Niigata,Madhu,PERSON,great_eastern_00176|great_eastern_00179
Albirex Niigata,Madhu Mohana,PERSON,great_eastern_00069|great_eastern_00180
Albirex Niigata,RHB,ORGANIZATION,great_eastern_00918
Albirex Niigata,Raihan,PERSON,great_eastern_00179|great_eastern_00180
Albirex Niigata,Referee Sukhbir Singh,PERSON,great_eastern_00069
Albirex Niigata,S-League,ORGANIZATION,great_eastern_00918
Albirex Niigata,S.League,ORGANIZATION,great_eastern_00069|great_eastern_00176|great_eastern_00180|great_eastern_00728|great_eastern_00819|great_eastern_00912|great_eastern_00917
Albirex Niigata,Sparks,PERSON,great_eastern_00069
Albirex Niigata,Stags,ORGANIZATION,great_eastern_00176
Albirex Niigata,Sukhbir Singh,PERSON,great_eastern_00176
Albirex Niigata,TNP,ORGANIZATION,great_eastern_00069
Albirex Niigata,Tampines,ORGANIZATION,great_eastern_00176
Albirex Niigata,Tampines Rovers,ORGANIZATION,great_eastern_00069|great_eastern_00176|great_eastern_00178|great_eastern_00180
American Express,Isabella,PERSON,great_eastern_00168
American Express,Singapore Environment Council,ORGANIZATION,great_eastern_00168
American Express,Teo,PERSON,great_eastern_00168
American Express International,Isabella Loh,PERSON,great_eastern_00177
American Express International,SEC,ORGANIZATION,great_eastern_00177
American Express International,Teo,PERSON,great_eastern_00177
Anil Wadhwani,Great Eastern,PERSON,great_eastern_00911
Anil Wadhwani,Khoo Kah Siang,PERSON,great_eastern_00911
Anil Wadhwani,Manulife Singapore,PERSON,great_eastern_00911
