name,type,importance,sentiment_emb
OCBC,ORGANIZATION,1.0,88.88888888888889
Great Eastern,ORGANIZATION,0.9918525944177893,81.25
Philippe Aw,PERSON,0.3979013886939663,100.0
Hougang United,ORGANIZATION,0.37968197073329485,100.0
NTUC Income,ORGANIZATION,0.25549259871231167,100.0
S.League,ORGANIZATION,0.24659389665500106,100.0
Madhu Mohana,PERSON,0.23259664823425022,100.0
AIA,ORGANIZATION,0.22381401398231518,33.33333333333333
Albirex,ORGANIZATION,0.20864521994375904,100.0
Aidil,PERSON,0.18727079861189966,100.0
Khoo Kah Siang,PERSON,0.1684109869402885,100.0
GEH,ORGANIZATION,0.15380583521392532,100.0
Aidil Sharin,PERSON,0.13577129384297015,100.0
UE,ORGANIZATION,0.1132598819420465,100.0
UEL,ORGANIZATION,0.10776936898413882,100.0
Global,ORGANIZATION,0.10486245083436,100.0
Madhu,PERSON,0.09986377352925267,0.0
Hougang,ORGANIZATION,0.09042114754940996,100.0
Aviva,ORGANIZATION,0.09034169928362543,50.0
Singaporeans,PERSON,0.08699748026092215,100.0
Prudential,ORGANIZATION,0.07597484505989496,60.0
Hyundai,ORGANIZATION,0.07442562241357581,100.0
Raihan,PERSON,0.05989854313430925,0.0
Albirex Niigata,ORGANIZATION,0.04595141186137307,100.0
Naveed Irshad,PERSON,0.03815718677812973,100.0
Tampines Rovers,ORGANIZATION,0.03448348908213043,100.0
Government,ORGANIZATION,0.03301884907752444,100.0
Advisors Alliance Group,ORGANIZATION,0.0311012722601303,0.0
Home United,ORGANIZATION,0.030352686077666426,100.0
WBL,ORGANIZATION,0.028864198244008692,100.0
WBL Corp,ORGANIZATION,0.026377925139518494,100.0
RHB,ORGANIZATION,0.018580674567208758,100.0
Manulife Singapore,ORGANIZATION,0.015881390006344462,100.0
Lion Global Investors,ORGANIZATION,0.015424680295335733,100.0
Bank of Singapore,ORGANIZATION,0.010271678332536237,100.0
S. League,ORGANIZATION,0.008530090816542858,100.0
Credit Suisse,ORGANIZATION,0.008365046428944905,100.0
Home,ORGANIZATION,0.008152659415450582,100.0
AXA,ORGANIZATION,0.008010108091995415,0.0
WBL Corporation,ORGANIZATION,0.00737767865949517,100.0
IPs,ORGANIZATION,0.006465863901589474,0.0
