source,target,link_type,article_id
ALI,Fullerton,PERSON,fullerton_00029
ALI,Fullerton Healthcare,PERSON,fullerton_00029
ALI,PCC,PERSON,fullerton_00029
ARTMS,Alliance Medical Group,ORGANIZATION,alliance_medical_group_00007
ARTMS,GE Healthcare,ORGANIZATION,alliance_medical_group_00007
Africa Is Set,Alliance Medical Group Ltd.,ORGANIZATION,alliance_medical_group_00016
Africa Is Set,Life Healthcare Group Holdings Ltd.,ORGANIZATION,alliance_medical_group_00016
Akeso,Akeso Clinics,PERSON,alliance_medical_group_00014
Akeso,Competition Commission,PERSON,alliance_medical_group_00014
Akeso,Netcare,PERSON,alliance_medical_group_00014
Akeso,The Competition Tribunal,PERSON,alliance_medical_group_00014
Akeso Clinics,Competition Commission,ORGANIZATION,alliance_medical_group_00014
Akeso Clinics,Netcare,ORGANIZATION,alliance_medical_group_00014
Akeso Clinics,The Competition Tribunal,ORGANIZATION,alliance_medical_group_00014
Alcon Manufacturing,Biomedicals Asia Pacific,PERSON,mp_biomedicals_asia_pacific_00000
Alcon Manufacturing,CapitaLand Group,ORGANIZATION,mp_biomedicals_asia_pacific_00000
Alcon Manufacturing,Changi Airport Group,ORGANIZATION,mp_biomedicals_asia_pacific_00000
Alcon Manufacturing,Fragomen Singapore,ORGANIZATION,mp_biomedicals_asia_pacific_00000
Alcon Manufacturing,HCPartners,ORGANIZATION,mp_biomedicals_asia_pacific_00000
Alcon Manufacturing,Jurong Port,ORGANIZATION,mp_biomedicals_asia_pacific_00000
Alcon Manufacturing,Park Hotel Group,ORGANIZATION,mp_biomedicals_asia_pacific_00000
Alliance Medical Group,"Aramark Services, Inc.",ORGANIZATION,alliance_medical_group_00029
Alliance Medical Group,Avensys UK Ltd,ORGANIZATION,alliance_medical_group_00018|alliance_medical_group_00020|alliance_medical_group_00027|alliance_medical_group_00029|alliance_medical_group_00032|alliance_medical_group_00035
Alliance Medical Group,"BC Technical, Inc.",ORGANIZATION,alliance_medical_group_00029
Alliance Medical Group,Drs,ORGANIZATION,alliance_medical_group_00000
Alliance Medical Group,Durban - Private,ORGANIZATION,alliance_medical_group_00001
