name,type,importance,sentiment_emb
Fullerton Healthcare,ORGANIZATION,1.0,66.66666666666666
Alliance Medical Group,ORGANIZATION,0.3227840807402526,0.0
Fullerton,PERSON,0.3096726694915467,100.0
Michael Tan,PERSON,0.2695559827601689,100.0
Pantheon Group,ORGANIZATION,0.10652809090683017,100.0
PCC,ORGANIZATION,0.10342497147735054,100.0
"BC Technical, Alliance Medical Group",ORGANIZATION,0.08563818484240081,100.0
Ping An Capital,ORGANIZATION,0.07077721286235425,0.0
Richard Eu,PERSON,0.06220076046378715,100.0
TBS Group S.p.A.,ORGANIZATION,0.0607621183753258,0.0
Wells Fargo,ORGANIZATION,0.057313622883405954,100.0
Healthscope,ORGANIZATION,0.0545252107698199,0.0
Spotify Technology SA,ORGANIZATION,0.05346514991137427,100.0
KGaA,ORGANIZATION,0.052776461756254514,0.0
HR Vendors,ORGANIZATION,0.05130093852200132,100.0
Avensys UK Ltd,ORGANIZATION,0.04963350786800936,0.0
David Chiem,PERSON,0.037100979455352574,100.0
Technologie Sanitarie S.p.A.,PERSON,0.0362649046302797,0.0
Co-Founder,PERSON,0.026731504749144572,100.0
Founder,PERSON,0.013191537644070463,100.0
Ping An Ventures,ORGANIZATION,0.011532409759613962,0.0
Eu Yan Sang International,ORGANIZATION,0.008097178957659327,100.0
