name,article_id
ALI,fullerton_00029
ARTMS,alliance_medical_group_00007
Africa Is Set,alliance_medical_group_00016
Akeso,alliance_medical_group_00014
Akeso Clinics,alliance_medical_group_00014
Alcon Manufacturing,mp_biomedicals_asia_pacific_00000
Alliance Medical,alliance_medical_group_00011
Alliance Medical Group,alliance_medical_group_00000|alliance_medical_group_00001|alliance_medical_group_00003|alliance_medical_group_00005|alliance_medical_group_00007|alliance_medical_group_00008|alliance_medical_group_00009|alliance_medical_group_00012|alliance_medical_group_00013|alliance_medical_group_00015|alliance_medical_group_00017|alliance_medical_group_00018|alliance_medical_group_00020|alliance_medical_group_00027|alliance_medical_group_00029|alliance_medical_group_00031|alliance_medical_group_00032|alliance_medical_group_00035
Alliance Medical Group Ltd.,alliance_medical_group_00016
Alliance Medical Group for R14bn,alliance_medical_group_00004
Analysts,fullerton_00038
Aoxin Q&M Dental Group,qm_dental_group_00000
Aramark Services,alliance_medical_group_00038
"Aramark Services, Inc.",alliance_medical_group_00029
Asia-Pac,fullerton_00013
Avega,fullerton_00036
Avensys UK Ltd,alliance_medical_group_00018|alliance_medical_group_00020|alliance_medical_group_00027|alliance_medical_group_00029|alliance_medical_group_00032|alliance_medical_group_00035
"BC Technical, Alliance Medical Group",alliance_medical_group_00006|alliance_medical_group_00026|alliance_medical_group_00038
"BC Technical, Inc.",alliance_medical_group_00029
Best Corporate Healthcare Provider,fullerton_00014
Biomedicals Asia Pacific,mp_biomedicals_asia_pacific_00000
Biosensors International,fullerton_00013
CapitaLand Group,mp_biomedicals_asia_pacific_00000
Changi Airport Group,mp_biomedicals_asia_pacific_00000
Co-Founder,fullerton_00030|fullerton_00046
Competition Commission,alliance_medical_group_00014
David Chiem,fullerton_00030|fullerton_00046
Developer,fullerton_00036
Drs,alliance_medical_group_00000
Durban - Private,alliance_medical_group_00001
Eu Yan Sang International,fullerton_00030|fullerton_00046
FHPC,fullerton_00006
Fonda,fondaco_00000
Fondaco Dental Group,fondaco_00000
Fondaco Pte Ltd,fondaco_00000
Founder,fullerton_00030|fullerton_00046
Fragomen Singapore,mp_biomedicals_asia_pacific_00000
Fullerton,fullerton_00005|fullerton_00009|fullerton_00017|fullerton_00029|fullerton_00036
Fullerton Health,fullerton_00007|fullerton_00008
Fullerton Healthcare,fullerton_00000|fullerton_00001|fullerton_00003|fullerton_00004|fullerton_00005|fullerton_00006|fullerton_00009|fullerton_00010|fullerton_00012|fullerton_00013|fullerton_00016|fullerton_00017|fullerton_00022|fullerton_00026|fullerton_00029|fullerton_00030|fullerton_00031|fullerton_00036|fullerton_00038|fullerton_00041|fullerton_00046
GE Healthcare,alliance_medical_group_00006|alliance_medical_group_00007
HCPartners,mp_biomedicals_asia_pacific_00000
HMC,fullerton_00001
HR Vendors,fullerton_00010|fullerton_00012
HR Vendors of The Year,fullerton_00025
HR Vendors of the Year Awards,fullerton_00014|fullerton_00048
Healthscope,fullerton_00001|fullerton_00009
I-SPY 2,quantumleap_healthcare_00001
IDEM Singapore,fondaco_00000
INDIA,alliance_medical_group_00033
Intellicare,fullerton_00006|fullerton_00007
Intellicare Group,fullerton_00016
Investors,fullerton_00031
Jurong Port,mp_biomedicals_asia_pacific_00000
KGaA,alliance_medical_group_00018|alliance_medical_group_00020|alliance_medical_group_00027|alliance_medical_group_00032|alliance_medical_group_00035
Lentor Ambulance Pte Ltd,lentor_ambulance_00000
Life Healthcare,alliance_medical_group_00003
Life Healthcare Group,alliance_medical_group_00031
Life Healthcare Group Holdings Ltd.,alliance_medical_group_00016
Malaysia Universe,qm_dental_group_00001
Max Healthcare,alliance_medical_group_00012
Medical Equipment Maintenance,alliance_medical_group_00033
Medical Equipment Maintenance Market,alliance_medical_group_00028
Merck,quantumleap_healthcare_00000
Michael Tan,fullerton_00030|fullerton_00046
NHS,alliance_medical_group_00031
NYSE,hc_surgical_specialists_limited_00001
Netcare,alliance_medical_group_00014
PCC,fullerton_00029|fullerton_00036
Pantheon Group,alliance_medical_group_00018|alliance_medical_group_00020|alliance_medical_group_00026|alliance_medical_group_00027|alliance_medical_group_00029|alliance_medical_group_00032|alliance_medical_group_00035|alliance_medical_group_00038
Park Hotel Group,mp_biomedicals_asia_pacific_00000
Ping An,fullerton_00031
Ping An Capital,fullerton_00003|fullerton_00008|fullerton_00041
Ping An Capital Co,fullerton_00000
Ping An Insurance,fullerton_00008
Ping An Insurance (Group) Co.,fullerton_00017
Ping An Ventures,fullerton_00013|fullerton_00038
Players,alliance_medical_group_00006
Pte) Ltd,nam_see_investment_00000
Q&M Dental Group,qm_dental_group_00001
Qiwi plc,hc_surgical_specialists_limited_00000
QuantumLeap Healthcare Collaborative,quantumleap_healthcare_00000|quantumleap_healthcare_00001
R1.3bn,alliance_medical_group_00005
Rand Merchant Bank,alliance_medical_group_00009
Research Instruments Pte Ltd,research_instruments_00000
Rheumatologist,alliance_medical_group_00017
Richard Conner,hc_surgical_specialists_limited_00001
Richard Eu,fullerton_00030|fullerton_00046
Sabine Royalty Trust,hc_surgical_specialists_limited_00001
Seattle Genetics Reports Third,quantumleap_healthcare_00001
Shareholders,hc_surgical_specialists_limited_00001
