name,article_id
Alvin Leung,singa_venture_pte_ltd_00000
Anchorage View Pte Ltd,singa_venture_pte_ltd_00014
Angus,robertson_quay_hotel_00011
Asian Strategic Turnaround Ventures,singa_venture_pte_ltd_00009
BTJV Myanmar Company,singa_venture_pte_ltd_00027
Bo Innovation,singa_venture_pte_ltd_00000
CMA CGM,singa_venture_pte_ltd_00021
CSA,singa_venture_pte_ltd_00012
Chevron Singapore Pte Ltd,singa_venture_pte_ltd_00016
Clubs,robertson_quay_hotel_00008
Cocoon Capital Partners Pte Ltd,singa_venture_pte_ltd_00003
Company @ JobStreet.com Singapore,southern_cross_hotels_pte._ltd._00000
Demon Chef,singa_venture_pte_ltd_00000
Dexecure,singa_venture_pte_ltd_00003
Dragages Singapore Pte Ltd,singa_venture_pte_ltd_00027
Dragages Singapore Pte Ltd and the Group,singa_venture_pte_ltd_00004
Employees,siloso_beach_resort_pte_ltd_00000|the_scarlet_hotel_pte._ltd._00000
Foo Zhi,singa_venture_pte_ltd_00001
GUOCOLAND Limited,singa_venture_pte_ltd_00013
Great Eastern,singa_venture_pte_ltd_00011
HOTELS PTE LTD,southern_cross_hotels_pte._ltd._00000
HPL Ealing Pte Ltd,singa_venture_pte_ltd_00014
HPL Properties,singa_venture_pte_ltd_00014
Hassan Basma,singa_venture_pte_ltd_00009
India,singa_venture_pte_ltd_00014
Investors,singa_venture_pte_ltd_00011
Ishi,robertson_quay_hotel_00005
JV,singa_venture_pte_ltd_00014|singa_venture_pte_ltd_00018
Jennifer Chen,robertson_quay_hotel_00007
Joint venture,singa_venture_pte_ltd_00002
KBS-Keppel,singa_venture_pte_ltd_00019
LTD,kim_tian_hotel_(han)_pte._ltd._00000
M Social Singapore,robertson_quay_hotel_00003
MRO,singa_venture_pte_ltd_00018
Ming Yi,singa_venture_pte_ltd_00017
Moog,singa_venture_pte_ltd_00018
Moog Aircraft Services Asia Pte Ltd,singa_venture_pte_ltd_00018
NUS,singa_venture_pte_ltd_00012
National University of Singapore,singa_venture_pte_ltd_00012
O&M,singa_venture_pte_ltd_00009
OSV,singa_venture_pte_ltd_00009
Ocean Sky,singa_venture_pte_ltd_00002
Olam,singa_venture_pte_ltd_00007
PRNewswire,singa_venture_pte_ltd_00004
PSA,singa_venture_pte_ltd_00021
Peter Lim,singa_venture_pte_ltd_00011
PetroChina International Co Ltd,singa_venture_pte_ltd_00016
Pte Ltd,singa_venture_pte_ltd_00008
Pte. Ltd,singa_venture_pte_ltd_00048
RB Capital,robertson_quay_hotel_00000|robertson_quay_hotel_00001
REPUBLIC ICONIC HOTEL PTE,kim_tian_hotel_(han)_pte._ltd._00000
Robertson,robertson_quay_hotel_00008
SIAEC,singa_venture_pte_ltd_00018
SINGAPORE - Port,singa_venture_pte_ltd_00021
SRC,singa_venture_pte_ltd_00016
Sam,singa_venture_pte_ltd_00056
Sam Chee Wah: Feinmetall Singapore,singa_venture_pte_ltd_00026
Scarlet Hotel Pte Ltd,the_scarlet_hotel_pte._ltd._00000
Secure Venture Development,singa_venture_pte_ltd_00008|singa_venture_pte_ltd_00048
Siloso Beach Resort Pte Ltd,siloso_beach_resort_pte_ltd_00000
Singapore) Pte Ltd,singa_venture_pte_ltd_00013
Singtel,singa_venture_pte_ltd_00012
Sirius Marketing Pte Ltd,southern_cross_hotels_pte._ltd._00000
Summer View Hotel Pte Ltd,summer_view_hotel_pte_ltd_00000
Sun Ace Kakoh (Pte) Ltd,southern_cross_hotels_pte._ltd._00000
Swissco,singa_venture_pte_ltd_00009
TCM Management Pte Ltd,singa_venture_pte_ltd_00017
TEL,kim_tian_hotel_(han)_pte._ltd._00000
TSky Development,singa_venture_pte_ltd_00002
Techcomp (Singapore) Pte Ltd,southern_cross_hotels_pte._ltd._00000
Timothy Oulton Studio,robertson_quay_hotel_00004
Tiong Seng,singa_venture_pte_ltd_00002
Toro,robertson_quay_hotel_00005
UOL,singa_venture_pte_ltd_00008|singa_venture_pte_ltd_00048
UOL Group,singa_venture_pte_ltd_00048
USDA,robertson_quay_hotel_00011
Venture Corporation,singa_venture_pte_ltd_00001
Walden International,singa_venture_pte_ltd_00011
Wavemaker,singa_venture_pte_ltd_00015
Wavemaker Partners,singa_venture_pte_ltd_00015
Wilmar,singa_venture_pte_ltd_00007
Wilmar Resources Pte Ltd,singa_venture_pte_ltd_00007
Wolfgang,robertson_quay_hotel_00006
Y Combinator,singa_venture_pte_ltd_00003
Y Ventures Group,singa_venture_pte_ltd_00010|singa_venture_pte_ltd_00042
Yoma Strategic Holdings Ltd,singa_venture_pte_ltd_00004
