source,target,link_type,article_id
China Huarong AM,Huarong Finance 2017 Co,ORGANIZATION,huarong_finance_00002
China Huarong AM,MTN,ORGANIZATION,huarong_finance_00002
"China Huarong Asset Management Co., Ltd","Co., Ltd.",ORGANIZATION,huarong_finance_00014
"China Huarong Asset Management Co., Ltd",Huarong Finance 2017 Co.,ORGANIZATION,huarong_finance_00007
"China Huarong Asset Management Co., Ltd","Huarong Finance 2017 Co., Ltd.",ORGANIZATION,huarong_finance_00009
"China Huarong Asset Management Co., Ltd","Huarong Finance Co., Ltd",ORGANIZATION,huarong_finance_00007
"China Huarong Asset Management Co., Ltd","Huarong Finance II Co., Ltd",ORGANIZATION,huarong_finance_00007
Fitch Rates Huarong,Huarong Finance 2017,PERSON,huarong_finance_00010
Huarong Finance 2017 Co,MTN,ORGANIZATION,huarong_finance_00002
Huarong Finance 2017 Co.,"Huarong Finance Co., Ltd",ORGANIZATION,huarong_finance_00007
Huarong Finance 2017 Co.,"Huarong Finance II Co., Ltd",ORGANIZATION,huarong_finance_00007
Huarong Finance Co Ltd: Company Profile - Bloomberg,Huarong Finance Co. Ltd.,ORGANIZATION,huarong_finance_00004
"Huarong Finance Co., Ltd","Huarong Finance II Co., Ltd",ORGANIZATION,huarong_finance_00007
