name,article_id
Caixin Global,huarong_finance_00015
China Huarong AM,huarong_finance_00002
"China Huarong Asset Management Co., Ltd",huarong_finance_00007|huarong_finance_00009|huarong_finance_00014
"Co., Ltd.",huarong_finance_00014
Fitch Rates Huarong,huarong_finance_00010
Huarong Finance 2017,huarong_finance_00010
Huarong Finance 2017 Co,huarong_finance_00002
Huarong Finance 2017 Co.,huarong_finance_00000|huarong_finance_00007
"Huarong Finance 2017 Co., Ltd.",huarong_finance_00009
Huarong Finance Co Ltd: Company Profile - Bloomberg,huarong_finance_00004
Huarong Finance Co. Ltd.,huarong_finance_00004
"Huarong Finance Co., Ltd",huarong_finance_00007
"Huarong Finance II Co., Ltd",huarong_finance_00007
MTN,huarong_finance_00002
