topic_id,article_id,date,title,full_title,media,language,topic_score,article_score,href,thumbnail,abstract,topic_title,text,sentiment_score,sentiment_magnitude,topic_sentiment_score,organization,person
0,huarong_finance_00007,2017-08-23,"[PDF]China Huarong Asset Management Co., Ltd. - AASTOCKS.com","[PDF]China Huarong Asset Management Co., Ltd. - AASTOCKS.com",,en,1.0,,http://iis.aastocks.com/20170823/002898986-0.PDF,,"Aug 23, 2017 - Huarong Finance Co., Ltd. 10,299.1. 10,535.4. (236.3). (2.2%). Huarong Finance II Co., Ltd. 71,291.8. 72,968.0. (1,676.2). (2.3%). Huarong Finance 2017 Co., ...","[PDF]China Huarong Asset Management Co., Ltd. - AASTOCKS.com","[PDF]China Huarong Asset Management Co., Ltd. - AASTOCKS.com. Aug 23, 2017 - Huarong Finance Co., Ltd. 10,299.1. 10,535.4. (236.3). (2.2%). Huarong Finance II Co., Ltd. 71,291.8. 72,968.0. (1,676.2). (2.3%). Huarong Finance 2017 Co., ...",0.0,0.800000011920929,0.033333333830038704,"China Huarong Asset Management Co., Ltd|Huarong Finance Co., Ltd|Huarong Finance 2017 Co.|Huarong Finance II Co., Ltd",
0,huarong_finance_00013,2018-02-16,Huarong Universe Investment Holding — 公司名片 - 债券日历,Huarong Universe Investment Holding — 公司名片 - 债券日历,,en,1.0,,http://cbonds.hk/organisations/emitent/93943,,"Feb 16, 2018 - 附属公司名单. China Huarong Asset Management · China Huarong International Holdings · Huarong Finance · Huarong Finance 2017 · Huarong Finance II ...","[PDF]China Huarong Asset Management Co., Ltd. - AASTOCKS.com","Huarong Universe Investment Holding — 公司名片 - 债券日历. Feb 16, 2018 - 附属公司名单. China Huarong Asset Management · China Huarong International Holdings · Huarong Finance · Huarong Finance 2017 · Huarong Finance II ...",0.10000000149011612,0.4000000059604645,0.033333333830038704,,
0,huarong_finance_00014,2018-03-20,"[PDF]China Huarong Asset Management Co., Ltd. - AASTOCKS.com","[PDF]China Huarong Asset Management Co., Ltd. - AASTOCKS.com",,en,1.0,,http://iis.aastocks.com/20180320/003079629-0.PDF,,"Mar 20, 2018 - 2016. Principal Amount. Term Issuance date. Remarks. Huarong Finance. 2017 Co., Ltd., subsidiary of. Huarong. International. Holdings Limited. Mid-term U.S..","[PDF]China Huarong Asset Management Co., Ltd. - AASTOCKS.com","[PDF]China Huarong Asset Management Co., Ltd. - AASTOCKS.com. Mar 20, 2018 - 2016. Principal Amount. Term Issuance date. Remarks. Huarong Finance. 2017 Co., Ltd., subsidiary of. Huarong. International. Holdings Limited. Mid-term U.S..",0.0,0.699999988079071,0.033333333830038704,"China Huarong Asset Management Co., Ltd|Co., Ltd.",
-1,huarong_finance_00000,2017-01-13,Moody's assigns (P)Baa1 rating to Huarong Finance 2017's proposed ...,moodys assigns pbaa1 rating to huarong finance 2017s proposed mtn  pr_360277,Moodys.com (press release),en,0.0,,https://www.moodys.com/research/Moodys-assigns-PBaa1-rating-to-Huarong-Finance-2017s-proposed-MTN--PR_360277,,"Hong Kong, January 13, 2017 -- Moody's Investors Service has assigned a (P)Baa1 long-term senior unsecured program rating to Huarong Finance 2017 Co., ...",Moody's assigns (P)Baa1 rating to Huarong Finance 2017's proposed ...,"moodys assigns pbaa1 rating to huarong finance 2017s proposed mtn  pr_360277. Hong Kong, January 13, 2017 -- Moody's Investors Service has assigned a (P)Baa1 long-term senior unsecured program rating to Huarong Finance 2017 Co., ...",0.0,0.20000000298023224,0.0,Huarong Finance 2017 Co.,
-2,huarong_finance_00002,2017-03-19,Bad-loan manager China Huarong AM calls for funding reform,Bad-loan manager China Huarong AM calls for funding reform,Reuters,en,0.0,,http://www.reuters.com/article/china-huarong-bonds-idUSL3N1GX1CU,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8R_IXVP0ezkM6tgOKSIguwSCDEvsXXtJ8ebndAiiCDHTIIYWAPTs_Gtz3gqcwOKI1YGUsNOI,"Last May, Huarong increased its offshore $5 billion MTN programme to $11 billion, registered in the name of special purpose vehicle Huarong Finance 2017 Co.",Bad-loan manager China Huarong AM calls for funding reform,"Bad-loan manager China Huarong AM calls for funding reform. Last May, Huarong increased its offshore $5 billion MTN programme to $11 billion, registered in the name of special purpose vehicle Huarong Finance 2017 Co.",-0.20000000298023224,0.699999988079071,-0.20000000298023224,China Huarong AM|MTN|Huarong Finance 2017 Co,
-3,huarong_finance_00004,2017-05-13,Huarong Finance Co Ltd: Company Profile - Bloomberg,Huarong Finance Co Ltd: Company Profile - Bloomberg,,en,0.0,,http://www.bloomberg.com/profiles/companies/1025228D:CH-huarong-finance-co-ltd,,"May 13, 2017 - Huarong Finance Co. Ltd. offers financial and investment management services. The Company invests in securities, trusts, and other financial areas.",Huarong Finance Co Ltd: Company Profile - Bloomberg,"Huarong Finance Co Ltd: Company Profile - Bloomberg. May 13, 2017 - Huarong Finance Co. Ltd. offers financial and investment management services. The Company invests in securities, trusts, and other financial areas.",0.10000000149011612,0.5,0.10000000149011612,Huarong Finance Co Ltd: Company Profile - Bloomberg|Huarong Finance Co. Ltd.,
-4,huarong_finance_00005,2017-06-06,Huarong Finance 2017 Co. Ltd. bis 27.04.2027 - A19GQ7 - Börse Online,Huarong Finance 2017 Co. Ltd. bis 27.04.2027 - A19GQ7 - Börse Online,,en,0.0,,https://www.boerse-online.de/anleihen/huarong_finance_2017_co-anleihe-2027-xs1596795358,,"Jun 6, 2017 - Huarong Finance 2017 Co. Ltd.-Anleihe (36501786): Die Anleihen der Huarong Finance 2017 Co. Ltd. hat eine Laufzeit bis 27.04.2027. Der Coupon/Zins ...",Huarong Finance 2017 Co. Ltd. bis 27.04.2027 - A19GQ7 - Börse Online,"Huarong Finance 2017 Co. Ltd. bis 27.04.2027 - A19GQ7 - Börse Online. Jun 6, 2017 - Huarong Finance 2017 Co. Ltd.-Anleihe (36501786): Die Anleihen der Huarong Finance 2017 Co. Ltd. hat eine Laufzeit bis 27.04.2027. Der Coupon/Zins ...",0.10000000149011612,0.5,0.10000000149011612,,
-5,huarong_finance_00009,2017-10-27,"[PDF]China Huarong Asset Management Co., Ltd.","[PDF]China Huarong Asset Management Co., Ltd.",,en,0.0,,http://iis.aastocks.com/20171027/002955233-0.PDF,,"Oct 27, 2017 - Huarong Finance 2017 Co., Ltd., a wholly-owned subsidiary of the Company incorporated in the British Virgin Islands. “Joint Lead Managers”. Australia and New ...","[PDF]China Huarong Asset Management Co., Ltd.","[PDF]China Huarong Asset Management Co., Ltd.. Oct 27, 2017 - Huarong Finance 2017 Co., Ltd., a wholly-owned subsidiary of the Company incorporated in the British Virgin Islands. “Joint Lead Managers”. Australia and New ...",0.0,0.0,0.0,"Huarong Finance 2017 Co., Ltd.|China Huarong Asset Management Co., Ltd",
-6,huarong_finance_00010,2017-11-07,"Fitch Rates Huarong's Notes Final 'A', Perpetual Securities at 'A-'","Fitch Rates Huarong's Notes Final 'A', Perpetual Securities at 'A-'",Reuters,en,0.0,,https://www.reuters.com/article/fitch-rates-huarongs-notes-final-a-perpe/fitch-rates-huarongs-notes-final-a-perpetual-securities-at-a-idUSFitBW86j,,The agency has also assigned a final rating of 'A-' to Huarong Finance 2017's unsubordinated guaranteed perpetual securities under the programme. A full list ...,"Fitch Rates Huarong's Notes Final 'A', Perpetual Securities at 'A-'","Fitch Rates Huarong's Notes Final 'A', Perpetual Securities at 'A-'. The agency has also assigned a final rating of 'A-' to Huarong Finance 2017's unsubordinated guaranteed perpetual securities under the programme. A full list ...",0.0,0.10000000149011612,0.0,Huarong Finance 2017,Fitch Rates Huarong
-7,huarong_finance_00012,2017-12-18,[PDF]USD Bond Indications 2017/12/18 美元債參考報價 - 方正证券(香港),[PDF]USD Bond Indications 2017/12/18 美元債參考報價 - 方正证券(香港),,en,0.0,,https://www.hkfoundersc.com/ewebeditor/uploadfile/20171229141244264.pdf,,"Dec 18, 2017 - 香港. HUARONG FINANCE II. Huarong Finance II Co Ltd. HRAM 2 3/4 06/03/19. 2799 HK. Investment Companies. 2.75. 3/6/2019. -. 1.45. 99.260. 99.330. -0.157.",[PDF]USD Bond Indications 2017/12/18 美元債參考報價 - 方正证券(香港),"[PDF]USD Bond Indications 2017/12/18 美元債參考報價 - 方正证券(香港). Dec 18, 2017 - 香港. HUARONG FINANCE II. Huarong Finance II Co Ltd. HRAM 2 3/4 06/03/19. 2799 HK. Investment Companies. 2.75. 3/6/2019. -. 1.45. 99.260. 99.330. -0.157.",0.0,1.899999976158142,0.0,,
