source,target,link_type,article_id
ACWA Power,Padmanathan,PERSON,hyflux_00196
ACWA Power,Saline Water Conversion Corporation,ORGANIZATION,hyflux_00196
Algonquin,Hyflux,PERSON,hyflux_00479
Algonquin,SWCC,PERSON,hyflux_00479
Asia Water Development Engineering Company,Hyflux,ORGANIZATION,hyflux_00809
Atech,CTI,ORGANIZATION,hyflux_00666
Atech,CoorsTek,ORGANIZATION,hyflux_00703
Atech,Groupe,ORGANIZATION,hyflux_00952
Atech,Hi-Tech,ORGANIZATION,hyflux_00666
Atech,Hyflux,ORGANIZATION,hyflux_00666|hyflux_00703|hyflux_00952
Atech,Jiangsu Jiuwu,PERSON,hyflux_00666
Atech,Jiuwu Hi-Tech,PERSON,hyflux_00952
Atech,LennTech,ORGANIZATION,hyflux_00703|hyflux_00952
Atech,Meidensha,ORGANIZATION,hyflux_00666
Atech,Novasep,ORGANIZATION,hyflux_00666|hyflux_00952
Atech,Shijie,PERSON,hyflux_00703
Atech,Veolia Water Technologies,ORGANIZATION,hyflux_00666|hyflux_00952
BWF,ELO Water Partnership,ORGANIZATION,hyflux_00718
BWF,Group Chief Executive Officer,PERSON,hyflux_00718
BWF,Hyflux,ORGANIZATION,hyflux_00718
BWF,Official Water for Badminton,ORGANIZATION,hyflux_00718
BWF,Olivia Lum,PERSON,hyflux_00718
Banking Bank,Hyflux,ORGANIZATION,hyflux_00269
Banking Bank,Olivia Lum,PERSON,hyflux_00269
Banking Bank,Women,PERSON,hyflux_00269
Barka,Public Authority for Electricity and Water,PERSON,hyflux_00658
Barka,Suez,PERSON,hyflux_00371
Brexit,DBS,ORGANIZATION,hyflux_00140|hyflux_00141|hyflux_00152
Brexit,Digibank,ORGANIZATION,hyflux_00140|hyflux_00141|hyflux_00152
Brexit,Google,ORGANIZATION,hyflux_00152
Brexit,Hyflux,ORGANIZATION,hyflux_00140|hyflux_00141|hyflux_00152
Brexit,Oxley,PERSON,hyflux_00140|hyflux_00141|hyflux_00152
CGH,Hyflux,ORGANIZATION,hyflux_00180
CITIC Envirotech,Hyflux,ORGANIZATION,hyflux_00369
CITIC Envirotech,Sembcorp Marine,ORGANIZATION,hyflux_00369
CITIC Envirotech,Singtel,ORGANIZATION,hyflux_00369
CTI,Hi-Tech,ORGANIZATION,hyflux_00666
CTI,Hyflux,ORGANIZATION,hyflux_00666
CTI,Jiangsu Jiuwu,PERSON,hyflux_00666
CTI,Meidensha,ORGANIZATION,hyflux_00666
CTI,Novasep,ORGANIZATION,hyflux_00666
CTI,Veolia Water Technologies,ORGANIZATION,hyflux_00666
Charles Schwab,Hyflux,PERSON,hyflux_00499
Charles Schwab,Trump-Kim,PERSON,hyflux_00499
Charles Schwab,Vivian Balakrishnan,PERSON,hyflux_00499
China International Capital Corp,DBS,ORGANIZATION,hyflux_00139|hyflux_00176
China International Capital Corp,Hyflux,ORGANIZATION,hyflux_00139|hyflux_00176
China International Capital Corporation,DBS,ORGANIZATION,hyflux_00132
Chiyoda Corporation,Ezra,PERSON,hyflux_00059
Chiyoda Corporation,Hyflux,ORGANIZATION,hyflux_00059
Chiyoda Corporation,JV,ORGANIZATION,hyflux_00059
Chiyoda Corporation,Nippon Yusen,ORGANIZATION,hyflux_00059
CoorsTek,Hyflux,ORGANIZATION,hyflux_00703
CoorsTek,LennTech,ORGANIZATION,hyflux_00703
CoorsTek,Shijie,PERSON,hyflux_00703
DBS,Digibank,ORGANIZATION,hyflux_00140|hyflux_00141|hyflux_00152
DBS,Google,ORGANIZATION,hyflux_00152
DBS,Hyflux,ORGANIZATION,hyflux_00139|hyflux_00140|hyflux_00141|hyflux_00152|hyflux_00176
DBS,Oxley,PERSON,hyflux_00140|hyflux_00141|hyflux_00152
Danaher,TAMI Industries,PERSON,hyflux_00945
Danaher,Vendors,PERSON,hyflux_00945
Danaher,Veolia,PERSON,hyflux_00353|hyflux_00945
Digibank,Google,ORGANIZATION,hyflux_00152
Digibank,Hyflux,ORGANIZATION,hyflux_00140|hyflux_00141|hyflux_00152
Digibank,Oxley,PERSON,hyflux_00140|hyflux_00141|hyflux_00152
Donald Trump,Hyflux,PERSON,hyflux_00607
Donald Trump,Kim Jong Un,PERSON,hyflux_00607
Donald Trump,SIA,PERSON,hyflux_00607
Donald Trump,Trump-Kim,PERSON,hyflux_00607
Dow Jones Index,Hyflux,ORGANIZATION,hyflux_00149
Dow Jones Index,Oxley,PERSON,hyflux_00149
Dow Jones Index,Singaporeans,PERSON,hyflux_00149
ELO,Hyflux,ORGANIZATION,hyflux_00038
ELO Water Partnership,Group Chief Executive Officer,PERSON,hyflux_00718
ELO Water Partnership,Hyflux,ORGANIZATION,hyflux_00718
ELO Water Partnership,Official Water for Badminton,ORGANIZATION,hyflux_00718
ELO Water Partnership,Olivia Lum,PERSON,hyflux_00718
ESR,Hyflux,ORGANIZATION,hyflux_00411|hyflux_00520
ESR Real Estate Investment Trust,Hyflux,ORGANIZATION,hyflux_00920
ESR Real Estate Investment Trust,UNIT,ORGANIZATION,hyflux_00920
Evoqua,Honeywell,PERSON,hyflux_00428
Evoqua,Hyflux,PERSON,hyflux_00428
Evoqua,India,PERSON,hyflux_00428
Evoqua,SWCC,PERSON,hyflux_00428
Ezion,Hyflux,ORGANIZATION,hyflux_00326
Ezra,Hyflux,PERSON,hyflux_00059
Ezra,JV,PERSON,hyflux_00059
Ezra,Nippon Yusen,PERSON,hyflux_00059
Financially Sound Company,Hyflux,ORGANIZATION,hyflux_00811
Financially Sound Company,Investors,PERSON,hyflux_00811
Financially Sound Company,Singapore Exchange,ORGANIZATION,hyflux_00811
GEA Group,Hi-Tech,ORGANIZATION,hyflux_00101
GEA Group,Hyflux,ORGANIZATION,hyflux_00101
GEA Group,ITN Nanovation AG,ORGANIZATION,hyflux_00101
GEA Group,Jiangsu Jiuwu,PERSON,hyflux_00101
Google,Hyflux,ORGANIZATION,hyflux_00152
Google,Oxley,PERSON,hyflux_00152
Grand Slam,Hyflux,ORGANIZATION,hyflux_00263
Grand Slam,Maria Sharapova,PERSON,hyflux_00263
Grand Slam,Olivia Lum,PERSON,hyflux_00263
Grand Slam,UBS,ORGANIZATION,hyflux_00263
Group Chief Executive Officer,Hyflux,PERSON,hyflux_00718
Group Chief Executive Officer,Official Water for Badminton,PERSON,hyflux_00718
Group Chief Executive Officer,Olivia Lum,PERSON,hyflux_00718
Groupe,Hyflux,ORGANIZATION,hyflux_00952
Groupe,Jiuwu Hi-Tech,PERSON,hyflux_00952
Groupe,LennTech,ORGANIZATION,hyflux_00952
Groupe,Novasep,ORGANIZATION,hyflux_00952
Groupe,Veolia Water Technologies,ORGANIZATION,hyflux_00952
Henry Charrabé,Hyflux,PERSON,hyflux_00116
Henry Charrabé,ItN,PERSON,hyflux_00116
Henry Charrabé,Ronald Lauder,PERSON,hyflux_00116
Henry Charrabé,SWCC,PERSON,hyflux_00116
Hi-Tech,Hyflux,ORGANIZATION,hyflux_00101|hyflux_00666
Hi-Tech,ITN Nanovation AG,ORGANIZATION,hyflux_00101
Hi-Tech,Jiangsu Jiuwu,PERSON,hyflux_00101|hyflux_00666
Hi-Tech,Meidensha,ORGANIZATION,hyflux_00666
Hi-Tech,Novasep,ORGANIZATION,hyflux_00666
Hi-Tech,Veolia Water Technologies,ORGANIZATION,hyflux_00666
Honeywell,Hyflux,ORGANIZATION,hyflux_00428
Honeywell,India,ORGANIZATION,hyflux_00428
Honeywell,SWCC,ORGANIZATION,hyflux_00428
