name,type,importance,sentiment_emb
Hyflux,ORGANIZATION,1.0,-3.225806451612903
Olivia Lum,PERSON,0.13062883372310702,-100.0
Singapore Exchange,ORGANIZATION,0.09906083206354241,100.0
Oon Jin Teik,PERSON,0.07255170235360237,0.0
Sports Hub,ORGANIZATION,0.04345768349317289,100.0
Marco Polo,PERSON,0.03684508840195672,100.0
SPH Magazines,ORGANIZATION,0.03199438651466064,0.0
Keh,PERSON,0.02564004146517741,0.0
Tuaspring,ORGANIZATION,0.025354041374586623,-100.0
SWCC,ORGANIZATION,0.024107591331753775,0.0
ESR,ORGANIZATION,0.021634599824122303,0.0
Oon,PERSON,0.018432211202086397,100.0
Trump-Kim,PERSON,0.00985939424622693,100.0
MOU,ORGANIZATION,0.008801288251098372,100.0
Hydrochem Saudi,ORGANIZATION,0.00758792221328421,100.0
Singapore Sports,ORGANIZATION,0.007014639911621594,0.0
Vivian Balakrishnan,PERSON,0.006096892221028645,100.0
PAEW,ORGANIZATION,0.005604640404372666,-100.0
DBS,ORGANIZATION,0.005564093026962908,100.0
INVESTORS,PERSON,0.004955297985737621,0.0
MARCO Polo Marine,PERSON,0.004802041564849505,100.0
Atech,ORGANIZATION,0.0046852260355884435,100.0
Brexit,ORGANIZATION,0.0041678714819613945,100.0
Novasep,ORGANIZATION,0.004118318118238373,100.0
Danaher,PERSON,0.004054946283369368,100.0
Vendors,ORGANIZATION,0.003960740763548702,0.0
Modern Channels Services,ORGANIZATION,0.003917028432352956,100.0
Digibank,ORGANIZATION,0.0038265553138621382,100.0
LennTech,ORGANIZATION,0.003592157585217538,0.0
Moody's Investors Service,ORGANIZATION,0.0033863584468978125,-100.0
Oxley,PERSON,0.0033795565506784912,100.0
Veolia Water Technologies,ORGANIZATION,0.0033739460220888642,100.0
Hi-Tech,ORGANIZATION,0.002817744588175736,100.0
Veolia,ORGANIZATION,0.0028158339799767866,100.0
Singapore Press Holdings,ORGANIZATION,0.00280294901286812,0.0
Singapore High Court,ORGANIZATION,0.0027872609499364313,0.0
China International Capital Corp,ORGANIZATION,0.0024693016683277388,0.0
Jiangsu Jiuwu,PERSON,0.002450485700181306,100.0
Reuters,ORGANIZATION,0.002167437660970528,0.0
Singapore Technologies Engineering,ORGANIZATION,0.0017201923379304375,0.0
PSA,ORGANIZATION,0.0016448078152652512,0.0
India,ORGANIZATION,0.0013696517907259133,-100.0
Oman Public Authority for Electricity and Water,ORGANIZATION,0.0012340239151276877,-100.0
TAMI Industries,ORGANIZATION,0.0010748843379943067,0.0
Hydrochem,ORGANIZATION,0.0009741925499442004,100.0
