source,target,link_type,article_id
AIA,AXA,ORGANIZATION,insurance_00000|insurance_00273|insurance_00505|insurance_00507
AIA,Adecco,ORGANIZATION,insurance_00208
AIA,Advisors Alliance Group,ORGANIZATION,insurance_00271|insurance_00353|insurance_00506
AIA,Aon,ORGANIZATION,insurance_00208|insurance_00249
AIA,Asia Corporate Training,ORGANIZATION,insurance_00208
AIA,Aviva,ORGANIZATION,insurance_00208|insurance_00249|insurance_00272|insurance_00273|insurance_00505|insurance_00507
AIA,Bell Ward,PERSON,insurance_00208|insurance_00249
AIA,Best Employee Insurance Provider,ORGANIZATION,insurance_00034
AIA,Best Retirement & Pension Plan Provider,ORGANIZATION,insurance_00249
AIA,Chandler MacLeod,PERSON,insurance_00208|insurance_00249
AIA,Crown World Mobility,ORGANIZATION,insurance_00208
AIA,Cubiks,PERSON,insurance_00208
AIA,DDI,ORGANIZATION,insurance_00208|insurance_00249
AIA,Deloitte,ORGANIZATION,insurance_00208|insurance_00249
AIA,EY,ORGANIZATION,insurance_00208|insurance_00249
AIA,EgonZehnder,PERSON,insurance_00208|insurance_00249
AIA,Employee Insurance Provider,ORGANIZATION,insurance_00249
AIA,Far East Hospitality,ORGANIZATION,insurance_00208
AIA,Great Eastern,ORGANIZATION,insurance_00119|insurance_00269|insurance_00271|insurance_00272|insurance_00273|insurance_00353|insurance_00390|insurance_00398|insurance_00505|insurance_00506|insurance_00507|insurance_00516|insurance_00521
AIA,HR Vendors,ORGANIZATION,insurance_00034
AIA,HR Vendors of the Year Awards,ORGANIZATION,insurance_00208|insurance_00249
AIA,HR solutions providers,ORGANIZATION,insurance_00208
AIA,Human Resources,ORGANIZATION,insurance_00034
AIA,IP insurers,ORGANIZATION,insurance_00273|insurance_00505
AIA,IPs,ORGANIZATION,insurance_00273
AIA,Insurers,ORGANIZATION,insurance_00390
AIA,Insurtech,ORGANIZATION,insurance_00510
AIA,Krung Thai Bank,ORGANIZATION,insurance_00000
AIA,LIA,ORGANIZATION,insurance_00516
AIA,Life Insurance Association,ORGANIZATION,insurance_00119|insurance_00521
AIA,Life Insurance Association Singapore,ORGANIZATION,insurance_00269|insurance_00398
AIA,OAC,ORGANIZATION,insurance_00119
AIA,OCBC,ORGANIZATION,insurance_00119
AIA,Patrick Teow,PERSON,insurance_00119
AIA,Peter Tan,PERSON,insurance_00272
AIA,Peter Tan Organisation,ORGANIZATION,insurance_00272|insurance_00506
AIA,Prudential,ORGANIZATION,insurance_00272|insurance_00273|insurance_00390|insurance_00505|insurance_00506|insurance_00507
AIA,Siam Commercial Bank,ORGANIZATION,insurance_00000
AIA,Singapore Business Review,ORGANIZATION,insurance_00510
AIA,Swiss Re,ORGANIZATION,insurance_00390
AIA,The Life Insurance Association,ORGANIZATION,insurance_00516
AIA,Transamerica Life,ORGANIZATION,insurance_00031
AIA,Zurich Insurance,ORGANIZATION,insurance_00034
AIG,AXA,ORGANIZATION,insurance_00230|insurance_00525
AIG,Artificial Intelligence,ORGANIZATION,insurance_00525
AIG,Aviva,ORGANIZATION,insurance_00230|insurance_00525
AIG,NTUC Income,ORGANIZATION,insurance_00230|insurance_00525
AIG,PolicyPal,ORGANIZATION,insurance_00230
AIG,Val Ji-hsuan Yap,PERSON,insurance_00525
AXA,Andre Czanik,PERSON,insurance_00055
AXA,Artificial Intelligence,ORGANIZATION,insurance_00525
AXA,Aviva,ORGANIZATION,insurance_00025|insurance_00230|insurance_00273|insurance_00400|insurance_00505|insurance_00507|insurance_00525
AXA,Celine Le,PERSON,insurance_00346
AXA,Fullerton,PERSON,insurance_00400
AXA,Fullerton Fund Management Company,ORGANIZATION,insurance_00400
