name,article_id
AIA,insurance_00000|insurance_00031|insurance_00034|insurance_00119|insurance_00208|insurance_00249|insurance_00269|insurance_00271|insurance_00272|insurance_00273|insurance_00353|insurance_00390|insurance_00398|insurance_00505|insurance_00506|insurance_00507|insurance_00510|insurance_00516|insurance_00521
AIG,insurance_00230|insurance_00525
AXA,insurance_00000|insurance_00025|insurance_00041|insurance_00055|insurance_00223|insurance_00230|insurance_00273|insurance_00346|insurance_00400|insurance_00505|insurance_00507|insurance_00525
Adecco,insurance_00208
Advisors Alliance Group,insurance_00271|insurance_00274|insurance_00353|insurance_00506
Allianz,insurance_00423
American Express,insurance_00064
American Express International,insurance_00067
Andre Czanik,insurance_00055
Aon,insurance_00208|insurance_00249
Artificial Intelligence,insurance_00525
Asia Corporate Training,insurance_00208
Aviva,insurance_00003|insurance_00025|insurance_00182|insurance_00184|insurance_00208|insurance_00230|insurance_00249|insurance_00272|insurance_00273|insurance_00400|insurance_00402|insurance_00410|insurance_00421|insurance_00470|insurance_00505|insurance_00507|insurance_00525
Bell Ward,insurance_00208|insurance_00249
Best Employee Insurance Provider,insurance_00034
Best Retirement & Pension Plan Provider,insurance_00249
Biofourmis,insurance_00397
Bloomberg,insurance_00040
Celine Le,insurance_00346
Chandler MacLeod,insurance_00208|insurance_00249
Citi,insurance_00423|insurance_00440
Credit Suisse,insurance_00001|insurance_00030|insurance_00033|insurance_00190
Crown World Mobility,insurance_00208
Cubiks,insurance_00208
DBS,insurance_00419
DDI,insurance_00208|insurance_00249
DPS,insurance_00157
Deloitte,insurance_00208|insurance_00249
EMEA,insurance_00423
EY,insurance_00208|insurance_00249
EgonZehnder,insurance_00208|insurance_00249
ElderShield Review Committee,insurance_00184
Employee Insurance Provider,insurance_00249
Eugene Thuraisingam LLP,insurance_00226
Far East Hospitality,insurance_00208
Fernand Lendoye,insurance_00402
Fullerton,insurance_00400
Fullerton Fund Management Company,insurance_00400
GEG,insurance_00177
GEH,insurance_00419|insurance_00509|insurance_00514
GREAT Eastern,insurance_00276
Government,insurance_00182|insurance_00184|insurance_00470
Great Eastern,insurance_00003|insurance_00007|insurance_00025|insurance_00030|insurance_00033|insurance_00055|insurance_00119|insurance_00130|insurance_00157|insurance_00162|insurance_00177|insurance_00182|insurance_00184|insurance_00190|insurance_00198|insurance_00267|insurance_00268|insurance_00269|insurance_00271|insurance_00272|insurance_00273|insurance_00274|insurance_00277|insurance_00319|insurance_00353|insurance_00390|insurance_00398|insurance_00421|insurance_00470|insurance_00505|insurance_00506|insurance_00507|insurance_00516|insurance_00521
HR Vendors,insurance_00034
HR Vendors of the Year Awards,insurance_00208|insurance_00249
HR solutions providers,insurance_00208
Health-tech firm,insurance_00402
High Court,insurance_00222|insurance_00223|insurance_00226
Human Resources,insurance_00034
IP insurers,insurance_00273|insurance_00505
IPs,insurance_00055|insurance_00273
Insurers,insurance_00390
Insurtech,insurance_00346|insurance_00510
Investment Managers,insurance_00400
Isabella,insurance_00064
Isabella Loh,insurance_00067
KKR,insurance_00033
Keller,insurance_00440
Krung Thai Bank,insurance_00000
LIA,insurance_00516
Lee,insurance_00030|insurance_00162|insurance_00198
Lee Hsien Loong,insurance_00003
Life Insurance Association,insurance_00119|insurance_00521
Life Insurance Association Singapore,insurance_00269|insurance_00398
Lim Kwong Fei,insurance_00395
Lion Global Investors,insurance_00025
Man,insurance_00222
Mercedes Benz,insurance_00404
Mercedes-Benz,insurance_00395
NSI Ventures,insurance_00397|insurance_00410
NTUC Income,insurance_00003|insurance_00055|insurance_00157|insurance_00184|insurance_00230|insurance_00277|insurance_00400|insurance_00421|insurance_00470|insurance_00525
OAC,insurance_00119
OCBC,insurance_00001|insurance_00002|insurance_00007|insurance_00030|insurance_00033|insurance_00040|insurance_00041|insurance_00119|insurance_00130|insurance_00162|insurance_00190|insurance_00198|insurance_00268|insurance_00276|insurance_00311|insurance_00319|insurance_00509|insurance_00514
OUE,insurance_00002
Overseas Assurance Corporation,insurance_00177
Owners,insurance_00002
Panel,insurance_00421
Patrick Teow,insurance_00119
Perennial,insurance_00190
Peter Tan,insurance_00272
Peter Tan Organisation,insurance_00272|insurance_00506
Peter Tay,insurance_00277
Pico,insurance_00354
Pico Group,insurance_00403
Pico Pro,insurance_00354|insurance_00403
PolicyPal,insurance_00230
Prudential,insurance_00025|insurance_00222|insurance_00223|insurance_00272|insurance_00273|insurance_00354|insurance_00390|insurance_00403|insurance_00419|insurance_00505|insurance_00506|insurance_00507|insurance_00511|insurance_00520
Ramesh,insurance_00222
Ramesh Krishnan,insurance_00223|insurance_00226
SEC,insurance_00067
Siam Commercial Bank,insurance_00000
Singapore Business Review,insurance_00510
Singapore Environment Council,insurance_00064
Singaporeans,insurance_00182
Sujoy Ghosh,insurance_00440
Swiss Re,insurance_00390
Teo,insurance_00064|insurance_00067
The Life Insurance Association,insurance_00516
The Straits Times,insurance_00267
Tokio Marine Holdings,insurance_00511
Tokio Marine Insurance,insurance_00419
Transamerica Life,insurance_00031
UE,insurance_00162|insurance_00198
UEL,insurance_00001|insurance_00002|insurance_00030|insurance_00041
Val Ji-hsuan Yap,insurance_00525
WBL,insurance_00162|insurance_00198
WBL Corp,insurance_00001
Wall Street Journal,insurance_00268
Yanlord,insurance_00190
Zurich Insurance,insurance_00034|insurance_00511
