source,target,link_type,article_id
CNN,Lisa Ling,PERSON,kevin_ling_00007
Fanning,Harris,PERSON,kevin_ling_00005
Fanning,Investors,PERSON,kevin_ling_00005
Fanning,Jackson,PERSON,kevin_ling_00005
Fanning,Kevin E.,PERSON,kevin_ling_00005
Fanning,Kirsten,PERSON,kevin_ling_00005
Fanning,Ling L.,PERSON,kevin_ling_00005
Fanning,Stern,PERSON,kevin_ling_00005
Father,Kevin Zervos,PERSON,kevin_ling_00001
Father,Rocky Ling,PERSON,kevin_ling_00001
Hao Li Chen,Kevin Xu,PERSON,kevin_ling_00008
Hao Li Chen,Linda Chen,PERSON,kevin_ling_00008
Hao Li Chen,Wu Weibo,PERSON,kevin_ling_00008
Hao Li Chen,Xiu Ling Chen,PERSON,kevin_ling_00008
Hao Li Chen,Xiu Ling Cheng,PERSON,kevin_ling_00008
Harris,Investors,PERSON,kevin_ling_00005
Harris,Jackson,PERSON,kevin_ling_00005
Harris,Kevin E.,PERSON,kevin_ling_00005
Harris,Kirsten,PERSON,kevin_ling_00005
Harris,Ling L.,PERSON,kevin_ling_00005
Harris,Stern,PERSON,kevin_ling_00005
Investors,Jackson,PERSON,kevin_ling_00005
Investors,Kevin E.,PERSON,kevin_ling_00005
Investors,Kirsten,PERSON,kevin_ling_00005
Investors,Ling L.,PERSON,kevin_ling_00005
Investors,Stern,PERSON,kevin_ling_00005
Jackson,Kevin E.,PERSON,kevin_ling_00005
Jackson,Kirsten,PERSON,kevin_ling_00005
Jackson,Ling L.,PERSON,kevin_ling_00005
Jackson,Stern,PERSON,kevin_ling_00005
Kevin E.,Kirsten,PERSON,kevin_ling_00005
Kevin E.,Ling L.,PERSON,kevin_ling_00005
Kevin E.,Stern,PERSON,kevin_ling_00005
Kevin Priestly,Ling,PERSON,kevin_ling_00006
Kevin Xu,Linda Chen,PERSON,kevin_ling_00008
Kevin Xu,Wu Weibo,PERSON,kevin_ling_00008
Kevin Xu,Xiu Ling Chen,PERSON,kevin_ling_00008
Kevin Xu,Xiu Ling Cheng,PERSON,kevin_ling_00008
Kevin Yeung,Tang Lin-ling,PERSON,kevin_ling_00003
Kevin Zervos,Rocky Ling,PERSON,kevin_ling_00001
Kevin Zervos,Suki Ling Yun- lam,PERSON,kevin_ling_00000
Kevin Zervos,Wong,PERSON,kevin_ling_00000
Kirsten,Ling L.,PERSON,kevin_ling_00005
Kirsten,Stern,PERSON,kevin_ling_00005
Linda Chen,Wu Weibo,PERSON,kevin_ling_00008
Linda Chen,Xiu Ling Chen,PERSON,kevin_ling_00008
Linda Chen,Xiu Ling Cheng,PERSON,kevin_ling_00008
Ling L.,Stern,PERSON,kevin_ling_00005
Suki Ling Yun- lam,Wong,PERSON,kevin_ling_00000
Wu Weibo,Xiu Ling Chen,PERSON,kevin_ling_00008
Wu Weibo,Xiu Ling Cheng,PERSON,kevin_ling_00008
Xiu Ling Chen,Xiu Ling Cheng,PERSON,kevin_ling_00008
