name,article_id
CNN,kevin_ling_00007
Fanning,kevin_ling_00005
Father,kevin_ling_00001
Hao Li Chen,kevin_ling_00008
Harris,kevin_ling_00005
Investors,kevin_ling_00005
Jackson,kevin_ling_00005
Kevin E.,kevin_ling_00005
Kevin Priestly,kevin_ling_00006
Kevin Xu,kevin_ling_00008
Kevin Yeung,kevin_ling_00003
Kevin Zervos,kevin_ling_00000|kevin_ling_00001
Kirsten,kevin_ling_00005
Linda Chen,kevin_ling_00008
Ling,kevin_ling_00006
Ling L.,kevin_ling_00005
Lisa Ling,kevin_ling_00007
Manling Tsang Williams,kevin_ling_00002
Rocky Ling,kevin_ling_00001
Stern,kevin_ling_00005
Suki Ling Yun- lam,kevin_ling_00000
Tang Lin-ling,kevin_ling_00003
Wong,kevin_ling_00000
Wu Weibo,kevin_ling_00008
Xiu Ling Chen,kevin_ling_00008
Xiu Ling Cheng,kevin_ling_00008
