source,target,link_type,article_id
ASUS,M1,ORGANIZATION,m1_00017
ASUS ZenFone Max Pro Comparison,Asus,ORGANIZATION,m1_00143
ASUS ZenFone Max Pro Comparison,Realme 1,ORGANIZATION,m1_00143
ASUS ZenFone Max Pro Comparison,Zenfone Max Pro M1,PERSON,m1_00143
ASUS ZenFone Max Pro M1,Redmi,PERSON,m1_00030
ASUS ZenFone Max Pro M1,Xiaomi,ORGANIZATION,m1_00030
Analysts,M1,PERSON,m1_00013
Apple,Dell,ORGANIZATION,m1_00040|m1_00061|m1_00063
Apple,Google,ORGANIZATION,m1_00040|m1_00061|m1_00063
Apple,HP,ORGANIZATION,m1_00040|m1_00061|m1_00063
Apple,HTC,ORGANIZATION,m1_00040|m1_00061|m1_00063
Apple,Huawei,ORGANIZATION,m1_00061|m1_00063
Apple,Huawei P20 Pro,ORGANIZATION,m1_00040
Apple,IDA,ORGANIZATION,m1_00040|m1_00061|m1_00063
Apple,Intel,ORGANIZATION,m1_00040|m1_00061|m1_00063
Apple,LG,ORGANIZATION,m1_00113
Apple,LG G7+,ORGANIZATION,m1_00113
Apple,Microsoft,ORGANIZATION,m1_00040|m1_00061|m1_00063
Apple,Nokia,ORGANIZATION,m1_00040|m1_00061|m1_00063
Apple,Samsung,ORGANIZATION,m1_00113
Apple,iPhone Lenovo LG,ORGANIZATION,m1_00040|m1_00061|m1_00063
Asus,Flipkart,ORGANIZATION,m1_00125
Asus,Realme 1,ORGANIZATION,m1_00143
Asus,Zenfone Max Pro M1,PERSON,m1_00143
Asus ZenFone Max Pro M1,Gionee,ORGANIZATION,m1_00169
Circles.Life,M1,ORGANIZATION,m1_00127|m1_00137
Dell,Google,ORGANIZATION,m1_00040|m1_00061|m1_00063
Dell,HP,ORGANIZATION,m1_00040|m1_00061|m1_00063
Dell,HTC,ORGANIZATION,m1_00040|m1_00061|m1_00063
Dell,Huawei,ORGANIZATION,m1_00061|m1_00063
Dell,Huawei P20 Pro,ORGANIZATION,m1_00040
Dell,IDA,ORGANIZATION,m1_00040|m1_00061|m1_00063
Dell,Intel,ORGANIZATION,m1_00040|m1_00061|m1_00063
Dell,Microsoft,ORGANIZATION,m1_00040|m1_00061|m1_00063
Dell,Nokia,ORGANIZATION,m1_00040|m1_00061|m1_00063
Dell,iPhone Lenovo LG,ORGANIZATION,m1_00040|m1_00061|m1_00063
Google,HP,ORGANIZATION,m1_00040|m1_00061|m1_00063
Google,HTC,ORGANIZATION,m1_00040|m1_00061|m1_00063
Google,Huawei,ORGANIZATION,m1_00061|m1_00063
Google,Huawei P20 Pro,ORGANIZATION,m1_00040
Google,IDA,ORGANIZATION,m1_00040|m1_00061|m1_00063
Google,Intel,ORGANIZATION,m1_00040|m1_00061|m1_00063
Google,Microsoft,ORGANIZATION,m1_00040|m1_00061|m1_00063
Google,Nokia,ORGANIZATION,m1_00040|m1_00061|m1_00063
Google,iPhone Lenovo LG,ORGANIZATION,m1_00040|m1_00061|m1_00063
HP,HTC,ORGANIZATION,m1_00040|m1_00061|m1_00063
HP,Huawei,ORGANIZATION,m1_00061|m1_00063
HP,Huawei P20 Pro,ORGANIZATION,m1_00040
HP,IDA,ORGANIZATION,m1_00040|m1_00061|m1_00063
HP,Intel,ORGANIZATION,m1_00040|m1_00061|m1_00063
HP,Microsoft,ORGANIZATION,m1_00040|m1_00061|m1_00063
HP,Nokia,ORGANIZATION,m1_00040|m1_00061|m1_00063
HP,iPhone Lenovo LG,ORGANIZATION,m1_00040|m1_00061|m1_00063
HTC,Huawei,ORGANIZATION,m1_00061|m1_00063
HTC,Huawei P20 Pro,ORGANIZATION,m1_00040
HTC,IDA,ORGANIZATION,m1_00040|m1_00061|m1_00063
HTC,Intel,ORGANIZATION,m1_00040|m1_00061|m1_00063
HTC,Microsoft,ORGANIZATION,m1_00040|m1_00061|m1_00063
HTC,Nokia,ORGANIZATION,m1_00040|m1_00061|m1_00063
HTC,iPhone Lenovo LG,ORGANIZATION,m1_00040|m1_00061|m1_00063
House,Huawei,ORGANIZATION,m1_00115
House,Porsche,ORGANIZATION,m1_00115
Huawei,IDA,ORGANIZATION,m1_00061|m1_00063
Huawei,Intel,ORGANIZATION,m1_00061|m1_00063
