source,target,link_type,article_id
5LY,Marco Polo Marine Ltd,ORGANIZATION,marco_polo_marine_00116|marco_polo_marine_00117
5LY,Woodside Petroleum Ltd,ORGANIZATION,marco_polo_marine_00116|marco_polo_marine_00117
AAL,Anglo American plc,ORGANIZATION,marco_polo_marine_00119
AAL,How Financially Strong Is Anglo American plc,ORGANIZATION,marco_polo_marine_00119
AAL,Investors,PERSON,marco_polo_marine_00119
AAL,LON,ORGANIZATION,marco_polo_marine_00119
ASX,CAY,ORGANIZATION,marco_polo_marine_00102
ASX,Canyon Resources Limited,ORGANIZATION,marco_polo_marine_00102
Anglo American plc,How Financially Strong Is Anglo American plc,ORGANIZATION,marco_polo_marine_00119
Anglo American plc,Investors,PERSON,marco_polo_marine_00119
Anglo American plc,LON,ORGANIZATION,marco_polo_marine_00119
Bargain hunters,Borr,PERSON,marco_polo_marine_00048
Bargain hunters,Marco Polo Marine,PERSON,marco_polo_marine_00048
Bargain hunters,O&M,PERSON,marco_polo_marine_00048
Bargain hunters,PPL,PERSON,marco_polo_marine_00048
Board of Directors,Marco Polo Marine Ltd.,PERSON,marco_polo_marine_00082
Borr,Marco Polo Marine,PERSON,marco_polo_marine_00048
Borr,O&M,PERSON,marco_polo_marine_00048
Borr,PPL,PERSON,marco_polo_marine_00048
Business Times,UOB,ORGANIZATION,marco_polo_marine_00033
CAY,Canyon Resources Limited,ORGANIZATION,marco_polo_marine_00102
DealStreetAsia,UOB,PERSON,marco_polo_marine_00002
GasLog Partners LP,NYSE,ORGANIZATION,marco_polo_marine_00118
How Financially Strong Is Anglo American plc,Investors,PERSON,marco_polo_marine_00119
How Financially Strong Is Anglo American plc,LON,ORGANIZATION,marco_polo_marine_00119
Investors,LON,PERSON,marco_polo_marine_00119
Liely Lee,Marco Polo Marine,PERSON,marco_polo_marine_00008
MARCO Polo Marine,Marco Polo,PERSON,marco_polo_marine_00014|marco_polo_marine_00021|marco_polo_marine_00028|marco_polo_marine_00036|marco_polo_marine_00040
MARCO Polo Marine,Marine,PERSON,marco_polo_marine_00021
MARCO Polo Marine,PT Marcopolo Shipyard,PERSON,marco_polo_marine_00003
MARCO Polo Marine,Shareholders,PERSON,marco_polo_marine_00040
MARCO Polo Marine,Singapore High Court,PERSON,marco_polo_marine_00036
Marco,UOB,PERSON,marco_polo_marine_00023
Marco Polo,Marco Polo Marine,PERSON,marco_polo_marine_00000
Marco Polo,Marine,PERSON,marco_polo_marine_00021|marco_polo_marine_00041
Marco Polo,Marinerequested,PERSON,marco_polo_marine_00000
Marco Polo,O&M,PERSON,marco_polo_marine_00041
Marco Polo,Shareholders,PERSON,marco_polo_marine_00040
Marco Polo,Singapore High Court,PERSON,marco_polo_marine_00036
Marco Polo Marine,Marco Polo Shipyard Pte Ltd,PERSON,marco_polo_marine_00057
Marco Polo Marine,Marinerequested,PERSON,marco_polo_marine_00000
Marco Polo Marine,O&M,PERSON,marco_polo_marine_00006|marco_polo_marine_00013|marco_polo_marine_00019|marco_polo_marine_00048
Marco Polo Marine,PPL,PERSON,marco_polo_marine_00048
Marco Polo Marine,PPL Shipyard,PERSON,marco_polo_marine_00043
Marco Polo Marine,PT Marcopolo Shipyard,PERSON,marco_polo_marine_00018
Marco Polo Marine,Pavilion Capital,PERSON,marco_polo_marine_00051
Marco Polo Marine,SEMBCORP Marine,PERSON,marco_polo_marine_00015
Marco Polo Marine,Sembcorp Marine,PERSON,marco_polo_marine_00043
Marco Polo Marine,Singapore Exchange,PERSON,marco_polo_marine_00025
Marco Polo Marine,Singapore High Court,PERSON,marco_polo_marine_00016|marco_polo_marine_00057
Marco Polo Marine,Six,PERSON,marco_polo_marine_00064
Marco Polo Marine,Temasek Holdings,PERSON,marco_polo_marine_00025
Marco Polo Marine Ltd,Singapore Exchange,ORGANIZATION,marco_polo_marine_00050
Marco Polo Marine Ltd,Woodside Petroleum Ltd,ORGANIZATION,marco_polo_marine_00116|marco_polo_marine_00117
Marco Polo Shipyard Pte Ltd,Singapore High Court,ORGANIZATION,marco_polo_marine_00057
Marine,O&M,ORGANIZATION,marco_polo_marine_00041
O&M,PPL,ORGANIZATION,marco_polo_marine_00048
PPL Shipyard,Sembcorp Marine,ORGANIZATION,marco_polo_marine_00043
Partners Real Estate Investment Trust,TSX,ORGANIZATION,marco_polo_marine_00122
Singapore Exchange,Temasek Holdings,ORGANIZATION,marco_polo_marine_00025
Wilson,Wuxue Janda,PERSON,marco_polo_marine_00113
