name,type,importance,sentiment_emb
Sun Hung Kai Properties,ORGANIZATION,0.6826731185764731,-100.0
Vard Group,ORGANIZATION,0.4252594955926122,100.0
Havila Shipping,ORGANIZATION,0.4103708081984264,100.0
Intermarine,ORGANIZATION,0.3989391087387186,100.0
VT Halter Marine,ORGANIZATION,0.3655848991519437,100.0
PSV,ORGANIZATION,0.27591438886494174,100.0
Manufacturers,ORGANIZATION,0.1605220917841323,0.0
Damen,PERSON,0.13935535123139714,100.0
Americasn SB,ORGANIZATION,0.13562143994348067,100.0
Nam Cheong MTR,ORGANIZATION,0.1302431854252863,-100.0
Eastern Shipbuilding Group,ORGANIZATION,0.12892098684425063,100.0
KG Offshore Services,ORGANIZATION,0.09151777992427494,100.0
Perisai Petroleum Teknologi Bhd,ORGANIZATION,0.08822642111685336,100.0
Odyssea Marine,ORGANIZATION,0.07127799841490366,0.0
Bollinger Shipyards,ORGANIZATION,0.06639961652611776,100.0
Shipyard DeHoop,PERSON,0.0642904597149235,100.0
Alam Maritim Resources Bhd,ORGANIZATION,0.03445586344023367,100.0
Remontowa,PERSON,0.034262188765742434,100.0
