source,target,link_type,article_id
APL,CMA CGM,ORGANIZATION,neptune_orient_lines_00008|neptune_orient_lines_00106
APL,China COSCO,ORGANIZATION,neptune_orient_lines_00106
APL,Kintetsu,ORGANIZATION,neptune_orient_lines_00110
APL,Maersk Line,ORGANIZATION,neptune_orient_lines_00008
APL,Neptune Orient Lines,ORGANIZATION,neptune_orient_lines_00008|neptune_orient_lines_00106|neptune_orient_lines_00110
APL,OOCL,ORGANIZATION,neptune_orient_lines_00008
APL,Ocean Alliance,ORGANIZATION,neptune_orient_lines_00106
Alan Chan,NOL,PERSON,neptune_orient_lines_00003
Alan Chan,Neptune Orient Lines,PERSON,neptune_orient_lines_00003|neptune_orient_lines_00021|neptune_orient_lines_00084|neptune_orient_lines_00107
Alan Chan,Ng Yat Chung,PERSON,neptune_orient_lines_00003|neptune_orient_lines_00021|neptune_orient_lines_00107
Alan Chan,SINGAPORE Press Holdings,PERSON,neptune_orient_lines_00003
Alan Chan,SPH,PERSON,neptune_orient_lines_00107
Alan Chan,Singapore Press Holdings,PERSON,neptune_orient_lines_00021
Alibaba,China Construction Bank,ORGANIZATION,neptune_orient_lines_00053
Alibaba,Neptune Orient Lines,ORGANIZATION,neptune_orient_lines_00053
B-division,CMA CGM,ORGANIZATION,neptune_orient_lines_00072
B-division,Neptune Orient Lines,ORGANIZATION,neptune_orient_lines_00072
B-division,PIL,ORGANIZATION,neptune_orient_lines_00072
BLOOMBERG,Neptune Orient Lines,ORGANIZATION,neptune_orient_lines_00012
CGM CMA,Neptune Orient Lines,ORGANIZATION,neptune_orient_lines_00103
CGM CMA,Ng Yat Chung,PERSON,neptune_orient_lines_00103
CMA CGM,China,ORGANIZATION,neptune_orient_lines_00076
CMA CGM,China COSCO,ORGANIZATION,neptune_orient_lines_00106
CMA CGM,Cosco Shipping Holdings,ORGANIZATION,neptune_orient_lines_00115
CMA CGM,Cosco Shipping Ports,ORGANIZATION,neptune_orient_lines_00115
CMA CGM,France,ORGANIZATION,neptune_orient_lines_00015
CMA CGM,Hamburg Sud,ORGANIZATION,neptune_orient_lines_00017
CMA CGM,Hamburg Süd,ORGANIZATION,neptune_orient_lines_00076
CMA CGM,Hamburg-Sud,ORGANIZATION,neptune_orient_lines_00132
CMA CGM,Hapag-Lloyd,ORGANIZATION,neptune_orient_lines_00017|neptune_orient_lines_00071|neptune_orient_lines_00132
CMA CGM,Hapag-Lloyd AG,PERSON,neptune_orient_lines_00076
CMA CGM,Kawasaki Kisen Kaisha,ORGANIZATION,neptune_orient_lines_00000
CMA CGM,MARC,PERSON,neptune_orient_lines_00105
CMA CGM,Maersk,ORGANIZATION,neptune_orient_lines_00017
CMA CGM,Maersk Line,ORGANIZATION,neptune_orient_lines_00008|neptune_orient_lines_00076
CMA CGM,Neptune Orient Lines,ORGANIZATION,neptune_orient_lines_00000|neptune_orient_lines_00005|neptune_orient_lines_00008|neptune_orient_lines_00014|neptune_orient_lines_00015|neptune_orient_lines_00017|neptune_orient_lines_00027|neptune_orient_lines_00034|neptune_orient_lines_00071|neptune_orient_lines_00072|neptune_orient_lines_00076|neptune_orient_lines_00101|neptune_orient_lines_00105|neptune_orient_lines_00106|neptune_orient_lines_00115|neptune_orient_lines_00128|neptune_orient_lines_00129|neptune_orient_lines_00132|neptune_orient_lines_00157
CMA CGM,OOCL,ORGANIZATION,neptune_orient_lines_00008|neptune_orient_lines_00015
CMA CGM,OOIL,ORGANIZATION,neptune_orient_lines_00017
CMA CGM,Ocean Alliance,ORGANIZATION,neptune_orient_lines_00106
CMA CGM,Orient Overseas,ORGANIZATION,neptune_orient_lines_00000|neptune_orient_lines_00076
CMA CGM,PIL,ORGANIZATION,neptune_orient_lines_00072
CMA CGM,Shipowners,ORGANIZATION,neptune_orient_lines_00071
CMA CGM,UASC,ORGANIZATION,neptune_orient_lines_00017
CMA CGM,United Arab Shipping Co.,ORGANIZATION,neptune_orient_lines_00076
CMA CGM,United Arab Shipping Company,ORGANIZATION,neptune_orient_lines_00071|neptune_orient_lines_00132
CMA CGM Group,Neptune Orient Lines,ORGANIZATION,neptune_orient_lines_00143
CMA CGM Group,Rodolphe Saadé,PERSON,neptune_orient_lines_00143
CMA CGM SA,China,ORGANIZATION,neptune_orient_lines_00050|neptune_orient_lines_00073
CMA CGM SA,Hamburg Sd,ORGANIZATION,neptune_orient_lines_00013
CMA CGM SA,Hamburg Süd,ORGANIZATION,neptune_orient_lines_00126
CMA CGM SA,Lehman,ORGANIZATION,neptune_orient_lines_00013|neptune_orient_lines_00126
CMA CGM SA,Maersk,ORGANIZATION,neptune_orient_lines_00013|neptune_orient_lines_00126
CMA CGM SA,Neptune Orient Lines,ORGANIZATION,neptune_orient_lines_00111
CMA CGM SA,Neptune Orient Lines Ltd,ORGANIZATION,neptune_orient_lines_00013|neptune_orient_lines_00050
CMA CGM SA,Neptune Orient Lines Ltd.,ORGANIZATION,neptune_orient_lines_00073|neptune_orient_lines_00126
CMA-CGM,COSCO,ORGANIZATION,neptune_orient_lines_00089|neptune_orient_lines_00148|neptune_orient_lines_00151|neptune_orient_lines_00155|neptune_orient_lines_00159
CMA-CGM,DAC,ORGANIZATION,neptune_orient_lines_00148|neptune_orient_lines_00151|neptune_orient_lines_00155|neptune_orient_lines_00159
CMA-CGM,Hapag-Lloyd,ORGANIZATION,neptune_orient_lines_00089|neptune_orient_lines_00148|neptune_orient_lines_00151|neptune_orient_lines_00155|neptune_orient_lines_00159
CMA-CGM,Hyundai,ORGANIZATION,neptune_orient_lines_00089|neptune_orient_lines_00148|neptune_orient_lines_00151|neptune_orient_lines_00155|neptune_orient_lines_00159
CMA-CGM,Maersk,ORGANIZATION,neptune_orient_lines_00089|neptune_orient_lines_00148|neptune_orient_lines_00151|neptune_orient_lines_00155|neptune_orient_lines_00159
CMA-CGM,NYSE,ORGANIZATION,neptune_orient_lines_00148
CMA-CGM,Neptune Orient Lines,ORGANIZATION,neptune_orient_lines_00089|neptune_orient_lines_00148|neptune_orient_lines_00151|neptune_orient_lines_00155|neptune_orient_lines_00159
CMA-CGM,Norasia Container Lines Ltd,ORGANIZATION,neptune_orient_lines_00089|neptune_orient_lines_00148|neptune_orient_lines_00151|neptune_orient_lines_00155|neptune_orient_lines_00159
CMA-CGM,Yang Ming,ORGANIZATION,neptune_orient_lines_00089|neptune_orient_lines_00148|neptune_orient_lines_00151|neptune_orient_lines_00155|neptune_orient_lines_00159
COSCO,DAC,ORGANIZATION,neptune_orient_lines_00148|neptune_orient_lines_00151|neptune_orient_lines_00155|neptune_orient_lines_00159
