source,target,link_type,weight
OCBC,UOB,ORGANIZATION,15
DBS,OCBC,ORGANIZATION,13
Great Eastern,OCBC,ORGANIZATION,12
OCBC,UE,ORGANIZATION,9
DBS,UOB,ORGANIZATION,9
OCBC,WBL,ORGANIZATION,7
UE,WBL,ORGANIZATION,6
Nets,OCBC,ORGANIZATION,5
Great Eastern,UE,ORGANIZATION,4
Lee,OCBC,PERSON,4
Great Eastern,Lee,PERSON,4
NAB,OCBC,ORGANIZATION,3
UE,YPI,ORGANIZATION,3
OCBC,TT International,ORGANIZATION,3
Great Eastern,WBL,ORGANIZATION,3
WBL,YPI,ORGANIZATION,3
OCBC,YPI,ORGANIZATION,3
Bank of Ningbo,OCBC,ORGANIZATION,3
OCBC,UEL,ORGANIZATION,3
MAS,OCBC,ORGANIZATION,3
OCBC,PayNow,ORGANIZATION,2
OCBC,WBL Corp,ORGANIZATION,2
MAS,Prem Hirubalan,PERSON,2
OCBC,WBL Corporation,ORGANIZATION,2
OCBC,Prem Hirubalan,PERSON,2
Bank of Singapore,Indians,PERSON,2
Credit Suisse,OCBC,ORGANIZATION,2
OCBC,Yanlord,ORGANIZATION,2
Indians,OCBC,PERSON,2
OCBC,Singapore Exchange,ORGANIZATION,2
OCBC,Siri,ORGANIZATION,2
Bloomberg,OCBC,ORGANIZATION,2
GEH,OCBC,ORGANIZATION,2
Chng Kunda,OCBC,PERSON,2
Brand Finance,UOB,ORGANIZATION,2
Brand Finance,OCBC,ORGANIZATION,2
WBL,Yanlord,ORGANIZATION,2
Aaron Loh Cheng Lee,OCBC,PERSON,2
Aaron Loh Cheng Lee,TT International,PERSON,2
OCBC,Victor Lo,PERSON,2
Great Eastern,WBL Corporation,ORGANIZATION,2
Big Box Pte Ltd,OCBC,ORGANIZATION,2
UE,Yanlord,ORGANIZATION,2
Apple,OCBC,ORGANIZATION,2
Apple,Siri,ORGANIZATION,2
UE,WBL Corp,ORGANIZATION,2
Bank of Singapore,OCBC,ORGANIZATION,2
Great Eastern,WBL Corp,ORGANIZATION,2
MAS,UOB,ORGANIZATION,1
Great Eastern,UEL,ORGANIZATION,1
Great Eastern,YPI,ORGANIZATION,1
Lee,UEL,PERSON,1
Singapore Exchange,UEL,ORGANIZATION,1
UE,UEL,ORGANIZATION,1
UEL,WBL,ORGANIZATION,1
UEL,YPI,ORGANIZATION,1
WBL,WBL Corporation,ORGANIZATION,1
YPI,Yanlord,ORGANIZATION,1
Nets,UOB,ORGANIZATION,1
Bank of Singapore,Bloomberg,ORGANIZATION,1
Aaron Loh Cheng Lee,Big Box Pte Ltd,PERSON,1
DBS,Nets,ORGANIZATION,1
DBS,PayNow,ORGANIZATION,1
GEH,Great Eastern,ORGANIZATION,1
Big Box Pte Ltd,TT International,ORGANIZATION,1
Bloomberg,Indians,PERSON,1
Brand Finance,DBS,ORGANIZATION,1
Credit Suisse,Great Eastern,ORGANIZATION,1
Credit Suisse,WBL Corporation,ORGANIZATION,1
