name,type,importance,sentiment_emb
OCBC,ORGANIZATION,1.0,55.00000000000001
DBS,ORGANIZATION,0.19001816082252648,100.0
UE,ORGANIZATION,0.17556779242315607,20.0
Nets,ORGANIZATION,0.10512248804971201,100.0
WBL,ORGANIZATION,0.09823799513200394,0.0
UOB,ORGANIZATION,0.06379264904331354,55.55555555555556
Great Eastern,ORGANIZATION,0.05505124378037742,100.0
TT International,ORGANIZATION,0.05452155796453944,100.0
GEH,ORGANIZATION,0.04914229632189433,100.0
Bank of Ningbo,ORGANIZATION,0.043963237266800244,100.0
Singapore Exchange,ORGANIZATION,0.03745629537753292,100.0
PayNow,ORGANIZATION,0.031371708329853934,100.0
Prem Hirubalan,PERSON,0.022143772773669086,0.0
NAB,ORGANIZATION,0.016483099767568097,100.0
Big Box Pte Ltd,ORGANIZATION,0.012252732817154933,100.0
YPI,ORGANIZATION,0.011985066198361413,0.0
Victor Lo,PERSON,0.011318588985042906,-100.0
Brand Finance,ORGANIZATION,0.010604980739088027,100.0
Aaron Loh Cheng Lee,PERSON,0.010178808066255311,100.0
Yanlord,ORGANIZATION,0.00992252254392365,-100.0
WBL Corp,ORGANIZATION,0.008839925448366906,100.0
UEL,ORGANIZATION,0.008307860824871541,0.0
Lee,PERSON,0.007683283839082398,0.0
Apple,ORGANIZATION,0.005443011018980419,100.0
MAS,ORGANIZATION,0.005338872861538051,100.0
Bloomberg,ORGANIZATION,0.002682621783803402,0.0
WBL Corporation,ORGANIZATION,0.0024724510736531453,100.0
Indians,PERSON,0.0022098910188866586,100.0
Credit Suisse,ORGANIZATION,0.001832551174717867,100.0
Siri,ORGANIZATION,0.0017093535153031192,100.0
Chng Kunda,PERSON,0.0016282386104364637,-100.0
Bank of Singapore,ORGANIZATION,0.0009845466999051091,100.0
