source,target,link_type,article_id
Andrew Marr,Andrew Marr International,PERSON,pacific_andes_00125
Andrew Marr,Pacific Andes,PERSON,pacific_andes_00125|pacific_andes_00941
Andrew Marr,Undercurrent News,PERSON,pacific_andes_00941
Andrew Marr International,Pacific Andes,ORGANIZATION,pacific_andes_00125
Appeals court,China Fishery,ORGANIZATION,pacific_andes_01436
Appeals court,HSBC,ORGANIZATION,pacific_andes_01436
Appeals court,William Brandt,PERSON,pacific_andes_01436
Asda,Editor,PERSON,pacific_andes_01350
Asda,Jack Ventola,PERSON,pacific_andes_01350
Asda,National Fish and Seafood,ORGANIZATION,pacific_andes_01350
Asda,Pacific Andes,ORGANIZATION,pacific_andes_01350
Asda,Sainsbury,ORGANIZATION,pacific_andes_01350
Asda,Young,PERSON,pacific_andes_01350
Atlantic Sapphire,Johan Andreassen,PERSON,pacific_andes_00499
Atlantic Sapphire,Salmon,PERSON,pacific_andes_00458
Attorney-General,High Court,PERSON,pacific_andes_00061
Attorney-General,PMO,PERSON,pacific_andes_00061
Attorney-General,Pacific Andes,PERSON,pacific_andes_00061
Attorney-General,Ramesh,PERSON,pacific_andes_00061
BBC,Marine Harvest,ORGANIZATION,pacific_andes_00748
BBC,Staff,PERSON,pacific_andes_00748
BLOOMBERG,Keith Kueh,PERSON,pacific_andes_00439
BLOOMBERG,Pacific Andes,ORGANIZATION,pacific_andes_00439
Birds,Birds Eye,PERSON,pacific_andes_00621
Birds,Findus,PERSON,pacific_andes_00621
Birds,Iglo,PERSON,pacific_andes_00621
Birds,Nomad Foods,PERSON,pacific_andes_00621
Birds Eye,Bob Hannon,PERSON,pacific_andes_00111
Birds Eye,Findus,ORGANIZATION,pacific_andes_00111|pacific_andes_00621
Birds Eye,Hajipieris,ORGANIZATION,pacific_andes_00011
Birds Eye,Iglo,ORGANIZATION,pacific_andes_00011|pacific_andes_00111|pacific_andes_00147|pacific_andes_00621
Birds Eye,Nomad Foods,ORGANIZATION,pacific_andes_00621
Birds Eye,Nomad Foods Europe,ORGANIZATION,pacific_andes_00011
Blue Harvest Fisheries,High Liner Foods,ORGANIZATION,pacific_andes_01052
Blue Harvest Fisheries,Jeff Davis,PERSON,pacific_andes_01050|pacific_andes_01052
Blue Harvest Fisheries,Keith Decker,PERSON,pacific_andes_01052
Blue Harvest Fisheries,Undercurrent News,ORGANIZATION,pacific_andes_01050
Bob Hannon,Findus,PERSON,pacific_andes_00111
Bob Hannon,Iglo,PERSON,pacific_andes_00111
CFG,Copeinca,ORGANIZATION,pacific_andes_00938
CFG,Dyer Coriats,ORGANIZATION,pacific_andes_00938
CFG,Ng,PERSON,pacific_andes_00938
CFG,Pacific Andes,ORGANIZATION,pacific_andes_00938
CITIC,CLSA,ORGANIZATION,pacific_andes_00641
CITIC,China Fishery Peru,ORGANIZATION,pacific_andes_00641
CITIC,Copeinca,ORGANIZATION,pacific_andes_00641
CITIC,Dyer Coriats,ORGANIZATION,pacific_andes_00641
CITIC,Ng,PERSON,pacific_andes_00641
CITIC,Pacific Andes,ORGANIZATION,pacific_andes_00641
CITIC,Samherji,ORGANIZATION,pacific_andes_00641
CLSA,China Fishery Peru,ORGANIZATION,pacific_andes_00641
CLSA,Copeinca,ORGANIZATION,pacific_andes_00641
CLSA,Dyer Coriats,ORGANIZATION,pacific_andes_00641
CLSA,Ng,PERSON,pacific_andes_00641
CLSA,Pacific Andes,ORGANIZATION,pacific_andes_00641
CLSA,Samherji,ORGANIZATION,pacific_andes_00641
Canadian Department of Fisheries and Oceans,DFO,ORGANIZATION,pacific_andes_01373|pacific_andes_01430
Canadian Department of Fisheries and Oceans,TAC,ORGANIZATION,pacific_andes_01430
Chapter,Golden Target Pacific,ORGANIZATION,pacific_andes_00124
Chapter,Pacific Andes,ORGANIZATION,pacific_andes_00124
Chapter,Pard,ORGANIZATION,pacific_andes_00124
China,China Fishery Group,ORGANIZATION,pacific_andes_00747
China,Exporters,PERSON,pacific_andes_00747
China,PAIH,ORGANIZATION,pacific_andes_00747
China,Pacific Andes,ORGANIZATION,pacific_andes_00747
China Fishery,China Fishery Group,ORGANIZATION,pacific_andes_00443
China Fishery,Guolian,PERSON,pacific_andes_00638
China Fishery,HSBC,ORGANIZATION,pacific_andes_00643|pacific_andes_00644|pacific_andes_01040|pacific_andes_01136|pacific_andes_01436
China Fishery,Judge,PERSON,pacific_andes_00643|pacific_andes_00644
China Fishery,Noteholders,PERSON,pacific_andes_01236
China Fishery,Pac Andes,ORGANIZATION,pacific_andes_00638
China Fishery,Pacific Andes,ORGANIZATION,pacific_andes_00443|pacific_andes_00444|pacific_andes_00537|pacific_andes_00643|pacific_andes_00644|pacific_andes_00840|pacific_andes_01236|pacific_andes_01340
China Fishery,Trustee,PERSON,pacific_andes_00443|pacific_andes_00643
China Fishery,William Brandt,PERSON,pacific_andes_00443|pacific_andes_01040|pacific_andes_01136|pacific_andes_01436
China Fishery Group,Copeinca,ORGANIZATION,pacific_andes_00740
China Fishery Group,Corporacion Pesquera Inca,ORGANIZATION,pacific_andes_00538
China Fishery Group,Exporters,PERSON,pacific_andes_00747
China Fishery Group,Guolian,PERSON,pacific_andes_00645
China Fishery Group,HSBC,ORGANIZATION,pacific_andes_00057
China Fishery Group,James Garrity,PERSON,pacific_andes_00642
China Fishery Group,PAIH,ORGANIZATION,pacific_andes_00747
China Fishery Group,Pacific Andes,ORGANIZATION,pacific_andes_00443|pacific_andes_00645|pacific_andes_00747
China Fishery Group,Trustee,PERSON,pacific_andes_00443|pacific_andes_00538
China Fishery Group,William Brandt,PERSON,pacific_andes_00443
China Fishery Group,William J,PERSON,pacific_andes_00940
China Fishery Peru,Copeinca,ORGANIZATION,pacific_andes_00641
China Fishery Peru,Dyer Coriats,ORGANIZATION,pacific_andes_00641
China Fishery Peru,Ng,PERSON,pacific_andes_00641
China Fishery Peru,Pacific Andes,ORGANIZATION,pacific_andes_00641
China Fishery Peru,Samherji,ORGANIZATION,pacific_andes_00641
Clifford Chance,DLA Piper,ORGANIZATION,pacific_andes_00001
Clifford Chance,Drew & Napier Harney Westwood & Riegels Jingtian,PERSON,pacific_andes_00001
Clifford Chance,Finalists,PERSON,pacific_andes_00001
Clifford Chance,Gongcheng Linklaters,PERSON,pacific_andes_00001
Clifford Chance,Mayer Brown JSM,ORGANIZATION,pacific_andes_00001
Copeinca,Dyer Coriats,ORGANIZATION,pacific_andes_00641|pacific_andes_00938
Copeinca,Ng,PERSON,pacific_andes_00641|pacific_andes_00938
Copeinca,Pacific Andes,ORGANIZATION,pacific_andes_00641|pacific_andes_00938
Copeinca,Samherji,ORGANIZATION,pacific_andes_00641
Corporacion Pesquera Inca,Trustee,PERSON,pacific_andes_00538
DFO,TAC,ORGANIZATION,pacific_andes_01430
DLA Piper,Drew & Napier Harney Westwood & Riegels Jingtian,PERSON,pacific_andes_00001
DLA Piper,Finalists,PERSON,pacific_andes_00001
DLA Piper,Gongcheng Linklaters,PERSON,pacific_andes_00001
DLA Piper,Mayer Brown JSM,ORGANIZATION,pacific_andes_00001
Department of Fisheries and Oceans,TAC,ORGANIZATION,pacific_andes_01432
Directors,Pacific Andes,PERSON,pacific_andes_00214
Directors,Reuters,PERSON,pacific_andes_00214
Directors,Zhonggang Fisheries Limited,PERSON,pacific_andes_00214
Drew & Napier Harney Westwood & Riegels Jingtian,Finalists,PERSON,pacific_andes_00001
Drew & Napier Harney Westwood & Riegels Jingtian,Gongcheng Linklaters,PERSON,pacific_andes_00001
Drew & Napier Harney Westwood & Riegels Jingtian,Mayer Brown JSM,PERSON,pacific_andes_00001
Dyer Coriats,Ng,PERSON,pacific_andes_00641|pacific_andes_00938
Dyer Coriats,Pacific Andes,ORGANIZATION,pacific_andes_00641|pacific_andes_00938
Dyer Coriats,Samherji,ORGANIZATION,pacific_andes_00641
Editor,Jack Ventola,PERSON,pacific_andes_01350
Editor,National Fish and Seafood,PERSON,pacific_andes_01350
Editor,Pacific Andes,PERSON,pacific_andes_01350
Editor,Sainsbury,PERSON,pacific_andes_01350
Editor,Young,PERSON,pacific_andes_01350
Europaco,Pacific Andes,PERSON,pacific_andes_00058
Europaco,Reuters,PERSON,pacific_andes_00058
Exporters,PAIH,PERSON,pacific_andes_00747
Exporters,Pacific Andes,PERSON,pacific_andes_00747
Faro,Pacific Andes,PERSON,pacific_andes_01241
Faro,Sea Star,PERSON,pacific_andes_01241
Finalists,Gongcheng Linklaters,PERSON,pacific_andes_00001
Finalists,Mayer Brown JSM,PERSON,pacific_andes_00001
Findus,Iglo,ORGANIZATION,pacific_andes_00111|pacific_andes_00621
Findus,Nomad Foods,ORGANIZATION,pacific_andes_00621
Garrity,HSBC,PERSON,pacific_andes_00441
Garrity,Pacific Andes,PERSON,pacific_andes_00441
Golden Target Pacific,Pacific Andes,ORGANIZATION,pacific_andes_00124
Golden Target Pacific,Pard,ORGANIZATION,pacific_andes_00124
Gongcheng Linklaters,Mayer Brown JSM,PERSON,pacific_andes_00001
Gortons Inc.,Independent Fisheries Ltd.,ORGANIZATION,pacific_andes_00447
Gortons Inc.,Pesca Chiles,PERSON,pacific_andes_00447
Gortons Inc.,San,PERSON,pacific_andes_00447
Guolian,Pac Andes,PERSON,pacific_andes_00638
Guolian,Pacific Andes,PERSON,pacific_andes_00645
HSBC,Judge,PERSON,pacific_andes_00643|pacific_andes_00644
HSBC,Pacific Andes,ORGANIZATION,pacific_andes_00441|pacific_andes_00643|pacific_andes_00644
HSBC,Trustee,PERSON,pacific_andes_00643
HSBC,William Brandt,PERSON,pacific_andes_01040|pacific_andes_01136|pacific_andes_01436
Hajipieris,Iglo,ORGANIZATION,pacific_andes_00011
Hajipieris,Nomad Foods Europe,ORGANIZATION,pacific_andes_00011
Hayduk,Pacific Andes,PERSON,pacific_andes_00640
Henry Demone,Keith Decker,PERSON,pacific_andes_00563
Henry Demone,Lamb-Weston,PERSON,pacific_andes_01374
Henry Demone,Rod Hepponstall,PERSON,pacific_andes_01374
High Court,PMO,ORGANIZATION,pacific_andes_00061
High Court,Pacific Andes,ORGANIZATION,pacific_andes_00061
High Court,Ramesh,PERSON,pacific_andes_00061
High Liner Foods,Jeff Davis,PERSON,pacific_andes_01052
High Liner Foods,Keith Decker,PERSON,pacific_andes_01052
Hri Kumar,Pacific Andes,PERSON,pacific_andes_00063
Hri Kumar,Supreme Court,PERSON,pacific_andes_00063
IPNLF,Tri Marine,ORGANIZATION,pacific_andes_01353
Iceland Sustainable Fishery,MSC,ORGANIZATION,pacific_andes_01086
Iglo,Nomad Foods,ORGANIZATION,pacific_andes_00621
Iglo,Nomad Foods Europe,ORGANIZATION,pacific_andes_00011
Independent Fisheries Ltd.,Pesca Chiles,PERSON,pacific_andes_00447
Independent Fisheries Ltd.,San,PERSON,pacific_andes_00447
Inter-American Tropical Tuna Commission,Pew,ORGANIZATION,pacific_andes_00362
Inter-American Tropical Tuna Commission,Pew Charitable Trusts,ORGANIZATION,pacific_andes_00362
International Council for the Exploration of the Sea,Scientists,PERSON,pacific_andes_00364
Jack Ventola,John Sackton,PERSON,pacific_andes_01344
Jack Ventola,National Fish and Seafood,PERSON,pacific_andes_01344|pacific_andes_01350
Jack Ventola,Pacific Andes,PERSON,pacific_andes_01344|pacific_andes_01350
Jack Ventola,President,PERSON,pacific_andes_01344
Jack Ventola,Sainsbury,PERSON,pacific_andes_01350
Jack Ventola,Young,PERSON,pacific_andes_01350
Japan,Pew Charitable Trusts,ORGANIZATION,pacific_andes_01444
Jeff Davis,Keith Decker,PERSON,pacific_andes_01052
Jeff Davis,Undercurrent News,PERSON,pacific_andes_01050
Jessie Ng,National Fish's Ventola,PERSON,pacific_andes_01338
Jessie Ng,Pacific Andes,PERSON,pacific_andes_01336|pacific_andes_01338
Jessie Ng,Prosecutors,PERSON,pacific_andes_01338
Jessie Ng,Ventola,PERSON,pacific_andes_01336
Johan Andreassen,Sapphire,PERSON,pacific_andes_00374
John Sackton,National Fish and Seafood,PERSON,pacific_andes_01344
John Sackton,Pacific Andes,PERSON,pacific_andes_01344
John Sackton,President,PERSON,pacific_andes_01344
Judge,Pacific Andes,PERSON,pacific_andes_00643|pacific_andes_00644
Judge,Trustee,PERSON,pacific_andes_00643
Keith Kueh,Pacific Andes,PERSON,pacific_andes_00439
Lamb-Weston,Rod Hepponstall,PERSON,pacific_andes_01374
MRAG Americas,MSC,ORGANIZATION,pacific_andes_00233
MSC,Nauru Agreement,ORGANIZATION,pacific_andes_01263
MSC,PNA,ORGANIZATION,pacific_andes_01263
MSC,PSW,ORGANIZATION,pacific_andes_00285
MSC,WWF,ORGANIZATION,pacific_andes_00648
Marine Harvest,Staff,PERSON,pacific_andes_00748
Marine Stewardship Council,Nauru Agreement,ORGANIZATION,pacific_andes_00750
Marine Stewardship Council,PNA,ORGANIZATION,pacific_andes_00750
Matlaw,Sea Star,PERSON,pacific_andes_01244
NFD,National Fisheries Developments,ORGANIZATION,pacific_andes_00453
NFD,Tri Marine International,ORGANIZATION,pacific_andes_00453
National Fish,Pacific Andes,ORGANIZATION,pacific_andes_01339
National Fish,Ventola,PERSON,pacific_andes_01339
National Fish and Seafood,Pacific Andes,ORGANIZATION,pacific_andes_01344|pacific_andes_01350
National Fish and Seafood,President,PERSON,pacific_andes_01344
National Fish and Seafood,Sainsbury,ORGANIZATION,pacific_andes_01350
National Fish and Seafood,Young,PERSON,pacific_andes_01350
National Fish's Ventola,Pacific Andes,PERSON,pacific_andes_01338
National Fish's Ventola,Prosecutors,PERSON,pacific_andes_01338
National Fisheries Developments,Tri Marine,ORGANIZATION,pacific_andes_01462
National Fisheries Developments,Tri Marine International,ORGANIZATION,pacific_andes_00453
Nauru Agreement,PNA,ORGANIZATION,pacific_andes_00750|pacific_andes_01263
Ng,Ngs,PERSON,pacific_andes_00936|pacific_andes_01037
Ng,Pacific Andes,PERSON,pacific_andes_00641|pacific_andes_00936|pacific_andes_00938|pacific_andes_01037
Ng,Samherji,PERSON,pacific_andes_00641
Ngs,Pacific Andes,ORGANIZATION,pacific_andes_00936|pacific_andes_01037
Noteholders,Pacific Andes,PERSON,pacific_andes_01236
Ocean Naturals,Solomon,PERSON,pacific_andes_00952
Ocean Naturals,Tri Marine International,ORGANIZATION,pacific_andes_00952
PAIH,Pacific Andes,ORGANIZATION,pacific_andes_00738|pacific_andes_00747
PARD,Pacific Andes,ORGANIZATION,pacific_andes_00737
PMO,Pacific Andes,ORGANIZATION,pacific_andes_00061
PMO,Ramesh,PERSON,pacific_andes_00061
Pacific Andes,Pandolfo,PERSON,pacific_andes_00445
Pacific Andes,Pard,ORGANIZATION,pacific_andes_00124
Pacific Andes,President,PERSON,pacific_andes_01344
Pacific Andes,Prosecutors,PERSON,pacific_andes_01338
Pacific Andes,Rabobank,ORGANIZATION,pacific_andes_00739|pacific_andes_00745
Pacific Andes,Ramesh,PERSON,pacific_andes_00061
Pacific Andes,Reuters,ORGANIZATION,pacific_andes_00058|pacific_andes_00214|pacific_andes_00278
Pacific Andes,Sainsbury,ORGANIZATION,pacific_andes_01350
Pacific Andes,Samherji,ORGANIZATION,pacific_andes_00641
Pacific Andes,Sea Star,PERSON,pacific_andes_01241
Pacific Andes,Seller,PERSON,pacific_andes_01237
Pacific Andes,Supreme Court,ORGANIZATION,pacific_andes_00063
Pacific Andes,Trustee,PERSON,pacific_andes_00443|pacific_andes_00643
Pacific Andes,Undercurrent News,ORGANIZATION,pacific_andes_00941
Pacific Andes,Ventola,PERSON,pacific_andes_01336|pacific_andes_01339
Pacific Andes,William Brandt,PERSON,pacific_andes_00443
Pacific Andes,Young,PERSON,pacific_andes_01350
Pacific Andes,Zhonggang Fisheries Limited,ORGANIZATION,pacific_andes_00214
Pesca Chiles,San,PERSON,pacific_andes_00447
Pew,Pew Charitable Trusts,ORGANIZATION,pacific_andes_00362
Red Lobster,Red Lobster Seafood Company,ORGANIZATION,pacific_andes_00027
Reuters,Zhonggang Fisheries Limited,ORGANIZATION,pacific_andes_00214
Sainsbury,Young,PERSON,pacific_andes_01350
Seafood.com News,Susan Chambers,PERSON,pacific_andes_00957
Solomon,Tri Marine International,PERSON,pacific_andes_00952
Trident,Trident Seafoods,ORGANIZATION,pacific_andes_00540|pacific_andes_00819
Trident,Undercurrent News,ORGANIZATION,pacific_andes_00540
Trident,Walmart,ORGANIZATION,pacific_andes_00540|pacific_andes_00819
Trident Seafoods,Undercurrent News,ORGANIZATION,pacific_andes_00540
Trident Seafoods,Walmart,ORGANIZATION,pacific_andes_00540|pacific_andes_00819
Trustee,William Brandt,PERSON,pacific_andes_00443
Undercurrent News,Walmart,ORGANIZATION,pacific_andes_00540
Undercurrent News,Young,PERSON,pacific_andes_01408
Undercurrent News,Young's Seafood,ORGANIZATION,pacific_andes_01408
Young,Young's Seafood,PERSON,pacific_andes_01408
