source,target,link_type,article_id
Cdac,Chinese Development Assistance Council,ORGANIZATION,chye_lee_%26_sons_private_limited_00000
Cdac,Chiorino Far East Pte Ltd,ORGANIZATION,chye_lee_%26_sons_private_limited_00000
Cdac,Citibank Singapore Ltd,ORGANIZATION,chye_lee_%26_sons_private_limited_00000
Cdac,Civil Aviation Authority,ORGANIZATION,chye_lee_%26_sons_private_limited_00000
Cdac,Microsoft,ORGANIZATION,chye_lee_%26_sons_private_limited_00000
Chinese Development Assistance Council,Chiorino Far East Pte Ltd,ORGANIZATION,chye_lee_%26_sons_private_limited_00000
Chinese Development Assistance Council,Citibank Singapore Ltd,ORGANIZATION,chye_lee_%26_sons_private_limited_00000
Chinese Development Assistance Council,Civil Aviation Authority,ORGANIZATION,chye_lee_%26_sons_private_limited_00000
Chinese Development Assistance Council,Microsoft,ORGANIZATION,chye_lee_%26_sons_private_limited_00000
Chiorino Far East Pte Ltd,Citibank Singapore Ltd,ORGANIZATION,chye_lee_%26_sons_private_limited_00000
Chiorino Far East Pte Ltd,Civil Aviation Authority,ORGANIZATION,chye_lee_%26_sons_private_limited_00000
Chiorino Far East Pte Ltd,Microsoft,ORGANIZATION,chye_lee_%26_sons_private_limited_00000
Citibank Singapore Ltd,Civil Aviation Authority,ORGANIZATION,chye_lee_%26_sons_private_limited_00000
Citibank Singapore Ltd,Microsoft,ORGANIZATION,chye_lee_%26_sons_private_limited_00000
Civil Aviation Authority,Microsoft,ORGANIZATION,chye_lee_%26_sons_private_limited_00000
Fairview Developments Pte Ltd,GuocoLand,ORGANIZATION,fairview_developments_pte_ltd_00000|fairview_developments_pte_ltd_00002
Fairview Developments Pte Ltd,Retail,ORGANIZATION,fairview_developments_pte_ltd_00000
Fairview Developments Pte Ltd,Tong Eng Group,ORGANIZATION,fairview_developments_pte_ltd_00000|fairview_developments_pte_ltd_00002
Fairview Developments Pte Ltd,WINNER,ORGANIZATION,fairview_developments_pte_ltd_00000|fairview_developments_pte_ltd_00002
Freehold Land Lot,JVA PANDAN PTE LTD,ORGANIZATION,jva_pandan_pte_ltd_00000
GuocoLand,Retail,ORGANIZATION,fairview_developments_pte_ltd_00000
GuocoLand,Tong Eng Group,ORGANIZATION,fairview_developments_pte_ltd_00000|fairview_developments_pte_ltd_00002
GuocoLand,WINNER,ORGANIZATION,fairview_developments_pte_ltd_00000|fairview_developments_pte_ltd_00002
Retail,Tong Eng Group,ORGANIZATION,fairview_developments_pte_ltd_00000
Retail,WINNER,ORGANIZATION,fairview_developments_pte_ltd_00000
Tong Eng Group,WINNER,ORGANIZATION,fairview_developments_pte_ltd_00000|fairview_developments_pte_ltd_00002
