name,article_id
Cdac,chye_lee_%26_sons_private_limited_00000
Chinese Development Assistance Council,chye_lee_%26_sons_private_limited_00000
Chiorino Far East Pte Ltd,chye_lee_%26_sons_private_limited_00000
Citibank Singapore Ltd,chye_lee_%26_sons_private_limited_00000
Civil Aviation Authority,chye_lee_%26_sons_private_limited_00000
Evia,gem_homes_pte_ltd_00000
Fairview Developments Pte Ltd,fairview_developments_pte_ltd_00000|fairview_developments_pte_ltd_00002
Freehold Land Lot,jva_pandan_pte_ltd_00000
GuocoLand,fairview_developments_pte_ltd_00000|fairview_developments_pte_ltd_00001|fairview_developments_pte_ltd_00002
JVA PANDAN PTE LTD,jva_pandan_pte_ltd_00000
Microsoft,chye_lee_%26_sons_private_limited_00000
Retail,fairview_developments_pte_ltd_00000
Tong Eng Group,fairview_developments_pte_ltd_00000|fairview_developments_pte_ltd_00002
WINNER,fairview_developments_pte_ltd_00000|fairview_developments_pte_ltd_00002
Wah Khiaw Properties Pte Ltd,wah_khiaw_properties_pte_ltd_00000
Whye Wah Development & Construction Pte Ltd,whye_wah_development_%26_construction_pte_ltd_00000
