name,type,importance,sentiment_emb
HDB,ORGANIZATION,1.0,-13.636363636363635
Frasers Centrepoint,ORGANIZATION,0.2881339147410254,55.55555555555556
City Developments Limited,ORGANIZATION,0.28352426264585623,40.0
URA,ORGANIZATION,0.09548291877127936,0.0
BTO,ORGANIZATION,0.07986977235944377,-100.0
Sherman Kwek,PERSON,0.0755452125686472,0.0
Kwek Leng Beng,PERSON,0.07494828725748098,0.0
Singapore Sustainability Academy,ORGANIZATION,0.045981021268307797,0.0
Town councils,ORGANIZATION,0.04097227960085209,100.0
Millennium & Copthorne,ORGANIZATION,0.0337148247589327,-100.0
OCBC,ORGANIZATION,0.033455768213709366,100.0
Hougang,ORGANIZATION,0.025935862708603666,0.0
FIRST Sponsor Group Limited,ORGANIZATION,0.024181490326773254,0.0
BCA,ORGANIZATION,0.021979678950031733,100.0
Analysts,PERSON,0.02185179975223144,-100.0
Ministry of National Development,ORGANIZATION,0.02147928013264084,100.0
FCOT,ORGANIZATION,0.020888838104310158,0.0
S&CC,ORGANIZATION,0.017022439613050156,100.0
SLA,ORGANIZATION,0.01641924436204514,100.0
Housing Board,ORGANIZATION,0.014016705386366443,-42.857142857142854
Ng,PERSON,0.012787066706042174,0.0
DBS,ORGANIZATION,0.012595697541316899,-33.33333333333333
Housing and Development Board,ORGANIZATION,0.012321471827260394,0.0
JLL,ORGANIZATION,0.01227097919448196,100.0
Bellevue Properties,ORGANIZATION,0.010941014299909162,0.0
SBF,ORGANIZATION,0.010475563752345745,-100.0
Urban Redevelopment Authority,ORGANIZATION,0.00971968680813101,0.0
Bloomberg,ORGANIZATION,0.00851302085500706,-100.0
Total Oil,ORGANIZATION,0.007980013661924773,0.0
Christopher Tang,PERSON,0.007590144148488135,100.0
SERS,ORGANIZATION,0.007524450299485394,0.0
ST,ORGANIZATION,0.006846053144551589,0.0
Teambuild,ORGANIZATION,0.005459294064553399,100.0
ROF,ORGANIZATION,0.004956437158870578,0.0
Greater China Commercial Trust,ORGANIZATION,0.00460236554983461,100.0
PUB,ORGANIZATION,0.003733649058505921,0.0
Dragages Singapore,ORGANIZATION,0.003588108408107771,100.0
Frasers Logistics & Industrial Trust,ORGANIZATION,0.0034361720868043033,50.0
Hong Leong Group,ORGANIZATION,0.00339292603842003,100.0
Frasers Commercial Trust,ORGANIZATION,0.0033842742858118673,-100.0
Parliament,ORGANIZATION,0.0032379013717433514,0.0
Most Sustainable Corporation,ORGANIZATION,0.00280981646808177,100.0
BT,ORGANIZATION,0.002687149286129675,0.0
HUDC,ORGANIZATION,0.002599712083113983,0.0
FLT,ORGANIZATION,0.0024780565606893506,0.0
Tai Tak Estates Sdn Bhd,ORGANIZATION,0.002381897798621103,0.0
MOF,ORGANIZATION,0.002286348197734275,0.0
Tampines West MRT,ORGANIZATION,0.0022354095586444534,0.0
Christopher Chitty,PERSON,0.002059392373190055,100.0
Google,ORGANIZATION,0.0020536315411123682,0.0
Sustainable Energy Association of Singapore,ORGANIZATION,0.002013509051739921,0.0
Mapletree,ORGANIZATION,0.0019434624692044932,100.0
Microsoft,ORGANIZATION,0.0019325502145636744,0.0
REUTERS,ORGANIZATION,0.0018933185458149483,0.0
Some,PERSON,0.0018753157593223257,100.0
Ministry of Finance,ORGANIZATION,0.0017560252375137743,0.0
Ministry of National,ORGANIZATION,0.0017491034480275529,100.0
JV,ORGANIZATION,0.001679109909449871,0.0
Singapore Exchange,ORGANIZATION,0.0014750038623705774,0.0
EC,ORGANIZATION,0.0014187091245473325,0.0
FBP,ORGANIZATION,0.0005070694427438533,0.0
