source,target,link_type,article_id
Angeiki Frangou,Navios Maritime Containers,PERSON,rickmers_trust_00012
Angeiki Frangou,US Securities and Exchange Commission,PERSON,rickmers_trust_00012
B1ZU,Commerzbank,ORGANIZATION,rickmers_trust_00017
B1ZU,Rickmers,PERSON,rickmers_trust_00017
Commerzbank,Rickmers,PERSON,rickmers_trust_00017
Navios Containers,Navios Partners,PERSON,rickmers_trust_00011|rickmers_trust_00016
Navios Containers,Rickmers Trust,PERSON,rickmers_trust_00011|rickmers_trust_00016
Navios Maritime Completes Acquisition of 14 Container Vessels,Rickmers Maritime,ORGANIZATION,rickmers_trust_00013
Navios Maritime Containers,US Securities and Exchange Commission,ORGANIZATION,rickmers_trust_00012
Navios Partners,Rickmers Trust,ORGANIZATION,rickmers_trust_00011|rickmers_trust_00016
RMT,Rickmers Maritime,ORGANIZATION,rickmers_trust_00007
RMT,Rickmers Trust Management Pte. Ltd,ORGANIZATION,rickmers_trust_00007
RMT,Ship & Bunker,ORGANIZATION,rickmers_trust_00007
Reuters,Rickmers Trust Management Pte. Ltd,ORGANIZATION,rickmers_trust_00009
Reuters,Trustee-manager,PERSON,rickmers_trust_00009
Rickmers,Rickmers Maritime,PERSON,rickmers_trust_00001
Rickmers Maritime,Rickmers Trust Management Pte. Ltd,ORGANIZATION,rickmers_trust_00007
Rickmers Maritime,Ship & Bunker,ORGANIZATION,rickmers_trust_00007
Rickmers Maritime,Singapore Exchange Rickmers Trust Management,ORGANIZATION,rickmers_trust_00002
Rickmers Trust Management Pte. Ltd,Ship & Bunker,ORGANIZATION,rickmers_trust_00007
Rickmers Trust Management Pte. Ltd,Trustee-manager,PERSON,rickmers_trust_00009
