name,type,importance,sentiment_emb
Sembcorp Industries,ORGANIZATION,0.979202190704351,9.090909090909092
Sembcorp Marine,ORGANIZATION,0.2979680749101504,100.0
Tang Kin Fei,PERSON,0.19499572078415406,-100.0
CFO,PERSON,0.1045452457983631,0.0
OCBC,ORGANIZATION,0.10071666139338012,-33.33333333333333
Graham Cockroft,PERSON,0.07871025987387376,0.0
Contact Energy,ORGANIZATION,0.04492543422440969,0.0
SCI,ORGANIZATION,0.02583492674254812,33.33333333333333
AT Capital Group,ORGANIZATION,0.008903766478380095,100.0
UBS AG,ORGANIZATION,0.008608006121441228,0.0
