source,target,link_type,article_id
ABACE,Bell Helicopter Boosts Sales In Asia And Reveals Future Technology,ORGANIZATION,hai_soon_pacific_00016
Aluminium supplier,Halliburton Far East,ORGANIZATION,hai_soon_pacific_00002
Aluminium supplier,Soon Lian,PERSON,hai_soon_pacific_00002
Aluminium supplier,Soon Lian Holdings,ORGANIZATION,hai_soon_pacific_00002
Aryan,Rajveer,PERSON,hai_soon_pacific_00015
Aryan,Tasha,PERSON,hai_soon_pacific_00015
Ashish Bhasin,Jean-Paul Burge,PERSON,hai_soon_pacific_00028
Asia Pacific Innovation Center,Hewlett Packard Enterprise,ORGANIZATION,hai_soon_pacific_00010
Asia Pacific Innovation Center,Jason Tan,PERSON,hai_soon_pacific_00010
Contacts - Cathodic Protection Technology Pte Ltd,Office,ORGANIZATION,cathodic_protection_technology_pte_ltd_00000
Contacts - Cathodic Protection Technology Pte Ltd,Singapore CATHODIC PROTECTION TECHNOLOGY PTE LTD 4 Tuas Drive 1,ORGANIZATION,cathodic_protection_technology_pte_ltd_00000
DGI,Dragon Group,ORGANIZATION,hai_soon_pacific_00020
DGI,Michael Loh Soon Gnee,PERSON,hai_soon_pacific_00020
DGI,YLE,ORGANIZATION,hai_soon_pacific_00020
Division,Overwatch League,ORGANIZATION,hai_soon_pacific_00018
Dragon Group,Michael Loh Soon Gnee,PERSON,hai_soon_pacific_00020
Dragon Group,YLE,ORGANIZATION,hai_soon_pacific_00020
Ekta Kapoor,Shoaib Ibrahim,PERSON,hai_soon_pacific_00011
Hai Thach,PV Oil,PERSON,hai_soon_pacific_00005
Hai Thach,Petronas,PERSON,hai_soon_pacific_00005
Halliburton Far East,Soon Lian,PERSON,hai_soon_pacific_00002
Halliburton Far East,Soon Lian Holdings,ORGANIZATION,hai_soon_pacific_00002
Hewlett Packard Enterprise,Jason Tan,PERSON,hai_soon_pacific_00010
Hon Hai,Investors,PERSON,hai_soon_pacific_00019
Hon Hai,TSMC,ORGANIZATION,hai_soon_pacific_00019
India,NDA,ORGANIZATION,hai_soon_pacific_00027
Investors,TSMC,PERSON,hai_soon_pacific_00019
Jurong port,PSA,ORGANIZATION,eng_lee_shipping_00000
Jurong port,Pte Ltd,ORGANIZATION,eng_lee_shipping_00000
Katrina Kaif,Mario Testino,PERSON,hai_soon_pacific_00014
Koh Soo How,PwC Singapore,PERSON,hai_soon_pacific_00000
Michael Loh Soon Gnee,YLE,PERSON,hai_soon_pacific_00020
Office,Singapore CATHODIC PROTECTION TECHNOLOGY PTE LTD 4 Tuas Drive 1,ORGANIZATION,cathodic_protection_technology_pte_ltd_00000
PSA,Pte Ltd,ORGANIZATION,eng_lee_shipping_00000
PV Oil,Petronas,ORGANIZATION,hai_soon_pacific_00005
Q1,Trans-Pacific Partnership,PERSON,hai_soon_pacific_00023
Rajveer,Tasha,PERSON,hai_soon_pacific_00015
Sakiko Shimizu,Seto Pulls 2IM,PERSON,hai_soon_pacific_00013
Soon Lian,Soon Lian Holdings,PERSON,hai_soon_pacific_00002
Unesco,United,ORGANIZATION,hai_soon_pacific_00009
