name,article_id
ABACE,hai_soon_pacific_00016
Allen Penn,hai_soon_pacific_00022
Aluminium supplier,hai_soon_pacific_00002
Aryan,hai_soon_pacific_00015
Ashish Bhasin,hai_soon_pacific_00028
Asia Pacific Innovation Center,hai_soon_pacific_00010
Bell Helicopter Boosts Sales In Asia And Reveals Future Technology,hai_soon_pacific_00016
Contacts - Cathodic Protection Technology Pte Ltd,cathodic_protection_technology_pte_ltd_00000
DGI,hai_soon_pacific_00020
Division,hai_soon_pacific_00018
Dragon Group,hai_soon_pacific_00020
Ekta Kapoor,hai_soon_pacific_00011
HAI,hai_soon_pacific_00025
Hai Thach,hai_soon_pacific_00005
Halliburton Far East,hai_soon_pacific_00002
Hewlett Packard Enterprise,hai_soon_pacific_00010
Hon Hai,hai_soon_pacific_00019
Hotel Bali Hai,hai_soon_pacific_00007
Imperial Pacific International,hai_soon_pacific_00003
India,hai_soon_pacific_00027
Investors,hai_soon_pacific_00019
Jason Tan,hai_soon_pacific_00010
Jean-Paul Burge,hai_soon_pacific_00028
Jurong port,eng_lee_shipping_00000
Katrina Kaif,hai_soon_pacific_00014
Koh Soo How,hai_soon_pacific_00000
Mario Testino,hai_soon_pacific_00014
Michael Loh Soon Gnee,hai_soon_pacific_00020
NDA,hai_soon_pacific_00027
Office,cathodic_protection_technology_pte_ltd_00000
Overwatch League,hai_soon_pacific_00018
PSA,eng_lee_shipping_00000
PV Oil,hai_soon_pacific_00005
Pavilion Gas,hai_soon_pacific_00024
Petronas,hai_soon_pacific_00005
Pte Ltd,eng_lee_shipping_00000
PwC Singapore,hai_soon_pacific_00000
Q1,hai_soon_pacific_00023
Rajveer,hai_soon_pacific_00015
Sakiko Shimizu,hai_soon_pacific_00013
Seto Pulls 2IM,hai_soon_pacific_00013
Shoaib Ibrahim,hai_soon_pacific_00011
Singapore CATHODIC PROTECTION TECHNOLOGY PTE LTD 4 Tuas Drive 1,cathodic_protection_technology_pte_ltd_00000
Soon Lian,hai_soon_pacific_00002
Soon Lian Holdings,hai_soon_pacific_00002
TSMC,hai_soon_pacific_00019
Tasha,hai_soon_pacific_00015
TheJournal.ie HQ,hai_soon_pacific_00021
Trans-Pacific Partnership,hai_soon_pacific_00023
UBS,hai_soon_pacific_00001
Unesco,hai_soon_pacific_00009
United,hai_soon_pacific_00009
WWE,hai_soon_pacific_00006
YLE,hai_soon_pacific_00020
