source,target,link_type,article_id
#KFCRealCheeseFries,Singtel,ORGANIZATION,singtel_01191
AFC Champions League Group F,Ch114,ORGANIZATION,singtel_01333
AFC Champions League Group F,Ch116,ORGANIZATION,singtel_00316
AFC Champions League Group F,Jeju v Adelaide,ORGANIZATION,singtel_00316
AFC Champions League Group F,Kawasaki,ORGANIZATION,singtel_01333
AFC Champions League Group F,Shanghai SIPG,ORGANIZATION,singtel_00316|singtel_01333
AFC Champions League Group F,Singtel,ORGANIZATION,singtel_00316|singtel_01333
AFC Champions League Group F,StarHub Ch210,ORGANIZATION,singtel_01333
AFC Champions League Group F,StarHub TV Ch209,ORGANIZATION,singtel_00316
AFC Champions League Group F,Urawa Reds,ORGANIZATION,singtel_00316
Airtel,Singtel,ORGANIZATION,singtel_00400
Amobee,R3,ORGANIZATION,singtel_01414
Amobee,Singtel,ORGANIZATION,singtel_01414
Apple,LTE,ORGANIZATION,singtel_00847|singtel_00857|singtel_01223
Apple,Samsung Gear S3,ORGANIZATION,singtel_00847|singtel_00857
Apple,Singtel,ORGANIZATION,singtel_00812|singtel_00847|singtel_00857|singtel_01200|singtel_01223|singtel_01316|singtel_01336|singtel_01346
Apple,StarHub,ORGANIZATION,singtel_00812|singtel_00847|singtel_00857
Apple,eSIM.,ORGANIZATION,singtel_00847|singtel_00857
Apple,iPhone X,ORGANIZATION,singtel_00812
Arthur Wong,Singtel,PERSON,singtel_01208
Arthur Wong,Telco,PERSON,singtel_01208
Benfica,Celtic v Bayern,ORGANIZATION,singtel_00920
Benfica,Ch111 & Ch202,ORGANIZATION,singtel_00920
Benfica,Man United,ORGANIZATION,singtel_00920
Benfica,Roma v Chelsea,ORGANIZATION,singtel_00920
Benfica,Singtel,ORGANIZATION,singtel_00920
Benfica,StarHub Ch212,ORGANIZATION,singtel_00920
Bharti Airtel,Bharti Infratel,ORGANIZATION,singtel_01510|singtel_01514
Bharti Airtel,Indus,PERSON,singtel_01510
Bharti Airtel,Indus Towers,ORGANIZATION,singtel_01510
Bharti Airtel,Norwegian,ORGANIZATION,singtel_00111
Bharti Airtel,Singtel,ORGANIZATION,singtel_00111|singtel_01411|singtel_01510|singtel_01514
Bharti Airtel,Telenor,ORGANIZATION,singtel_00111
Bharti Infratel,Indus,PERSON,singtel_01510
Bharti Infratel,Indus Towers,ORGANIZATION,singtel_01510
Bharti Infratel,Singtel,ORGANIZATION,singtel_01510|singtel_01514
British Lions,Lions Tour Crusaders,ORGANIZATION,singtel_00511
British Lions,Singtel,ORGANIZATION,singtel_00511
British Lions,StarHub Ch209,ORGANIZATION,singtel_00511
Business Times,Singtel,ORGANIZATION,singtel_01005
CBRE,Singtel,ORGANIZATION,singtel_01003
CSKA Moscow,Man United,ORGANIZATION,singtel_00814
CSKA Moscow,Singtel,ORGANIZATION,singtel_00814
CSKA Moscow,StarHub,ORGANIZATION,singtel_00814
CSKA Moscow,Uefa Champions League Group C,ORGANIZATION,singtel_00814
CapitaLand,City Developments Limited,ORGANIZATION,singtel_01204
Celtic v Bayern,Ch111 & Ch202,ORGANIZATION,singtel_00920
Celtic v Bayern,Man United,ORGANIZATION,singtel_00920
Celtic v Bayern,Roma v Chelsea,ORGANIZATION,singtel_00920
Celtic v Bayern,Singtel,ORGANIZATION,singtel_00920
Celtic v Bayern,StarHub Ch212,ORGANIZATION,singtel_00920
Center of Excellence,CoE,ORGANIZATION,singtel_00900
Center of Excellence,Ericsson,ORGANIZATION,singtel_00900
Center of Excellence,Republic,ORGANIZATION,singtel_00900
Center of Excellence,Singtel,ORGANIZATION,singtel_00900
Ch111 & Ch202,Man United,ORGANIZATION,singtel_00920
Ch111 & Ch202,Roma v Chelsea,ORGANIZATION,singtel_00920
Ch111 & Ch202,Singtel,ORGANIZATION,singtel_00920
Ch111 & Ch202,StarHub Ch212,ORGANIZATION,singtel_00920
Ch114,Kawasaki,ORGANIZATION,singtel_01333
Ch114,Shanghai SIPG,ORGANIZATION,singtel_01333
Ch114,Singtel,ORGANIZATION,singtel_01333
Ch114,StarHub Ch210,ORGANIZATION,singtel_01333
Ch116,Jeju v Adelaide,ORGANIZATION,singtel_00316
Ch116,Shanghai SIPG,ORGANIZATION,singtel_00316
Ch116,Singtel,ORGANIZATION,singtel_00316
Ch116,StarHub TV Ch209,ORGANIZATION,singtel_00316
Ch116,Urawa Reds,ORGANIZATION,singtel_00316
Champions League,Qarabag v Copenhagen,ORGANIZATION,singtel_00706
Champions League,Singtel,ORGANIZATION,singtel_00706
Champions League,StarHub,ORGANIZATION,singtel_00706
Circles.Life,Singtel,ORGANIZATION,singtel_00881
City Developments Limited,Singtel,ORGANIZATION,singtel_00006|singtel_00008
City Developments Limited,StarHub,ORGANIZATION,singtel_00006|singtel_00008
CoE,Ericsson,ORGANIZATION,singtel_00900|singtel_00902|singtel_00904
CoE,Republic,ORGANIZATION,singtel_00900
CoE,Singtel,ORGANIZATION,singtel_00900|singtel_00902|singtel_00904
Consumers,Razer,PERSON,singtel_01010
Consumers,Singtel,PERSON,singtel_01010
CounterTack,Singtel,ORGANIZATION,singtel_00411
Dash,Singtel,PERSON,singtel_00604|singtel_00608|singtel_00750|singtel_00867
Dash,Visa,PERSON,singtel_00608
Data X,Singtel,ORGANIZATION,singtel_01359
Data X,Starhub,ORGANIZATION,singtel_01359
Digital Transformation Foundry,Singtel,ORGANIZATION,singtel_01502|singtel_01508
Digital Transformation Foundry,VMware,ORGANIZATION,singtel_01508
Digital Transformation Foundry,VMware International,ORGANIZATION,singtel_01502|singtel_01508
EL Development,Singtel,ORGANIZATION,singtel_01318|singtel_01329
Ericsson,Republic,ORGANIZATION,singtel_00900
Ericsson,Singtel,ORGANIZATION,singtel_00900|singtel_00902|singtel_00904
FOOTBALL fans,Mediacorp,PERSON,singtel_01551
FOOTBALL fans,Singtel,PERSON,singtel_01551
FOOTBALL fans,StarHub,PERSON,singtel_01551
Football fans,Glenda Koh,PERSON,singtel_01570
Football fans,Mediacorp,PERSON,singtel_01539|singtel_01631
Football fans,Singtel,PERSON,singtel_01539|singtel_01631
Football fans,StarHub,PERSON,singtel_01539
Football fans,Starhub,PERSON,singtel_01631
Fox Networks Group,Neil Kevin Gane,PERSON,singtel_01209
Fox Networks Group,Pay-TV operators,ORGANIZATION,singtel_01206
Fox Networks Group,Premier,PERSON,singtel_01209
Fox Networks Group,Premier League,ORGANIZATION,singtel_01206|singtel_01216|singtel_01268
Fox Networks Group,Singtel,ORGANIZATION,singtel_01206|singtel_01209|singtel_01216|singtel_01268
Fox Networks Group,StarHub,ORGANIZATION,singtel_01206|singtel_01209|singtel_01216|singtel_01268
Fox Networks Group,TV box sellers,PERSON,singtel_01206
GIC,Neptune Orient Lines,ORGANIZATION,singtel_00704
GIC,Singtel,ORGANIZATION,singtel_00704|singtel_00709
GIC,Wu,PERSON,singtel_00704
GIC,Wu Choy Peng,PERSON,singtel_00709
Goh Shufen,R3,PERSON,singtel_01410
Goh Shufen,Singtel,PERSON,singtel_01410
Hotelogix,National University of Singapore,PERSON,singtel_01468
Hotelogix,Singtel,PERSON,singtel_01468
Indus,Indus Towers,PERSON,singtel_01510
Indus,Singtel,PERSON,singtel_01510
Indus Towers,Singtel,ORGANIZATION,singtel_01510
Infocomm Media Development Authority,Singtel,ORGANIZATION,singtel_00905
JULY,NetLink Trust,ORGANIZATION,singtel_01002
JULY,Singtel,ORGANIZATION,singtel_01002
Jeju v Adelaide,Shanghai SIPG,ORGANIZATION,singtel_00316
Jeju v Adelaide,Singtel,ORGANIZATION,singtel_00316
Jeju v Adelaide,StarHub TV Ch209,ORGANIZATION,singtel_00316
Jeju v Adelaide,Urawa Reds,ORGANIZATION,singtel_00316
Kawasaki,Shanghai SIPG,ORGANIZATION,singtel_01333
Kawasaki,Singtel,ORGANIZATION,singtel_01333
Kawasaki,StarHub Ch210,ORGANIZATION,singtel_01333
Koh,NUS Enterprise,PERSON,singtel_00260
Koh,SGInnovate,PERSON,singtel_00260
LPGA Tour,Real Madrid,ORGANIZATION,singtel_01619
LPGA Tour,Singtel,ORGANIZATION,singtel_01619
LPGA Tour,StarHub,ORGANIZATION,singtel_01619
LPGA Tour,StarHub Ch209,ORGANIZATION,singtel_01619
