name,type,importance,sentiment_emb
Singtel,ORGANIZATION,1.0,55.55555555555556
StarHub,ORGANIZATION,0.11661035911935864,75.0
Apple,ORGANIZATION,0.06775891430437397,-100.0
Razer,ORGANIZATION,0.05499478483805154,100.0
Football fans,PERSON,0.03588546044279586,100.0
Mediacorp,ORGANIZATION,0.033799102435767114,100.0
EL Development,ORGANIZATION,0.030743752560599795,0.0
NUS,ORGANIZATION,0.030472330840695446,100.0
Ericsson,ORGANIZATION,0.024879399545448107,100.0
M1,ORGANIZATION,0.021381278581617032,100.0
NetLink Trust,ORGANIZATION,0.018925171433059947,0.0
Bharti Airtel,ORGANIZATION,0.01468599805259808,0.0
Starhub,ORGANIZATION,0.014065571245617053,0.0
Fox Networks Group,ORGANIZATION,0.01403868323212532,-100.0
City Developments Limited,ORGANIZATION,0.01379412745309576,100.0
LTE,ORGANIZATION,0.01201992507999152,0.0
VMware International,ORGANIZATION,0.009471156446058759,0.0
Bharti Infratel,ORGANIZATION,0.009303232698262729,0.0
AFC Champions League Group F,ORGANIZATION,0.007396516379427295,0.0
GIC,ORGANIZATION,0.006531209983822233,0.0
Dash,PERSON,0.005579900950247498,100.0
R3,ORGANIZATION,0.005226933687016412,-100.0
Shanghai SIPG,ORGANIZATION,0.005020784667267552,0.0
Man United,ORGANIZATION,0.004179006328689174,0.0
CoE,ORGANIZATION,0.0035038982100117624,100.0
StarHub Ch209,ORGANIZATION,0.0033256352303489,100.0
Premier League,ORGANIZATION,0.002800648771288558,-100.0
Samsung Gear S3,ORGANIZATION,0.00242451379418791,0.0
Digital Transformation Foundry,ORGANIZATION,0.001822804172883343,0.0
Maybank Kim Eng,ORGANIZATION,0.001473113125436855,0.0
eSIM.,ORGANIZATION,0.0011894911384905682,0.0
