name,article_id
#KFCRealCheeseFries,singtel_01191
AFC Champions League Group F,singtel_00316|singtel_01333
Airtel,singtel_00400
Amobee,singtel_01414
Apple,singtel_00812|singtel_00847|singtel_00857|singtel_00882|singtel_01200|singtel_01223|singtel_01316|singtel_01336|singtel_01346
Arthur Wong,singtel_01208
Benfica,singtel_00920
Bharti Airtel,singtel_00111|singtel_01411|singtel_01510|singtel_01514
Bharti Infratel,singtel_01510|singtel_01514
Bharti Telecom,singtel_01300
British Lions,singtel_00511
Business Times,singtel_01005
CBRE,singtel_01003
CSKA Moscow,singtel_00814
CapitaLand,singtel_01204
Celtic v Bayern,singtel_00920
Center of Excellence,singtel_00900
Ch111 & Ch202,singtel_00920
Ch114,singtel_01333
Ch116,singtel_00316
Champions League,singtel_00706
Circles.Life,singtel_00881
City Developments Limited,singtel_00006|singtel_00008|singtel_01204
CoE,singtel_00900|singtel_00902|singtel_00904
Consumers,singtel_01010
CounterTack,singtel_00411
Dash,singtel_00604|singtel_00608|singtel_00750|singtel_00867
Data X,singtel_01359
Digital Transformation Foundry,singtel_01502|singtel_01508
EL Development,singtel_01318|singtel_01329
Ericsson,singtel_00900|singtel_00902|singtel_00904
FOOTBALL fans,singtel_01551
Football fans,singtel_01539|singtel_01570|singtel_01631
Fox Networks Group,singtel_01206|singtel_01209|singtel_01216|singtel_01268
GIC,singtel_00704|singtel_00709
Glenda Koh,singtel_01570
Goh Shufen,singtel_01410
Hotelogix,singtel_01468
Indus,singtel_01510
Indus Towers,singtel_01510
Infocomm Media Development Authority,singtel_00905
JULY,singtel_01002
Jeju v Adelaide,singtel_00316
Kawasaki,singtel_01333
Koh,singtel_00260
LPGA Tour,singtel_01619
LTE,singtel_00847|singtel_00857|singtel_01223
Lions Tour Crusaders,singtel_00511
M1,singtel_00271|singtel_00705|singtel_00804|singtel_01049|singtel_01218|singtel_01477|singtel_01518|singtel_01653
MOU,singtel_01679
Man United,singtel_00814|singtel_00920
Maybank Kim Eng,singtel_00849|singtel_01518
Media Development Authority of Singapore,singtel_00959
Mediacorp,singtel_01500|singtel_01501|singtel_01533|singtel_01539|singtel_01541|singtel_01549|singtel_01551|singtel_01631|singtel_01637|singtel_01649|singtel_01688
Myriota,singtel_01405
NUS,singtel_01403|singtel_01412|singtel_01679
NUS Enterprise,singtel_00260|singtel_00959|singtel_01408
NUS) Enterprise,singtel_01403
National University of Singapore,singtel_01468
Neil Kevin Gane,singtel_01209
Neptune Orient Lines,singtel_00704
NetLink Trust,singtel_00101|singtel_00102|singtel_00303|singtel_00313|singtel_01002
Netlink Trust,singtel_00805
Norwegian,singtel_00111
Now TV,singtel_01177
PCCW,singtel_01177
Partner,singtel_01612
Pay-TV operators,singtel_01206
Premier,singtel_01209
Premier League,singtel_01206|singtel_01216|singtel_01268
Qarabag v Copenhagen,singtel_00706
R3,singtel_01410|singtel_01414
Razer,singtel_01006|singtel_01008|singtel_01010|singtel_01041|singtel_01601|singtel_01602|singtel_01609|singtel_01610|singtel_01612|singtel_01613
Real Madrid,singtel_01619
Republic,singtel_00900
Roma v Chelsea,singtel_00920
SGInnovate,singtel_00260
SINGAPORE - Unity,singtel_01501
SMEs,singtel_00406
ST Telemedia,singtel_01419
STT,singtel_01419
Samsung Galaxy Note 8,singtel_00732
Samsung Gear S3,singtel_00847|singtel_00857
Shanghai SIPG,singtel_00316|singtel_01333
Singapore Government,singtel_00300
Singtel,singtel_00006|singtel_00008|singtel_00101|singtel_00102|singtel_00111|singtel_00201|singtel_00300|singtel_00302|singtel_00303|singtel_00304|singtel_00313|singtel_00316|singtel_00400|singtel_00406|singtel_00411|singtel_00416|singtel_00511|singtel_00604|singtel_00606|singtel_00608|singtel_00701|singtel_00704|singtel_00705|singtel_00706|singtel_00709|singtel_00732|singtel_00750|singtel_00804|singtel_00805|singtel_00812|singtel_00814|singtel_00820|singtel_00828|singtel_00847|singtel_00849|singtel_00857|singtel_00864|singtel_00867|singtel_00881|singtel_00900|singtel_00902|singtel_00903|singtel_00904|singtel_00905|singtel_00920|singtel_00959|singtel_01002|singtel_01003|singtel_01005|singtel_01006|singtel_01008|singtel_01010|singtel_01041|singtel_01049|singtel_01191|singtel_01200|singtel_01201|singtel_01206|singtel_01208|singtel_01209|singtel_01216|singtel_01218|singtel_01223|singtel_01268|singtel_01311|singtel_01315|singtel_01316|singtel_01318|singtel_01329|singtel_01333|singtel_01336|singtel_01346|singtel_01359|singtel_01400|singtel_01403|singtel_01405|singtel_01410|singtel_01411|singtel_01412|singtel_01414|singtel_01415|singtel_01419|singtel_01433|singtel_01468|singtel_01477|singtel_01500|singtel_01501|singtel_01502|singtel_01503|singtel_01508|singtel_01510|singtel_01514|singtel_01518|singtel_01533|singtel_01539|singtel_01541|singtel_01549|singtel_01551|singtel_01600|singtel_01601|singtel_01609|singtel_01610|singtel_01612|singtel_01615|singtel_01619|singtel_01631|singtel_01632|singtel_01637|singtel_01649|singtel_01653|singtel_01679|singtel_01688
StarHub,singtel_00006|singtel_00008|singtel_00271|singtel_00300|singtel_00705|singtel_00706|singtel_00804|singtel_00812|singtel_00814|singtel_00847|singtel_00857|singtel_01049|singtel_01206|singtel_01209|singtel_01216|singtel_01218|singtel_01268|singtel_01500|singtel_01501|singtel_01518|singtel_01533|singtel_01539|singtel_01541|singtel_01549|singtel_01551|singtel_01619|singtel_01637|singtel_01649|singtel_01653|singtel_01688
StarHub Ch209,singtel_00511|singtel_01619
StarHub Ch210,singtel_01333
StarHub Ch212,singtel_00920
StarHub TV Ch209,singtel_00316
Starhub,singtel_00903|singtel_01359|singtel_01631
T-Mobile,singtel_00864
TELCO,singtel_01201
TPG Telecom,singtel_00300
TV box sellers,singtel_01206
TV customers,singtel_01637
Telco,singtel_01208
Telenor,singtel_00111
The Straits Times,singtel_01549
Trio,singtel_01637
Twilio,singtel_01400
UOB,singtel_00271
URA,singtel_00606
Uefa Champions League,singtel_01619
Uefa Champions League Group C,singtel_00814
Urawa Reds,singtel_00316
Urban Redevelopment Authority,singtel_01311
VMware,singtel_01508
VMware International,singtel_01502|singtel_01508
Viewers,singtel_01649
Visa,singtel_00608
ViuTV,singtel_01177
Wu,singtel_00704
Wu Choy Peng,singtel_00709
Zero1,singtel_01433
eSIM.,singtel_00847|singtel_00857
iPhone 8 Plus,singtel_00864
iPhone X,singtel_00812
