source,target,link_type,article_id
@QueenOfCraps,SMRT,PERSON,smrt_smrt_01139
AMK,SMRT,ORGANIZATION,smrt_smrt_00914
Akbar Ali Bin Tambishahib,Enovation Industries Pte Ltd,PERSON,smrt_smrt_01098
Akbar Ali Bin Tambishahib,Enovation Technologies Pte Ltd,PERSON,smrt_smrt_01098
Akbar Ali Bin Tambishahib,Jamalludin Bin Jumari,PERSON,smrt_smrt_01098
Akbar Ali Bin Tambishahib,SMRT,PERSON,smrt_smrt_01098
Akbar Ali Bin Tambishahib,Zakaria Bin Mohamed Shariff,PERSON,smrt_smrt_01098
Akbar Ali Bin Tambishahib,Zulkifli Bin Marwi,PERSON,smrt_smrt_01098
Aljunied GRC,Desmond Kuek,PERSON,smrt_smrt_01059
Aljunied GRC,Khaw,PERSON,smrt_smrt_01059
Aljunied GRC,Pritam Singh,PERSON,smrt_smrt_01059
Aljunied GRC,SMRT,ORGANIZATION,smrt_smrt_01059
Ang Mo Kio MRT,SMRT,ORGANIZATION,smrt_smrt_01348
BCA,Lum Chong Chuen,PERSON,smrt_smrt_00080
BCA,Patrick Nathan,PERSON,smrt_smrt_00080
BCA,SMRT,ORGANIZATION,smrt_smrt_00080
BPITH,Bukit Panjang LRT,ORGANIZATION,smrt_smrt_00706
BPITH,Commuters,PERSON,smrt_smrt_00706
BPITH,Downtown MRT,ORGANIZATION,smrt_smrt_00706
BPITH,SMRT,ORGANIZATION,smrt_smrt_00706
BPLRT,SMRT,ORGANIZATION,smrt_smrt_01230
BPLRT,Zachary Sebastian,PERSON,smrt_smrt_01230
Baby,Ma.,PERSON,smrt_smrt_00102
Baby,Mohamad Nazaruddin,PERSON,smrt_smrt_00102
Baby,Rosario Ortiz,PERSON,smrt_smrt_00102
Baby,SMRT,PERSON,smrt_smrt_00102
Bedok MRT,C'mon guys,PERSON,smrt_smrt_00318
Bedok MRT,EWL,ORGANIZATION,smrt_smrt_00318
Bedok MRT,SMRT,ORGANIZATION,smrt_smrt_00318
