name,type,importance,sentiment_emb
SMRT,ORGANIZATION,1.0,-32.30769230769231
Khaw Boon Wan,PERSON,0.10636344000943473,-60.0
Koh Yong Guan,PERSON,0.07325029794961219,100.0
EWL,ORGANIZATION,0.07270750778567107,-42.857142857142854
Seah Moon Ming,PERSON,0.05403496306076988,100.0
Commuters,PERSON,0.05357636172402824,-27.27272727272727
Bukit Panjang LRT,ORGANIZATION,0.050253836437705694,0.0
LTA,ORGANIZATION,0.048085277458580836,-100.0
Patrick Nathan,PERSON,0.04122627316322553,-100.0
Land Transport Authority,ORGANIZATION,0.03709811059249983,-33.33333333333333
Mohamad Nazaruddin,PERSON,0.036694405749567956,100.0
MOM,PERSON,0.03069414361808684,-100.0
Khaw,PERSON,0.028995442327397057,-100.0
Desmond Kuek,PERSON,0.018666788920649848,0.0
NSL,ORGANIZATION,0.015432619705190467,-100.0
Prasarana,ORGANIZATION,0.013312664598660469,100.0
SBS Transit,ORGANIZATION,0.012994505418445832,-100.0
Parliament,ORGANIZATION,0.012384230948475447,-100.0
Margaret Teo,PERSON,0.010061214717866548,0.0
Pavilion Energy,ORGANIZATION,0.008547882665748343,0.0
Thomson,ORGANIZATION,0.0074000327271721835,0.0
F1,ORGANIZATION,0.005871533399403412,100.0
PSLE,ORGANIZATION,0.0056777915168361335,-100.0
Track Access Management Office,ORGANIZATION,0.005239849136739904,0.0
Bukit Panjang Light Rail Transit,ORGANIZATION,0.005007301411241095,-100.0
Lim Say Heng,PERSON,0.004308638068589017,-100.0
North-South,ORGANIZATION,0.0034588724896579227,-33.33333333333333
SINGAPORE - Rail,ORGANIZATION,0.00318918874636973,0.0
Thales,ORGANIZATION,0.0031311204862344566,100.0
Prasarana Malaysia,ORGANIZATION,0.0030360142639510525,100.0
The Straits Times,ORGANIZATION,0.00262471223461668,-100.0
East-West MRT,ORGANIZATION,0.002536058579413053,-100.0
Johor Baru-Singapore Rapid Transit System,ORGANIZATION,0.0025235243829633447,100.0
RTS,ORGANIZATION,0.002326472476692736,100.0
Tanah Merah,PERSON,0.0020814539922234337,-100.0
McLaren Applied Technologies,ORGANIZATION,0.001932444412403475,100.0
Rosario Ortiz,PERSON,0.0018482192986968048,100.0
Clementi,PERSON,0.0016308533795967167,-100.0
TWE,ORGANIZATION,0.0015400480165880558,0.0
TEL,ORGANIZATION,0.0012368009897586922,0.0
Lianhe Zaobao,ORGANIZATION,0.0004647722494863395,100.0
