name,article_id
@QueenOfCraps,smrt_smrt_01139
AMK,smrt_smrt_00914
Akbar Ali Bin Tambishahib,smrt_smrt_01098
Aljunied GRC,smrt_smrt_01059
Ang Mo Kio MRT,smrt_smrt_01325|smrt_smrt_01348
BCA,smrt_smrt_00080
BPITH,smrt_smrt_00706
BPLRT,smrt_smrt_01230
Baby,smrt_smrt_00102
Bedok MRT,smrt_smrt_00318
Bishan,smrt_smrt_00326
Bishan MRT,smrt_smrt_00903
Bt,smrt_smrt_01234
Bugis MRT,smrt_smrt_00606
Bukit Panjang LRT,smrt_smrt_00019|smrt_smrt_00701|smrt_smrt_00706|smrt_smrt_00707|smrt_smrt_00855|smrt_smrt_00939|smrt_smrt_01049|smrt_smrt_01206|smrt_smrt_01213|smrt_smrt_01310|smrt_smrt_01442
Bukit Panjang Light Rail Transit,smrt_smrt_00927|smrt_smrt_01445
C'mon guys,smrt_smrt_00318
Chairman,smrt_smrt_01103
Channel NewsAsia,smrt_smrt_01123
Chay Yuen Fatt,smrt_smrt_01418
Chief Commuter Engagement Officer,smrt_smrt_01303
Clementi,smrt_smrt_00018|smrt_smrt_00519|smrt_smrt_00612
Clementi MRT,smrt_smrt_00003
Cole,smrt_smrt_00116
ComfortDelGro,smrt_smrt_00818
Commuters,smrt_smrt_00003|smrt_smrt_00301|smrt_smrt_00323|smrt_smrt_00402|smrt_smrt_00404|smrt_smrt_00519|smrt_smrt_00612|smrt_smrt_00702|smrt_smrt_00705|smrt_smrt_00706|smrt_smrt_00709|smrt_smrt_00729|smrt_smrt_00808|smrt_smrt_00810|smrt_smrt_01038|smrt_smrt_01102|smrt_smrt_01108|smrt_smrt_01317
Deputy Chairman,smrt_smrt_00017
Desmond Kuek,smrt_smrt_01048|smrt_smrt_01059|smrt_smrt_01128|smrt_smrt_01153
Director,smrt_smrt_00017
Downtown Line,smrt_smrt_01110
Downtown MRT,smrt_smrt_00706
EWL,smrt_smrt_00018|smrt_smrt_00147|smrt_smrt_00236|smrt_smrt_00301|smrt_smrt_00306|smrt_smrt_00318|smrt_smrt_00323|smrt_smrt_00326|smrt_smrt_00349|smrt_smrt_00367|smrt_smrt_00446|smrt_smrt_00497|smrt_smrt_00506|smrt_smrt_00612|smrt_smrt_00677|smrt_smrt_00681|smrt_smrt_00790|smrt_smrt_00808|smrt_smrt_00813|smrt_smrt_00880|smrt_smrt_00888|smrt_smrt_00907|smrt_smrt_00976|smrt_smrt_01003|smrt_smrt_01038|smrt_smrt_01105|smrt_smrt_01136|smrt_smrt_01198|smrt_smrt_01214|smrt_smrt_01252|smrt_smrt_01308|smrt_smrt_01400|smrt_smrt_01413|smrt_smrt_01438
East-West MRT,smrt_smrt_00001|smrt_smrt_00029
Elaine Koh,smrt_smrt_01303
Employers,smrt_smrt_00147
Enovation Industries Pte Ltd,smrt_smrt_01098
Enovation Technologies Pte Ltd,smrt_smrt_01098
F1,smrt_smrt_01409|smrt_smrt_01422
Frederic Bernaud,smrt_smrt_01101
Gazprom Marketing and Trading,smrt_smrt_01101
Government,smrt_smrt_01160
Grab drivers,smrt_smrt_00908
HDB,smrt_smrt_01160
Hamid,smrt_smrt_00002
IMDA,smrt_smrt_01153
Inspectors,smrt_smrt_00203
