source,target,link_type,article_id
AGM,Acra,PERSON,swiber_holdings_00007
AGM,Swiber,ORGANIZATION,swiber_holdings_00007
AGM,Swiber Holdings,ORGANIZATION,swiber_holdings_00007
AHTS,Swiber Holdings,ORGANIZATION,swiber_holdings_00066
AHTS,The Group,ORGANIZATION,swiber_holdings_00066
Acra,Swiber,PERSON,swiber_holdings_00007
Acra,Swiber Holdings,PERSON,swiber_holdings_00007|swiber_holdings_00016
Acra,THE Accounting and Corporate Regulatory Authority,PERSON,swiber_holdings_00016
Alam Maritim Resources Bhd,Perisai Petroleum Teknologi,ORGANIZATION,swiber_holdings_00027
Alam Maritim Resources Bhd,Swiber Holdings Ltd,ORGANIZATION,swiber_holdings_00027
Anne-Christine,Else-Marie,PERSON,swiber_holdings_00040
Anne-Christine,Mary-Ann,PERSON,swiber_holdings_00040
Anne-Christine,SINGAPORE - Kim Heng Offshore & Marine,PERSON,swiber_holdings_00040
Anne-Christine,Swiber,PERSON,swiber_holdings_00040
Bank Tries,Swiber Holdings Ltd.,ORGANIZATION,swiber_holdings_00024
Bank of New York Mellon,Trustee,PERSON,swiber_holdings_00003
Blow,Swiber Holdings Ltd.,PERSON,swiber_holdings_00050
Boeing,GuocoLand,ORGANIZATION,swiber_holdings_00107
Boeing,Singapore Airlines,ORGANIZATION,swiber_holdings_00107
Boeing,Swiber Holdings,ORGANIZATION,swiber_holdings_00107
CEO signals bank,DBS,ORGANIZATION,swiber_holdings_00008
CEO signals bank,Swiber Holdings Ltd,ORGANIZATION,swiber_holdings_00008
Cathay Cineplexes,Cathay Organisation Pte,ORGANIZATION,swiber_holdings_00106
Cathay Cineplexes,DBS,ORGANIZATION,swiber_holdings_00101
Cathay Cineplexes,Interlink,ORGANIZATION,swiber_holdings_00101
Cathay Cineplexes,Media content provider,ORGANIZATION,swiber_holdings_00106
Cathay Cineplexes,Oxley Holdings,ORGANIZATION,swiber_holdings_00101
Cathay Cineplexes,Swiber Holdings,ORGANIZATION,swiber_holdings_00101
Cathay Organisation Pte,Media content provider,ORGANIZATION,swiber_holdings_00106
DBS,Gupta,PERSON,swiber_holdings_00042|swiber_holdings_00070
DBS,Interlink,ORGANIZATION,swiber_holdings_00101
DBS,O&M,ORGANIZATION,swiber_holdings_00042
DBS,Oxley Holdings,ORGANIZATION,swiber_holdings_00101
DBS,Swiber Holdings,ORGANIZATION,swiber_holdings_00042|swiber_holdings_00070|swiber_holdings_00101
DBS,Swiber Holdings Ltd,ORGANIZATION,swiber_holdings_00008
EMAS,Ezra,PERSON,swiber_holdings_00102
EMAS,Ezra Holdings,ORGANIZATION,swiber_holdings_00102
Else-Marie,Mary-Ann,PERSON,swiber_holdings_00040
Else-Marie,SINGAPORE - Kim Heng Offshore & Marine,PERSON,swiber_holdings_00040
Else-Marie,Swiber,PERSON,swiber_holdings_00040
Ezra,Ezra Holdings,PERSON,swiber_holdings_00102
Ezra,O&M,PERSON,swiber_holdings_00018
