source,target,link_type,article_id
AHTS,Singapore OSV,ORGANIZATION,swissco_holdings_00014
AHTS,Swissco,ORGANIZATION,swissco_holdings_00014
AHTS,Swissco Holdings,ORGANIZATION,swissco_holdings_00014
AHTS,Swissco Offshore,ORGANIZATION,swissco_holdings_00014
Asia Strategic Turnaround Ventures,HBA Offshore,ORGANIZATION,swissco_holdings_00029
Asia Strategic Turnaround Ventures,Swissco Holdings,ORGANIZATION,swissco_holdings_00029
Asian Strategic Turnaround Ventures,Hassan Basma,PERSON,swissco_holdings_00010
Asian Strategic Turnaround Ventures,Swissco,ORGANIZATION,swissco_holdings_00010
Asian Strategic Turnaround Ventures,Swissco Holdings,ORGANIZATION,swissco_holdings_00010
Attorney-General,High Court,PERSON,swissco_holdings_00033
Attorney-General,PMO,PERSON,swissco_holdings_00033
Attorney-General,Swiber Holdings Ltd,PERSON,swissco_holdings_00033
Attorney-General,Swissco Holdings Limited,PERSON,swissco_holdings_00033
Buyout firm,SWISSCO HOLDINGS,ORGANIZATION,swissco_holdings_00009
Ezion,Swissco Holdings,ORGANIZATION,swissco_holdings_00002
Ezion Holdings Ltd,Ezra,PERSON,swissco_holdings_00016
Ezion Holdings Ltd,KrisEnergy Ltd,ORGANIZATION,swissco_holdings_00016
Ezion Holdings Ltd,Swiber Holdings Ltd,ORGANIZATION,swissco_holdings_00016
Ezion Holdings Ltd,Swissco Holdings Ltd,ORGANIZATION,swissco_holdings_00016
Ezra,KrisEnergy Ltd,PERSON,swissco_holdings_00016
Ezra,Nam Cheong Ltd,PERSON,swissco_holdings_00025
Ezra,Swiber Holdings Ltd,PERSON,swissco_holdings_00016|swissco_holdings_00025
Ezra,Swissco Holdings Ltd,PERSON,swissco_holdings_00016|swissco_holdings_00025
Ezra Holdings,Marco Polo Maritime,PERSON,swissco_holdings_00020
Ezra Holdings,Rickmers Maritime,ORGANIZATION,swissco_holdings_00020
Ezra Holdings,Swiber Holdings,ORGANIZATION,swissco_holdings_00020
Ezra Holdings,Swissco Holdings,ORGANIZATION,swissco_holdings_00020
Falcon Energy Group,Singapore High Court,ORGANIZATION,swissco_holdings_00021
Falcon Energy Group,Swissco Holdings,ORGANIZATION,swissco_holdings_00021
HBA,Swissco Holdings,ORGANIZATION,swissco_holdings_00006
HBA Offshore,Swissco Holdings,ORGANIZATION,swissco_holdings_00029
Hassan Basma,Swissco,PERSON,swissco_holdings_00010
Hassan Basma,Swissco Holdings,PERSON,swissco_holdings_00010|swissco_holdings_00027
High Court,PMO,ORGANIZATION,swissco_holdings_00033
High Court,Swiber Holdings Ltd,ORGANIZATION,swissco_holdings_00033
High Court,Swissco Holdings Limited,ORGANIZATION,swissco_holdings_00033
Ho Heng-Chun,On The Move: Global Testing Corporation,PERSON,swissco_holdings_00031
JMs,Swissco,ORGANIZATION,swissco_holdings_00003
JMs,Swissco Holdings,ORGANIZATION,swissco_holdings_00003
JTC,Lim How Teck,PERSON,swissco_holdings_00026
JTC,O&M,ORGANIZATION,swissco_holdings_00026
JTC,Rickmers Maritime,ORGANIZATION,swissco_holdings_00026
JTC,Swissco Holdings,ORGANIZATION,swissco_holdings_00026
KS Energy,Tan Fuh Gih,PERSON,swissco_holdings_00032
KrisEnergy Ltd,Swiber Holdings Ltd,ORGANIZATION,swissco_holdings_00016
KrisEnergy Ltd,Swissco Holdings Ltd,ORGANIZATION,swissco_holdings_00016
Lim How Teck,O&M,PERSON,swissco_holdings_00026
Lim How Teck,Rickmers Maritime,PERSON,swissco_holdings_00026
Lim How Teck,Swissco Holdings,PERSON,swissco_holdings_00026
Marco Polo Maritime,Rickmers Maritime,PERSON,swissco_holdings_00020
Marco Polo Maritime,Swiber Holdings,PERSON,swissco_holdings_00020
Marco Polo Maritime,Swissco Holdings,PERSON,swissco_holdings_00020
Nam Cheong Ltd,Swiber Holdings Ltd,ORGANIZATION,swissco_holdings_00025
Nam Cheong Ltd,Swissco Holdings Ltd,ORGANIZATION,swissco_holdings_00025
O&M,Rickmers Maritime,ORGANIZATION,swissco_holdings_00026
O&M,Swissco Holdings,ORGANIZATION,swissco_holdings_00026
OSV,Swissco,ORGANIZATION,swissco_holdings_00015
PMO,Swiber Holdings Ltd,ORGANIZATION,swissco_holdings_00033
PMO,Swissco Holdings Limited,ORGANIZATION,swissco_holdings_00033
Perisai Petroleum Teknologi,Swissco Holdings,ORGANIZATION,swissco_holdings_00034
Reuters,Swissco Holdings Ltd,ORGANIZATION,swissco_holdings_00017
Rickmers Maritime,Swiber Holdings,ORGANIZATION,swissco_holdings_00020
Rickmers Maritime,Swissco Holdings,ORGANIZATION,swissco_holdings_00020|swissco_holdings_00026
Roy,Tan,PERSON,swissco_holdings_00028
Scott,Swissco Holdings,PERSON,swissco_holdings_00011|swissco_holdings_00013
Singapore High Court,Swissco Holdings,ORGANIZATION,swissco_holdings_00008|swissco_holdings_00021
Singapore OSV,Swissco,ORGANIZATION,swissco_holdings_00014
Singapore OSV,Swissco Holdings,ORGANIZATION,swissco_holdings_00014
Singapore OSV,Swissco Offshore,ORGANIZATION,swissco_holdings_00014
Swiber Holdings,Swissco Holdings,ORGANIZATION,swissco_holdings_00020
Swiber Holdings Ltd,Swissco Holdings Limited,ORGANIZATION,swissco_holdings_00033
Swiber Holdings Ltd,Swissco Holdings Ltd,ORGANIZATION,swissco_holdings_00016|swissco_holdings_00025|swissco_holdings_00035
Swissco,Swissco Holdings,ORGANIZATION,swissco_holdings_00003|swissco_holdings_00005|swissco_holdings_00010|swissco_holdings_00014
Swissco,Swissco Offshore,ORGANIZATION,swissco_holdings_00014
Swissco Holdings,Swissco Offshore,ORGANIZATION,swissco_holdings_00014
Swissco Holdings,Swissco Venus,PERSON,swissco_holdings_00001
