name,article_id
Blue Chip,trikomsel_00038
Consumer Electronics,trikomsel_00082
Court,trikomsel_00001
Global Teleshop,trikomsel_00008
Government,trikomsel_00027
IDX,trikomsel_00020
Indonesia Stock Exchange,trikomsel_00024
New Market Research Report On,trikomsel_00025
Reuters,trikomsel_00001
Satellite Operators,trikomsel_00039
Telkom Indonesia,trikomsel_00038
Trikomsel,trikomsel_00001|trikomsel_00004|trikomsel_00018
Trikomsel Oke,trikomsel_00008
Trikomsel Pte,trikomsel_00000
Trikomsel Pte Ltd,trikomsel_00001
Trikomsel pte ltd,trikomsel_00000
