name,article_id
AFP,ubs7_00005
Analysts,ubs5_00001|ubs5_00002
Asia Investment Strategist,ubs3_00002
Atkinson,ubs4_00069
Business Manager,ubs8_00000
CCL,ubs7_00107
CIMB,ubs4_00100
Catherine Cai,ubs2_00000
China,ubs3_00003
Commerzbank,ubs1_00000
Credit Suisse,ubs1_00100|ubs6_00017
FAMILY offices,ubs7_00101
GIC,ubs1_00101|ubs6_00005|ubs7_00006
GIC Seeks Tech Boost,ubs1_00101
Genting HK,ubs7_00107
Goldman Sachs,ubs3_00003
H&M,ubs5_00001|ubs5_00002
HSBC Private Banking,ubs2_00018
Haitong International,ubs4_00100
Harvard,ubs1_00071
Hong Kong Securities and Futures Commission,ubs6_00003
Hurricane-Hit,ubs6_00013
IBM,ubs1_00000
Investment Bank,ubs2_00000
Jay Chauhan,ubs8_00000
Jefferies Group,ubs4_00100
Joe Stadler,ubs2_00100
Joe Stadler Appoints,ubs2_00100
KPMG LLP,ubs7_00102
Kian Abouhossein,ubs4_00003
Lam,ubs2_00018
MIT,ubs1_00071
Massachusetts Institute of Technology,ubs1_00071
Menon,ubs1_00017|ubs7_00022
Mitsubishi Corp,ubs1_00134
Morgan Stanley,ubs3_00003
Myntra,ubs3_00002
Nobel,ubs7_00109
Nobel Laureate,ubs7_00118
Patrick Ho,ubs3_00002
People,ubs3_00002
Robert Merton,ubs1_00071
Sara Ferrari,ubs7_00101
Securities and Futures Commission,ubs2_00034
Sergio Ermotti,ubs1_00011|ubs1_00053|ubs1_00117|ubs2_00025|ubs3_00000|ubs6_00004|ubs6_00013|ubs6_00017|ubs7_00007
Singaporeans,ubs7_00118
Standard Chartered,ubs2_00034
Standard Chartered Plc,ubs4_00069|ubs7_00102
Star Entertainment,ubs4_00060|ubs7_00107
Swiss Re,ubs6_00013
UBS,ubs1_00000|ubs1_00011|ubs1_00017|ubs1_00053|ubs1_00071|ubs1_00100|ubs1_00101|ubs1_00117|ubs1_00118|ubs1_00127|ubs1_00134|ubs2_00002|ubs2_00018|ubs2_00034|ubs2_00100|ubs3_00000|ubs3_00003|ubs3_00011|ubs4_00000|ubs4_00003|ubs4_00060|ubs4_00069|ubs4_00100|ubs5_00000|ubs5_00001|ubs5_00002|ubs6_00000|ubs6_00001|ubs6_00004|ubs6_00005|ubs6_00013|ubs6_00017|ubs7_00000|ubs7_00005|ubs7_00006|ubs7_00007|ubs7_00022|ubs7_00047|ubs7_00100|ubs7_00101|ubs7_00109|ubs7_00118|ubs7_00131|ubs7_00143|ubs8_00000
UBS AG,ubs7_00107
UBS Asset Management,ubs1_00127|ubs1_00134|ubs2_00007
UBS Boss,ubs2_00025
UBS Group AG,ubs7_00102
UBS Hires Rainmaker,ubs2_00000
UBS Securities,ubs2_00002
Wu Choy Peng,ubs1_00101
