name,year_month,sentiment_emb,year,month
Marco Polo Marine,2017-8,-100.0,2017,8
O&M,2017-8,-100.0,2017,8
Marco Polo Marine,2017-11,100.0,2017,11
MARCO Polo Marine,2017-12,100.0,2017,12
Marco Polo,2017-12,100.0,2017,12
Shareholders,2017-12,100.0,2017,12
AAL,2018-1,100.0,2018,1
Anglo American plc,2018-1,100.0,2018,1
CAE Inc (TSX:CAE,2018-1,-100.0,2018,1
How Financially Strong Is Anglo American plc,2018-1,100.0,2018,1
Investors,2018-1,100.0,2018,1
LON,2018-1,100.0,2018,1
ASX,2018-2,-100.0,2018,2
CAY,2018-2,-100.0,2018,2
Canyon Resources Limited,2018-2,-100.0,2018,2
Marco Polo Marine,2018-2,100.0,2018,2
STI,2018-2,-100.0,2018,2
