name,year_month,sentiment_emb,year,month
Analysts,2018-4,-100.0,2018,4
Apple,2018-4,100.0,2018,4
Dell,2018-4,100.0,2018,4
Google,2018-4,100.0,2018,4
HP,2018-4,100.0,2018,4
HTC,2018-4,100.0,2018,4
Huawei,2018-4,100.0,2018,4
IDA,2018-4,100.0,2018,4
Intel,2018-4,100.0,2018,4
Lazada,2018-4,100.0,2018,4
M1,2018-4,-100.0,2018,4
M1 Netball Super League,2018-4,100.0,2018,4
Microsoft,2018-4,100.0,2018,4
Nokia,2018-4,100.0,2018,4
Singtel,2018-4,100.0,2018,4
StarHub,2018-4,100.0,2018,4
TELCO M1,2018-4,-100.0,2018,4
iPhone Lenovo LG,2018-4,100.0,2018,4
Asus ZenFone Max Pro M1,2018-5,100.0,2018,5
Circles.Life,2018-5,100.0,2018,5
Gionee,2018-5,100.0,2018,5
M1,2018-5,100.0,2018,5
M1 CONTACT Contemporary Dance,2018-5,100.0,2018,5
Singtel,2018-5,100.0,2018,5
