name,year_month,sentiment_emb,year,month
LifeProof,2017-2,100.0,2017,2
Marketwired,2017-2,100.0,2017,2
iPhone 7 Plus,2017-2,100.0,2017,2
Hai Chew Electronics Pte Ltd,2017-6,100.0,2017,6
Baiyuan,2018-4,100.0,2018,4
Elecom Co. Ltd.,2018-5,100.0,2018,5
Hewlett-Packard Company,2018-5,100.0,2018,5
Hot,2018-5,100.0,2018,5
Kobian Pte Ltd.,2018-5,100.0,2018,5
Logitech International S.A.,2018-5,100.0,2018,5
Mad Catz Interactive,2018-5,100.0,2018,5
Microsoft Corporation,2018-5,100.0,2018,5
Toshiba Corporation,2018-5,100.0,2018,5
