name,year_month,sentiment_emb,year,month
City Developments Limited,2017-1,100.0,2017,1
Singtel,2017-1,100.0,2017,1
StarHub,2017-1,100.0,2017,1
NetLink Trust,2017-4,-100.0,2017,4
Singtel,2017-4,-100.0,2017,4
SMEs,2017-5,100.0,2017,5
Singtel,2017-5,100.0,2017,5
British Lions,2017-6,100.0,2017,6
Lions Tour Crusaders,2017-6,100.0,2017,6
Singtel,2017-6,100.0,2017,6
StarHub Ch209,2017-6,100.0,2017,6
Dash,2017-7,100.0,2017,7
Singtel,2017-7,100.0,2017,7
Dash,2017-8,100.0,2017,8
M1,2017-8,100.0,2017,8
Samsung Galaxy Note 8,2017-8,100.0,2017,8
Singtel,2017-8,100.0,2017,8
StarHub,2017-8,100.0,2017,8
Circles.Life,2017-9,100.0,2017,9
Dash,2017-9,100.0,2017,9
Singtel,2017-9,100.0,2017,9
Center of Excellence,2017-10,100.0,2017,10
CoE,2017-10,100.0,2017,10
Ericsson,2017-10,100.0,2017,10
Infocomm Media Development Authority,2017-10,-100.0,2017,10
Republic,2017-10,100.0,2017,10
Singtel,2017-10,33.33333333333333,2017,10
Consumers,2017-11,100.0,2017,11
JULY,2017-11,100.0,2017,11
NetLink Trust,2017-11,100.0,2017,11
Razer,2017-11,100.0,2017,11
Singtel,2017-11,100.0,2017,11
#KFCRealCheeseFries,2017-12,100.0,2017,12
Singtel,2017-12,100.0,2017,12
Apple,2018-1,-100.0,2018,1
CapitaLand,2018-1,100.0,2018,1
City Developments Limited,2018-1,100.0,2018,1
Fox Networks Group,2018-1,-100.0,2018,1
Premier League,2018-1,-100.0,2018,1
Singtel,2018-1,-100.0,2018,1
StarHub,2018-1,-100.0,2018,1
Data X,2018-2,-100.0,2018,2
Singtel,2018-2,-100.0,2018,2
Starhub,2018-2,-100.0,2018,2
Goh Shufen,2018-3,-100.0,2018,3
M1,2018-3,100.0,2018,3
NUS,2018-3,100.0,2018,3
NUS) Enterprise,2018-3,100.0,2018,3
R3,2018-3,-100.0,2018,3
Singtel,2018-3,60.0,2018,3
Twilio,2018-3,100.0,2018,3
Zero1,2018-3,100.0,2018,3
Mediacorp,2018-4,100.0,2018,4
Singtel,2018-4,100.0,2018,4
StarHub,2018-4,100.0,2018,4
The Straits Times,2018-4,100.0,2018,4
Football fans,2018-5,100.0,2018,5
Mediacorp,2018-5,100.0,2018,5
Partner,2018-5,100.0,2018,5
Razer,2018-5,100.0,2018,5
Singtel,2018-5,71.42857142857143,2018,5
StarHub,2018-5,100.0,2018,5
Starhub,2018-5,100.0,2018,5
TV customers,2018-5,100.0,2018,5
Trio,2018-5,100.0,2018,5
Viewers,2018-5,100.0,2018,5
